Detailed Statistics Departures  
Origin Airport: Phoenix, AZ: Phoenix Sky Harbor International (PHX)
Airline: Delta Airlines Inc. (DL)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","10/01/2018","0136","N801DZ","DTW","12:38","12:30","227","210","-8","12:43","13","0","0","0","0","0"
"DL","10/01/2018","0518","N3731T","SEA","11:30","11:50","189","173","20","12:04","14","0","0","0","0","0"
"DL","10/01/2018","0824","N815DN","DTW","06:00","06:02","231","207","2","06:17","15","0","0","0","0","0"
"DL","10/01/2018","0899","N952DN","MSP","16:17","16:10","188","160","-7","16:22","12","0","0","0","0","0"
"DL","10/01/2018","1514","N840DN","MSP","09:00","08:55","195","176","-5","09:21","26","0","0","0","0","0"
"DL","10/01/2018","1546","N338DN","ATL","10:18","10:11","219","210","-7","10:29","18","0","0","0","0","0"
"DL","10/01/2018","1583","N342DN","ATL","23:30","23:26","208","204","-4","23:38","12","0","0","0","0","0"
"DL","10/01/2018","1668","N920AT","MSP","07:00","06:57","192","169","-3","07:10","13","0","0","0","0","0"
"DL","10/01/2018","1738","N891DN","JFK","07:00","06:58","289","300","-2","07:16","18","0","0","0","0","0"
"DL","10/01/2018","1769","N881DN","MSP","14:28","14:20","186","200","-8","14:36","16","0","0","0","0","0"
"DL","10/01/2018","1772","N311DN","ATL","13:45","13:43","216","206","-2","13:57","14","0","0","0","0","0"
"DL","10/01/2018","1874","N828DN","MSP","11:40","11:33","185","157","-7","11:45","12","0","0","0","0","0"
"DL","10/01/2018","1921","N3751B","DTW","10:00","09:58","231","216","-2","10:18","20","0","0","0","0","0"
"DL","10/01/2018","2160","N319DN","ATL","06:00","05:59","205","210","-1","06:16","17","0","0","0","0","0"
"DL","10/01/2018","2201","N836DN","JFK","11:10","11:07","296","286","-3","11:18","11","0","0","0","0","0"
