Detailed Statistics Departures  
Origin Airport: Phoenix, AZ: Phoenix Sky Harbor International (PHX)
Airline: United Airlines Inc. (UA)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","10/01/2018","0248","N68811","ORD","09:13","09:08","207","195","-5","09:29","21","0","0","0","0","0"
"UA","10/01/2018","0316","N37434","IAD","08:20","08:18","247","234","-2","08:29","11","0","0","0","0","0"
"UA","10/01/2018","0523","N490UA","ORD","11:20","11:16","200","198","-4","11:26","10","0","0","0","0","0"
"UA","10/01/2018","0604","N488UA","DEN","09:45","09:41","102","86","-4","09:49","8","0","0","0","0","0"
"UA","10/01/2018","0656","N34460","ORD","07:38","07:31","207","186","-7","07:42","11","0","0","0","0","0"
"UA","10/01/2018","1044","N471UA","DEN","16:41","17:10","104","100","29","17:21","11","0","0","0","0","25"
"UA","10/01/2018","1131","N24224","IAH","06:20","06:25","146","142","5","06:37","12","0","0","0","0","0"
"UA","10/01/2018","1222","N78285","EWR","06:15","06:15","285","258","0","06:29","14","0","0","0","0","0"
"UA","10/01/2018","1638","N35271","IAH","08:56","08:48","146","146","-8","08:58","10","0","0","0","0","0"
"UA","10/01/2018","1680","N27246","IAH","10:49","10:49","152","151","0","11:05","16","0","0","0","0","0"
"UA","10/01/2018","1774","N24212","DEN","06:00","05:58","102","94","-2","06:12","14","0","0","0","0","0"
"UA","10/01/2018","1855","N469UA","ORD","23:45","23:41","195","189","-4","23:55","14","0","0","0","0","0"
"UA","10/01/2018","1976","N26215","EWR","23:05","23:02","265","256","-3","23:12","10","0","0","0","0","0"
"UA","10/01/2018","2000","N37468","ORD","14:27","14:17","211","202","-10","14:35","18","0","0","0","0","0"
"UA","10/01/2018","2135","N62896","DEN","13:35","13:35","104","92","0","13:45","10","0","0","0","0","0"
"UA","10/01/2018","2350","N65832","SFO","06:10","06:07","125","128","-3","06:20","13","0","0","0","0","0"
"UA","10/01/2018","2351","N67827","SFO","15:59","15:55","118","107","-4","16:04","9","0","0","0","0","0"
"UA","10/01/2018","2352","N68817","SFO","18:10","17:58","116","114","-12","18:07","9","0","0","0","0","0"
"UA","10/01/2018","2353","N68807","SFO","19:57","19:50","118","117","-7","20:03","13","0","0","0","0","0"
"UA","10/01/2018","2355","N38417","IAH","16:10","16:52","149","141","42","17:02","10","0","0","0","0","34"
"UA","10/02/2018","0248","N66803","ORD","09:13","09:05","207","218","-8","09:33","28","0","0","0","0","0"
"UA","10/02/2018","0316","N14242","IAD","08:20","08:19","247","241","-1","08:31","12","0","0","0","0","0"
"UA","10/02/2018","0523","N64844","ORD","11:20","11:18","201","196","-2","11:32","14","0","0","0","0","0"
"UA","10/02/2018","0604","N4901U","DEN","09:45","09:45","102","95","0","09:56","11","0","0","0","0","0"
"UA","10/02/2018","0656","N37420","ORD","07:38","07:30","207","212","-8","07:48","18","0","0","0","0","0"
