Detailed Statistics Departures  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: American Airlines Inc. (AA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","01/01/2018","0001","N114NN","LAX","08:00","08:08","405","398","8","08:34","26","0","0","0","0","0"
"AA","01/01/2018","0003","N117AN","LAX","12:00","13:55","388","384","115","14:18","23","111","0","0","0","0"
"AA","01/01/2018","0009","N112AN","SFO","07:00","10:39","411","382","219","11:03","24","190","0","0","0","0"
"AA","01/01/2018","0023","N105NN","LAX","14:30","14:57","400","370","27","15:15","18","0","0","0","0","0"
"AA","01/01/2018","0033","N108NN","LAX","07:00","06:50","415","380","-10","07:13","23","0","0","0","0","0"
"AA","01/01/2018","0035","N101NN","LAX","18:00","18:46","402","380","46","19:12","26","24","0","0","0","0"
"AA","01/01/2018","0045","N989NN","SEA","17:55","18:15","385","346","20","18:34","19","0","0","0","0","0"
"AA","01/01/2018","0065","N185AN","MIA","15:30","15:58","210","214","28","16:17","19","28","0","4","0","0"
"AA","01/01/2018","0067","N103NN","SFO","16:30","16:25","411","378","-5","16:44","19","0","0","0","0","0"
"AA","01/01/2018","0085","N115NN","SFO","18:50","18:45","405","386","-5","19:20","35","0","0","0","0","0"
"AA","01/01/2018","0095","N829NN","SAN","17:15","17:16","382","353","1","17:37","21","0","0","0","0","0"
"AA","01/01/2018","0101","N918AN","CLT","16:44","16:51","136","116","7","17:05","14","0","0","0","0","0"
"AA","01/01/2018","0117","N106NN","LAX","15:30","15:40","404","381","10","16:08","28","0","0","0","0","0"
"AA","01/01/2018","0133","N110AN","LAX","17:00","16:59","403","383","-1","17:22","23","0","0","0","0","0"
"AA","01/01/2018","0163","N109NN","LAX","11:00","11:05","393","414","5","12:02","57","0","5","21","0","0"
"AA","01/01/2018","0179","N102NN","SFO","11:00","11:11","403","384","11","11:29","18","0","0","0","0","0"
"AA","01/01/2018","0185","N108NN","LAX","21:15","21:09","407","367","-6","21:36","27","0","0","0","0","0"
"AA","01/01/2018","0211","N885NN","LAS","18:30","18:36","364","336","6","18:58","22","0","0","0","0","0"
"AA","01/01/2018","0235","N384AA","MIA","17:00","18:53","200","206","113","19:24","31","113","0","6","0","0"
"AA","01/01/2018","0255","N107NN","LAX","10:00","12:14","400","385","134","12:44","30","119","0","0","0","0"
"AA","01/01/2018","0279","N874NN","MCO","15:47","15:47","193","194","0","16:14","27","0","0","0","0","0"
"AA","01/01/2018","0293","N116AN","LAX","20:15","20:16","404","428","1","20:42","26","1","0","24","0","0"
"AA","01/01/2018","0338","N956AN","CLT","11:03","11:07","124","125","4","11:25","18","0","0","0","0","0"
"AA","01/01/2018","0647","N974UY","CLT","19:00","19:51","130","113","51","20:09","18","9","0","0","0","25"
"AA","01/01/2018","0919","N314PD","SAN","18:35","18:34","384","370","-1","19:02","28","0","0","0","0","0"
"AA","01/01/2018","0942","N393AN","MIA","11:25","12:42","191","221","77","13:20","38","77","0","30","0","0"
"AA","01/01/2018","0947","N142AN","MIA","08:00","09:03","202","205","63","09:29","26","63","0","3","0","0"
"AA","01/01/2018","1105","N111ZM","BOS","21:20","21:46","76","60","26","22:02","16","0","0","0","0","0"
"AA","01/01/2018","1120","N862NN","MCO","19:25","19:20","189","192","-5","19:42","22","0","0","0","0","0"
"AA","01/01/2018","1223","N936AN","DFW","17:25","18:13","259","249","48","18:38","25","38","0","0","0","0"
"AA","01/01/2018","1236","N992NN","MIA","13:30","13:33","195","205","3","14:12","39","0","0","0","0","0"
"AA","01/01/2018","1263","N951NN","LAS","07:30","07:28","362","339","-2","07:43","15","0","0","0","0","0"
"AA","01/01/2018","1458","N883NN","PHX","13:05","13:03","351","362","-2","13:48","45","0","0","0","0","0"
"AA","01/01/2018","1468","N987AN","PHX","06:00","05:54","364","369","-6","06:08","14","0","0","0","0","0"
"AA","01/01/2018","1484","N691AA","EGE","17:00","16:58","303","273","-2","17:18","20","0","0","0","0","0"
"AA","01/01/2018","1587","N850NN","PHX","16:10","16:08","357","360","-2","16:34","26","0","0","0","0","0"
"AA","01/01/2018","1888","N974UY","CLT","13:00","13:53","127","118","53","14:15","22","44","0","0","0","0"
"AA","01/01/2018","2183","N836NN","DCA","14:55","14:54","95","95","-1","15:16","22","0","0","0","0","0"
"AA","01/01/2018","2230","N176AA","MIA","06:15","06:12","198","190","-3","06:34","22","0","0","0","0","0"
"AA","01/01/2018","2270","N853NN","ORD","17:01","17:01","186","163","0","17:20","19","0","0","0","0","0"
"AA","01/01/2018","2286","N951NN","AUS","20:30","20:26","268","248","-4","20:51","25","0","0","0","0","0"
