Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: Delta Airlines Inc. (DL)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","04/01/2018","0023","N882DN","DTW","13:26","13:24","281","244","-2","13:38","14","0","0","0","0","0"
"DL","04/01/2018","0061","N672DL","ATL","14:20","14:29","275","254","9","14:42","13","0","0","0","0","0"
"DL","04/01/2018","0064","N659DL","ATL","08:00","09:50","274","258","110","10:17","27","94","0","0","0","0"
"DL","04/01/2018","0144","N370NB","SEA","14:13","14:06","137","116","-7","14:17","11","0","0","0","0","0"
"DL","04/01/2018","0267","N831MH","JFK","13:05","13:05","340","304","0","13:19","14","0","0","0","0","0"
"DL","04/01/2018","0311","N834DN","DTW","22:15","23:59","277","248","104","00:17","18","75","0","0","0","0"
"DL","04/01/2018","0407","N830MH","JFK","08:30","08:27","341","301","-3","08:48","21","0","0","0","0","0"
"DL","04/01/2018","0522","N3760C","SLC","13:12","13:13","114","101","1","13:28","15","0","0","0","0","0"
"DL","04/01/2018","0658","N854DN","ATL","15:50","16:26","276","270","36","16:57","31","30","0","0","0","0"
"DL","04/01/2018","0692","N879DN","ATL","12:26","12:24","283","254","-2","12:39","15","0","0","0","0","0"
"DL","04/01/2018","0745","N884DN","DTW","11:44","12:42","281","246","58","12:59","17","0","0","10","0","13"
"DL","04/01/2018","0806","N879DN","MSP","00:30","00:21","210","185","-9","00:33","12","0","0","0","0","0"
"DL","04/01/2018","1077","N706TW","JFK","14:25","14:27","334","301","2","14:47","20","0","0","0","0","0"
"DL","04/01/2018","1151","N802DN","MSP","15:05","14:56","218","201","-9","15:15","19","0","0","0","0","0"
"DL","04/01/2018","1210","N826DN","ATL","06:25","06:23","280","258","-2","06:43","20","0","0","0","0","0"
"DL","04/01/2018","1581","N805DN","MSP","08:00","08:00","215","208","0","08:23","23","0","0","0","0","0"
"DL","04/01/2018","1583","N727TW","JFK","11:50","12:12","339","314","22","12:29","17","0","0","0","0","0"
"DL","04/01/2018","1775","N6708D","ATL","23:00","23:01","276","275","1","23:40","39","0","0","0","0","0"
"DL","04/01/2018","1847","N386DA","MSP","06:10","06:09","216","220","-1","06:36","27","0","0","0","0","0"
"DL","04/01/2018","1859","N713TW","JFK","06:15","06:12","335","313","-3","06:40","28","0","0","0","0","0"
"DL","04/01/2018","1894","N816DN","CVG","23:00","22:53","270","252","-7","23:15","22","0","0","0","0","0"
"DL","04/01/2018","1938","N830DN","MSP","11:05","11:05","228","208","0","11:22","17","0","0","0","0","0"
"DL","04/01/2018","2040","N721TW","JFK","16:10","16:07","335","311","-3","16:36","29","0","0","0","0","0"
"DL","04/01/2018","2049","N692DL","ATL","11:25","11:28","277","262","3","11:53","25","0","0","0","0","0"
"DL","04/01/2018","2240","N1604R","JFK","21:30","21:37","330","309","7","21:54","17","0","0","0","0","0"
"DL","04/01/2018","2520","N3734B","SLC","06:00","05:56","113","120","-4","06:11","15","0","0","0","0","0"
"DL","04/01/2018","2521","N712TW","JFK","22:55","22:46","335","304","-9","23:01","15","0","0","0","0","0"
"DL","04/01/2018","2610","N711ZX","BOS","11:55","11:58","352","315","3","12:20","22","0","0","0","0","0"
"DL","04/01/2018","2724","N881DN","DTW","07:00","06:54","277","244","-6","07:09","15","0","0","0","0","0"
"DL","04/01/2018","2933","N988AT","SLC","18:39","19:09","106","105","30","19:31","22","9","0","0","0","20"
"DL","04/02/2018","0023","N886DN","DTW","13:26","13:26","281","243","0","13:45","19","0","0","0","0","0"
"DL","04/02/2018","0061","N6707A","ATL","14:20","14:22","275","254","2","14:31","9","0","0","0","0","0"
"DL","04/02/2018","0064","N805DN","ATL","08:00","07:59","275","270","-1","08:23","24","0","0","0","0","0"
"DL","04/02/2018","0144","N354NB","SEA","14:13","14:09","137","127","-4","14:25","16","0","0","0","0","0"
"DL","04/02/2018","0267","N169DZ","JFK","13:05","14:13","340","301","68","14:29","16","0","0","0","0","29"
"DL","04/02/2018","0311","N805DN","DTW","22:15","22:07","277","255","-8","22:28","21","0","0","0","0","0"
"DL","04/02/2018","0407","N181DN","JFK","08:30","08:24","341","298","-6","08:43","19","0","0","0","0","0"
"DL","04/02/2018","0522","N381DN","SLC","13:12","13:15","114","114","3","13:40","25","0","0","0","0","0"
"DL","04/02/2018","0658","N819DN","ATL","15:50","16:11","276","261","21","16:34","23","0","0","0","0","0"
"DL","04/02/2018","0692","N857DZ","ATL","12:26","12:34","283","263","8","12:50","16","0","0","0","0","0"
"DL","04/02/2018","0745","N809DN","DTW","11:44","11:45","281","241","1","12:01","16","0","0","0","0","0"
"DL","04/02/2018","0806","N866DN","MSP","00:30","00:27","210","192","-3","00:44","17","0","0","0","0","0"
"DL","04/02/2018","1077","N172DN","JFK","14:25","15:54","334","293","89","16:09","15","4","0","0","0","44"
"DL","04/02/2018","1151","N878DN","MSP","15:05","15:25","218","197","20","15:37","12","0","0","0","0","0"
"DL","04/02/2018","1210","N837DN","ATL","06:25","06:23","280","259","-2","06:38","15","0","0","0","0","0"
"DL","04/02/2018","1241","N938AT","SLC","16:50","16:49","114","109","-1","17:01","12","0","0","0","0","0"
"DL","04/02/2018","1581","N826DN","MSP","08:00","08:00","215","198","0","08:24","24","0","0","0","0","0"
"DL","04/02/2018","1583","N711ZX","JFK","11:50","12:17","339","292","27","12:35","18","0","0","0","0","0"
"DL","04/02/2018","1775","N696DL","ATL","23:00","23:00","276","273","0","23:37","37","0","0","0","0","0"
"DL","04/02/2018","1847","N878DN","MSP","06:10","06:09","216","194","-1","06:26","17","0","0","0","0","0"
"DL","04/02/2018","1859","N723TW","JFK","06:15","06:13","335","302","-2","06:30","17","0","0","0","0","0"
"DL","04/02/2018","1894","N892DN","CVG","23:00","22:59","270","267","-1","23:26","27","0","0","0","0","0"
"DL","04/02/2018","1938","N816DN","MSP","11:05","11:02","228","183","-3","11:13","11","0","0","0","0","0"
"DL","04/02/2018","2040","N710TW","JFK","16:10","16:56","335","307","46","17:24","28","0","0","0","0","18"
"DL","04/02/2018","2049","N551NW","ATL","11:25","11:23","277","267","-2","11:50","27","0","0","0","0","0"
"DL","04/02/2018","2240","N718TW","JFK","21:30","21:26","330","313","-4","21:40","14","0","0","0","0","0"
