Detailed Statistics Departures  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: American Airlines Inc. (AA)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","04/01/2018","0001","N107NN","LAX","08:00","07:53","412","387","-7","08:09","16","0","0","0","0","0"
"AA","04/01/2018","0003","N117AN","LAX","12:00","11:56","389","402","-4","12:23","27","0","0","0","0","0"
"AA","04/01/2018","0009","N106NN","SFO","07:00","07:03","409","435","3","07:33","30","3","0","26","0","0"
"AA","04/01/2018","0019","N109NN","LAX","16:30","16:22","402","422","-8","16:52","30","0","0","0","0","0"
"AA","04/01/2018","0023","N116AN","LAX","14:30","14:21","401","370","-9","14:39","18","0","0","0","0","0"
"AA","04/01/2018","0033","N111ZM","LAX","07:00","06:59","411","416","-1","07:25","26","0","0","0","0","0"
"AA","04/01/2018","0035","N102NN","LAX","18:45","18:43","413","388","-2","19:03","20","0","0","0","0","0"
"AA","04/01/2018","0085","N103NN","SFO","18:50","18:50","419","408","0","19:15","25","0","0","0","0","0"
"AA","04/01/2018","0117","N110AN","LAX","15:30","15:25","404","386","-5","15:51","26","0","0","0","0","0"
"AA","04/01/2018","0133","N104NN","LAX","17:30","17:25","405","389","-5","17:50","25","0","0","0","0","0"
"AA","04/01/2018","0163","N113AN","LAX","11:00","10:54","394","394","-6","11:13","19","0","0","0","0","0"
"AA","04/01/2018","0171","N115NN","LAX","06:00","05:52","414","384","-8","06:17","25","0","0","0","0","0"
