Detailed Statistics Departures  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: American Airlines Inc. (AA)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","06/01/2018","0001","N113AN","LAX","08:00","07:53","395","371","-7","08:14","21","0","0","0","0","0"
"AA","06/01/2018","0003","N115NN","LAX","12:00","11:53","372","346","-7","12:18","25","0","0","0","0","0"
"AA","06/01/2018","0015","N114NN","SFO","07:00","06:54","389","398","-6","07:26","32","0","0","0","0","0"
"AA","06/01/2018","0019","N107NN","LAX","17:00","16:59","386","360","-1","17:19","20","0","0","0","0","0"
"AA","06/01/2018","0023","N109NN","LAX","14:30","14:25","384","356","-5","14:39","14","0","0","0","0","0"
"AA","06/01/2018","0033","N102NN","LAX","07:00","06:52","389","377","-8","07:13","21","0","0","0","0","0"
"AA","06/01/2018","0065","N399AN","MIA","15:30","16:05","202","184","35","16:35","30","17","0","0","0","0"
"AA","06/01/2018","0083","N306PB","DCA","15:55","17:35","105","89","100","18:01","26","71","0","0","0","13"
"AA","06/01/2018","0117","N108NN","LAX","15:30","15:25","389","350","-5","15:45","20","0","0","0","0","0"
"AA","06/01/2018","0133","N105NN","LAX","18:00","19:49","392","415","109","21:04","75","7","0","23","0","102"
"AA","06/01/2018","0163","N116AN","LAX","11:00","10:54","376","347","-6","11:10","16","0","0","0","0","0"
"AA","06/01/2018","0171","N105NN","LAX","06:00","06:04","387","371","4","06:19","15","0","0","0","0","0"
"AA","06/01/2018","0177","N110AN","SFO","18:55","18:47","403","400","-8","19:21","34","0","0","0","0","0"
"AA","06/01/2018","0179","N112AN","SFO","11:00","10:53","389","369","-7","11:12","19","0","0","0","0","0"
"AA","06/01/2018","0185","N114NN","LAX","21:15","22:01","390","366","46","22:35","34","7","0","0","0","15"
"AA","06/01/2018","0200","N107NN","BOS","07:30","07:23","75","81","-7","07:53","30","0","0","0","0","0"
"AA","06/01/2018","0211","N357PV","LAS","18:25","18:24","354","318","-1","18:44","20","0","0","0","0","0"
"AA","06/01/2018","0218","N960AN","CLT","12:55","12:49","126","102","-6","13:01","12","0","0","0","0","0"
"AA","06/01/2018","0255","N106NN","LAX","10:00","09:56","383","348","-4","10:10","14","0","0","0","0","0"
"AA","06/01/2018","0279","N301PA","MCO","15:55","15:48","184","153","-7","16:04","16","0","0","0","0","0"
"AA","06/01/2018","0293","N102NN","LAX","20:15","20:57","395","381","42","21:30","33","3","0","0","0","25"
"AA","06/01/2018","0942","N379AA","MIA","11:05","11:27","190","187","22","11:51","24","19","0","0","0","0"
"AA","06/01/2018","1058","N941AN","CLT","05:00","04:53","122","99","-7","05:11","18","0","0","0","0","0"
"AA","06/01/2018","1105","N306PB","BOS","21:10","23:36","85","65","146","23:56","20","11","0","0","0","115"
"AA","06/01/2018","1120","N976NN","MCO","19:05","19:02","185","166","-3","19:28","26","0","0","0","0","0"
"AA","06/01/2018","1153","N808NN","CLT","08:10","08:10","130","117","0","08:27","17","0","0","0","0","0"
"AA","06/01/2018","1223","N974AN","DFW","14:55","14:49","247","209","-6","15:06","17","0","0","0","0","0"
"AA","06/01/2018","1257","N867NN","ORD","17:05","17:10","181","153","5","17:32","22","0","0","0","0","0"
"AA","06/01/2018","1263","N904AN","LAS","07:30","07:26","347","330","-4","07:49","23","0","0","0","0","0"
"AA","06/01/2018","1422","N107NN","BOS","12:25","12:21","69","70","-4","12:42","21","0","0","0","0","0"
"AA","06/01/2018","1458","N948AN","PHX","13:30","13:28","333","314","-2","13:47","19","0","0","0","0","0"
"AA","06/01/2018","1554","N109NN","BOS","09:25","09:20","81","70","-5","09:37","17","0","0","0","0","0"
"AA","06/01/2018","1572","N982AN","PHX","06:30","06:26","349","320","-4","06:40","14","0","0","0","0","0"
"AA","06/01/2018","1587","N836NN","PHX","16:29","16:32","342","306","3","16:45","13","0","0","0","0","0"
"AA","06/01/2018","1610","N196AA","MIA","07:55","07:52","194","203","-3","08:09","17","0","0","0","0","0"
"AA","06/01/2018","2209","N195AN","MIA","17:00","17:09","201","166","9","17:22","13","0","0","0","0","0"
"AA","06/01/2018","2230","N901AN","MIA","06:30","06:28","187","172","-2","06:45","17","0","0","0","0","0"
"AA","06/01/2018","2235","N962AN","CLT","06:30","06:22","121","113","-8","06:47","25","0","0","0","0","0"
"AA","06/01/2018","2254","N198AA","MIA","13:15","13:11","188","172","-4","13:28","17","0","0","0","0","0"
"AA","06/01/2018","2407","N914AN","PHX","09:55","09:50","338","312","-5","10:08","18","0","0","0","0","0"
"AA","06/01/2018","2410","N941AN","CLT","17:00","17:30","131","124","30","17:47","17","0","0","0","0","23"
"AA","06/01/2018","2435","N822NN","SAN","17:45","17:47","373","340","2","18:03","16","0","0","0","0","0"
"AA","06/01/2018","2518","N111ZM","SFO","16:29","16:22","398","385","-7","17:00","38","0","0","0","0","0"
"AA","06/01/2018","2634","N820NN","CLT","18:50","00:00","133","0","0","00:00","0","0","0","0","0","0"
"AA","06/01/2018","2675","N813NN","AUS","17:29","18:16","256","218","47","18:33","17","0","0","0","0","0"
"AA","06/01/2018","2767","N936NN","SEA","17:25","17:23","385","405","-2","17:50","27","0","0","18","0","0"
"AA","06/01/2018","2800","N103NN","SFO","17:38","17:32","402","376","-6","17:59","27","0","0","0","0","0"
"AA","06/02/2018","0001","N112AN","LAX","08:00","07:52","395","382","-8","08:06","14","0","0","0","0","0"
"AA","06/02/2018","0003","N104NN","LAX","12:00","11:55","372","353","-5","12:21","26","0","0","0","0","0"
"AA","06/02/2018","0015","N115NN","SFO","07:00","06:53","389","367","-7","07:11","18","0","0","0","0","0"
"AA","06/02/2018","0023","N101NN","LAX","14:30","14:37","384","347","7","15:00","23","0","0","0","0","0"
"AA","06/02/2018","0033","N116AN","LAX","07:00","06:56","389","371","-4","07:20","24","0","0","0","0","0"
"AA","06/02/2018","0065","N347AN","MIA","15:30","15:26","202","203","-4","15:58","32","0","0","0","0","0"
"AA","06/02/2018","0083","N837NN","DCA","15:55","15:54","105","189","-1","18:09","135","0","0","83","0","0"
"AA","06/02/2018","0117","N111ZM","LAX","15:45","15:41","389","375","-4","16:18","37","0","0","0","0","0"
"AA","06/02/2018","0133","N103NN","LAX","18:00","18:12","392","364","12","18:55","43","0","0","0","0","0"
"AA","06/02/2018","0163","N113AN","LAX","11:00","10:54","376","350","-6","11:14","20","0","0","0","0","0"
"AA","06/02/2018","0179","N109NN","SFO","11:00","11:01","389","364","1","11:17","16","0","0","0","0","0"
"AA","06/02/2018","0211","N947NN","LAS","18:25","18:36","354","354","11","19:27","51","0","0","0","0","0"
"AA","06/02/2018","0218","N996NN","CLT","12:55","12:49","126","148","-6","13:09","20","0","0","16","0","0"
"AA","06/02/2018","0255","N107NN","LAX","10:00","09:53","383","368","-7","10:14","21","0","0","0","0","0"
"AA","06/02/2018","0279","N914AN","MCO","15:55","15:59","184","197","4","16:48","49","2","0","13","0","2"
"AA","06/02/2018","0293","N102NN","LAX","20:15","20:07","395","392","-8","20:54","47","0","0","0","0","0"
"AA","06/02/2018","0942","N398AN","MIA","11:05","10:58","190","171","-7","11:19","21","0","0","0","0","0"
"AA","06/02/2018","1105","N846NN","BOS","21:10","23:10","85","68","120","23:34","24","103","0","0","0","0"
"AA","06/02/2018","1120","N861NN","MCO","19:05","19:40","185","181","35","20:16","36","0","0","0","0","31"
"AA","06/02/2018","1153","N820NN","CLT","08:10","08:01","130","136","-9","08:29","28","0","0","0","0","0"
"AA","06/02/2018","1223","N975AN","DFW","14:55","14:54","247","231","-1","15:26","32","0","0","0","0","0"
"AA","06/02/2018","1257","N823NN","ORD","17:05","17:12","181","181","7","18:04","52","0","0","0","0","0"
