Detailed Statistics Departures  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: American Airlines Inc. (AA)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","10/01/2018","0001","N104NN","LAX","08:00","07:54","373","404","-6","08:13","19","0","0","25","0","0"
"AA","10/01/2018","0003","N102NN","LAX","12:00","11:54","355","359","-6","12:15","21","0","0","0","0","0"
"AA","10/01/2018","0033","N113AN","LAX","07:00","06:53","377","361","-7","07:23","30","0","0","0","0","0"
"AA","10/01/2018","0076","N114NN","SFO","07:00","06:51","379","376","-9","07:10","19","0","0","0","0","0"
"AA","10/01/2018","0117","N111ZM","LAX","15:30","15:22","369","345","-8","15:44","22","0","0","0","0","0"
"AA","10/01/2018","0133","N117AN","LAX","17:00","17:31","370","362","31","17:54","23","23","0","0","0","0"
"AA","10/01/2018","0171","N101NN","LAX","06:00","05:53","369","360","-7","06:09","16","0","0","0","0","0"
"AA","10/01/2018","0177","N109NN","SFO","20:10","20:06","389","373","-4","20:39","33","0","0","0","0","0"
"AA","10/01/2018","0178","N109NN","BOS","15:30","15:26","83","93","-4","16:08","42","0","0","0","0","0"
"AA","10/01/2018","0179","N103NN","SFO","11:00","10:51","372","366","-9","11:10","19","0","0","0","0","0"
"AA","10/01/2018","0185","N114NN","LAX","21:30","21:20","368","367","-10","21:49","29","0","0","0","0","0"
"AA","10/01/2018","0243","N346AN","MIA","15:30","15:26","200","162","-4","15:45","19","0","0","0","0","0"
"AA","10/01/2018","0248","N979AN","SEA","07:30","07:25","375","392","-5","07:49","24","0","0","0","0","0"
"AA","10/01/2018","0255","N106NN","LAX","10:00","09:53","357","347","-7","10:12","19","0","0","0","0","0"
"AA","10/01/2018","0277","N102NN","BOS","07:30","07:22","73","70","-8","07:42","20","0","0","0","0","0"
"AA","10/01/2018","0279","N916AN","MCO","16:00","16:17","179","168","17","16:35","18","0","0","0","0","0"
"AA","10/01/2018","0300","N101NN","LAX","20:30","20:29","373","365","-1","20:59","30","0","0","0","0","0"
"AA","10/01/2018","0302","N105NN","LAX","18:15","18:08","373","362","-7","18:26","18","0","0","0","0","0"
"AA","10/01/2018","0331","N108NN","LAX","11:00","10:53","359","340","-7","11:06","13","0","0","0","0","0"
"AA","10/01/2018","0341","N115NN","LAX","14:30","14:26","362","341","-4","14:41","15","0","0","0","0","0"
"AA","10/01/2018","0429","N717UW","CLT","12:55","12:50","122","128","-5","13:11","21","0","0","0","0","0"
"AA","10/01/2018","0574","N725UW","CLT","19:30","19:29","130","135","-1","20:08","39","0","0","0","0","0"
"AA","10/01/2018","0952","N925NN","PHX","13:30","13:33","319","311","3","13:49","16","0","0","0","0","0"
"AA","10/01/2018","0969","N935AN","LAS","07:40","07:38","334","332","-2","08:03","25","0","0","0","0","0"
"AA","10/01/2018","1140","N111ZM","BOS","09:55","09:47","73","64","-8","10:01","14","0","0","0","0","0"
"AA","10/01/2018","1240","N893NN","MCO","21:00","20:55","179","153","-5","21:16","21","0","0","0","0","0"
"AA","10/01/2018","1274","N951NN","DFW","14:56","14:58","234","223","2","15:23","25","0","0","0","0","0"
"AA","10/01/2018","1278","N113AN","BOS","21:10","21:09","79","81","-1","21:40","31","0","0","0","0","0"
"AA","10/01/2018","1335","N972NN","LAS","20:40","20:40","344","335","0","21:09","29","0","0","0","0","0"
"AA","10/01/2018","1378","N175AN","MIA","13:15","13:09","189","179","-6","13:28","19","0","0","0","0","0"
"AA","10/01/2018","1414","N816NN","ORD","17:05","17:01","174","172","-4","17:23","22","0","0","0","0","0"
"AA","10/01/2018","1444","N874NN","CLT","08:15","08:11","124","130","-4","08:33","22","0","0","0","0","0"
"AA","10/01/2018","1487","N919NN","PHX","06:50","06:50","330","326","0","07:08","18","0","0","0","0","0"
"AA","10/01/2018","1500","N915NN","CLT","05:00","04:55","114","105","-5","05:10","15","0","0","0","0","0"
"AA","10/01/2018","1571","N388AA","MIA","11:05","13:10","188","165","125","13:30","20","6","0","0","0","96"
"AA","10/01/2018","1587","N346PR","PHX","16:40","16:36","327","332","-4","17:04","28","0","0","0","0","0"
"AA","10/01/2018","1610","N187AN","MIA","08:00","07:58","192","186","-2","08:31","33","0","0","0","0","0"
"AA","10/01/2018","2218","N972NN","SAN","07:00","07:07","350","344","7","07:26","19","0","0","0","0","0"
"AA","10/01/2018","2234","N893NN","DFW","06:30","06:30","233","221","0","06:48","18","0","0","0","0","0"
"AA","10/01/2018","2268","N904NN","MIA","06:29","07:13","191","178","44","07:32","19","31","0","0","0","0"
"AA","10/01/2018","2291","N102UW","CLT","17:00","16:58","129","124","-2","17:24","26","0","0","0","0","0"
"AA","10/01/2018","2305","N107NN","SFO","16:15","16:11","394","370","-4","16:31","20","0","0","0","0","0"
"AA","10/01/2018","2306","N938AN","SAN","17:50","17:49","362","351","-1","18:17","28","0","0","0","0","0"
"AA","10/01/2018","2369","N818NN","PHX","10:30","10:25","317","318","-5","10:47","22","0","0","0","0","0"
"AA","10/01/2018","2383","N199AN","MIA","17:00","16:58","195","189","-2","17:20","22","0","0","0","0","0"
"AA","10/01/2018","2423","N949NN","DFW","17:59","17:56","241","204","-3","18:12","16","0","0","0","0","0"
"AA","10/01/2018","2447","N950AN","DEN","18:56","18:52","267","276","-4","19:32","40","0","0","0","0","0"
"AA","10/01/2018","2514","N835NN","AUS","09:10","10:40","236","225","90","10:57","17","9","0","0","0","70"
"AA","10/01/2018","2643","N339PL","CLT","06:30","06:24","116","107","-6","06:37","13","0","0","0","0","0"
"AA","10/01/2018","2652","N110AN","SFO","17:29","17:25","398","369","-4","17:47","22","0","0","0","0","0"
"AA","10/01/2018","2772","N807NN","AUS","18:30","19:40","250","241","70","20:20","40","59","0","0","0","2"
"AA","10/01/2018","2773","N893NN","DCA","15:54","15:48","93","74","-6","16:05","17","0","0","0","0","0"
"AA","10/01/2018","2802","N112AN","LAX","19:15","19:17","373","358","2","19:52","35","0","0","0","0","0"
"AA","10/02/2018","0001","N104NN","LAX","08:00","07:56","373","345","-4","08:10","14","0","0","0","0","0"
"AA","10/02/2018","0003","N103NN","LAX","12:00","11:54","355","354","-6","12:11","17","0","0","0","0","0"
"AA","10/02/2018","0033","N108NN","LAX","07:00","06:54","377","369","-6","07:13","19","0","0","0","0","0"
"AA","10/02/2018","0076","N111ZM","SFO","07:00","06:50","379","369","-10","07:07","17","0","0","0","0","0"
"AA","10/02/2018","0117","N101NN","LAX","15:30","15:23","369","344","-7","15:39","16","0","0","0","0","0"
"AA","10/02/2018","0133","N114NN","LAX","17:00","16:52","370","357","-8","17:14","22","0","0","0","0","0"
"AA","10/02/2018","0171","N102NN","LAX","06:00","06:09","369","363","9","06:23","14","0","0","0","0","0"
"AA","10/02/2018","0177","N105NN","SFO","20:10","20:25","389","402","15","21:12","47","1","0","13","0","14"
"AA","10/02/2018","0178","N105NN","BOS","15:30","16:25","83","88","55","16:53","28","0","0","60","0","0"
"AA","10/02/2018","0179","N112AN","SFO","11:00","10:51","372","361","-9","11:05","14","0","0","0","0","0"
"AA","10/02/2018","0185","N111ZM","LAX","21:30","21:29","368","339","-1","21:42","13","0","0","0","0","0"
"AA","10/02/2018","0243","N384AA","MIA","15:30","15:23","200","181","-7","15:46","23","0","0","0","0","0"
"AA","10/02/2018","0248","N994NN","SEA","07:30","07:24","375","419","-6","07:43","19","0","0","38","0","0"
"AA","10/02/2018","0255","N113AN","LAX","10:00","09:59","357","338","-1","10:11","12","0","0","0","0","0"
"AA","10/02/2018","0277","N103NN","BOS","07:30","07:22","73","62","-8","07:39","17","0","0","0","0","0"
"AA","10/02/2018","0279","N880NN","MCO","16:00","15:53","179","166","-7","16:25","32","0","0","0","0","0"
"AA","10/02/2018","0300","N102NN","LAX","20:30","21:34","373","342","64","21:46","12","5","0","0","0","28"
"AA","10/02/2018","0302","N109NN","LAX","18:15","18:13","373","346","-2","18:34","21","0","0","0","0","0"
"AA","10/02/2018","0331","N106NN","LAX","11:00","10:54","359","345","-6","11:10","16","0","0","0","0","0"
"AA","10/02/2018","0341","N110AN","LAX","14:30","14:29","362","361","-1","14:41","12","0","0","0","0","0"
"AA","10/02/2018","0429","N704US","CLT","12:55","12:50","122","100","-5","13:01","11","0","0","0","0","0"
"AA","10/02/2018","0574","N704US","CLT","19:30","19:32","130","145","2","20:31","59","2","0","15","0","0"
"AA","10/02/2018","0952","N927NN","PHX","13:30","13:24","319","313","-6","13:40","16","0","0","0","0","0"
"AA","10/02/2018","0969","N835NN","LAS","07:40","07:35","334","324","-5","07:51","16","0","0","0","0","0"
"AA","10/02/2018","1140","N110AN","BOS","09:55","09:51","73","74","-4","10:10","19","0","0","0","0","0"
"AA","10/02/2018","1240","N835NN","MCO","21:00","21:00","179","183","0","21:45","45","0","0","0","0","0"
"AA","10/02/2018","1274","N876NN","DFW","14:56","14:52","234","216","-4","15:10","18","0","0","0","0","0"
"AA","10/02/2018","1278","N108NN","BOS","21:10","21:59","79","173","49","23:59","120","0","0","118","0","25"
"AA","10/02/2018","1378","N176AA","MIA","13:15","13:12","189","170","-3","13:30","18","0","0","0","0","0"
"AA","10/02/2018","1414","N936NN","ORD","17:05","18:22","174","163","77","18:56","34","57","0","9","0","0"
"AA","10/02/2018","1444","N950AN","CLT","08:15","08:05","124","124","-10","08:30","25","0","0","0","0","0"
"AA","10/02/2018","1487","N930NN","PHX","06:50","06:45","330","312","-5","07:00","15","0","0","0","0","0"
"AA","10/02/2018","1500","N841NN","CLT","05:00","04:49","114","100","-11","05:04","15","0","0","0","0","0"
"AA","10/02/2018","1571","N399AN","MIA","11:05","11:02","188","163","-3","11:21","19","0","0","0","0","0"
"AA","10/02/2018","1610","N191AN","MIA","08:00","07:58","192","196","-2","08:25","27","0","0","0","0","0"
"AA","10/02/2018","2234","N854NN","DFW","06:30","06:26","233","231","-4","06:46","20","0","0","0","0","0"
"AA","10/02/2018","2268","N805NN","MIA","06:29","06:28","191","180","-1","06:44","16","0","0","0","0","0"
"AA","10/02/2018","2291","N826NN","CLT","17:00","17:20","129","108","20","17:34","14","0","0","0","0","0"
"AA","10/02/2018","2305","N107NN","SFO","16:15","16:08","394","385","-7","16:40","32","0","0","0","0","0"
"AA","10/02/2018","2306","N892NN","SAN","17:50","17:48","362","335","-2","18:07","19","0","0","0","0","0"
"AA","10/02/2018","2369","N838NN","PHX","10:30","10:27","317","311","-3","10:45","18","0","0","0","0","0"
"AA","10/02/2018","2383","N193AN","MIA","17:00","16:55","195","178","-5","17:22","27","0","0","0","0","0"
"AA","10/02/2018","2423","N750AN","DFW","17:59","18:10","241","211","11","18:31","21","0","0","0","0","0"
"AA","10/02/2018","2447","N967AN","DEN","18:56","19:15","267","278","19","19:48","33","19","0","11","0","0"
"AA","10/02/2018","2514","N967AN","AUS","09:10","08:59","236","221","-11","09:14","15","0","0","0","0","0"
"AA","10/02/2018","2643","N935AN","CLT","06:30","06:22","116","109","-8","06:39","17","0","0","0","0","0"
"AA","10/02/2018","2652","N115NN","SFO","17:29","17:27","398","406","-2","17:52","25","0","0","0","0","0"
"AA","10/02/2018","2772","N942AN","AUS","18:30","18:24","250","239","-6","18:51","27","0","0","0","0","0"
"AA","10/02/2018","2773","N907NN","DCA","15:54","15:48","93","95","-6","16:19","31","0","0","0","0","0"
