Detailed Statistics Departures  
Origin Airport: New York, NY: LaGuardia (LGA)
Airline: Southwest Airlines Co. (WN)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","01/01/2018","0040","N416WN","HOU","12:10","12:44","255","241","34","12:57","13","9","0","0","0","11"
"WN","01/01/2018","0232","N229WN","BNA","11:35","11:35","160","146","0","11:54","19","0","0","0","0","0"
"WN","01/01/2018","0320","N266WN","DAL","15:05","16:21","245","230","76","16:44","23","20","0","0","0","41"
"WN","01/01/2018","0349","N407WN","MCI","15:05","15:20","205","183","15","15:34","14","0","0","0","0","0"
"WN","01/01/2018","0355","N293WN","BNA","07:30","08:04","155","155","34","08:22","18","34","0","0","0","0"
"WN","01/01/2018","0357","N959WN","MDW","09:50","10:55","155","152","65","11:13","18","14","0","0","0","48"
"WN","01/01/2018","0414","N7702A","STL","07:25","08:53","175","158","88","09:08","15","71","0","0","0","0"
"WN","01/01/2018","0543","N7829B","BNA","16:45","17:26","155","142","41","17:43","17","15","0","0","0","13"
"WN","01/01/2018","0684","N739GB","DAL","06:00","07:10","240","223","70","07:22","12","53","0","0","0","0"
"WN","01/01/2018","0686","N739GB","MKE","19:55","20:37","155","119","42","20:46","9","0","0","0","0","0"
"WN","01/01/2018","0884","N468WN","MDW","20:55","22:05","155","120","70","22:14","9","0","0","0","0","35"
"WN","01/01/2018","1174","N776WN","MDW","12:15","16:14","155","132","239","16:33","19","3","0","0","0","213"
"WN","01/01/2018","1178","N776WN","MDW","18:50","21:42","155","134","172","21:57","15","0","0","0","0","151"
"WN","01/01/2018","1186","N959WN","MDW","16:05","17:15","155","135","70","17:36","21","18","0","0","0","32"
"WN","01/01/2018","1188","N8602F","ATL","09:55","10:04","170","147","9","10:24","20","0","0","0","0","0"
"WN","01/01/2018","1190","N409WN","TPA","09:10","09:48","195","181","38","10:01","13","24","0","0","0","0"
"WN","01/01/2018","1518","N551WN","ATL","06:30","08:56","160","154","146","09:19","23","140","0","0","0","0"
"WN","01/01/2018","1775","N8556Z","DEN","08:50","09:01","285","259","11","09:17","16","0","0","0","0","0"
"WN","01/01/2018","1831","N749SW","HOU","06:25","06:27","250","242","2","06:37","10","0","0","0","0","0"
"WN","01/01/2018","1875","N776WN","MDW","06:00","09:52","145","137","232","10:13","21","224","0","0","0","0"
"WN","01/01/2018","2027","N447WN","MKE","11:05","11:29","155","124","24","11:41","12","0","0","0","0","0"
"WN","01/01/2018","3712","N714CB","DEN","17:15","18:17","280","247","62","18:34","17","0","0","0","0","29"
"WN","01/01/2018","4561","N7880D","STL","17:50","19:23","175","156","93","19:39","16","10","0","0","0","64"
"WN","01/01/2018","5523","N701GS","DAL","10:35","12:39","255","244","124","13:15","36","0","0","0","0","113"
"WN","01/01/2018","5544","N293WN","ATL","13:45","13:59","155","138","14","14:12","13","0","0","0","0","0"
"WN","01/01/2018","5854","N713SW","ATL","16:15","17:22","165","145","67","17:41","19","40","0","0","0","7"
"WN","01/01/2018","5906","N8302F","HOU","16:55","17:24","255","253","29","17:40","16","9","0","0","0","18"
"WN","01/01/2018","5992","N925WN","STL","14:15","14:16","170","152","1","14:33","17","0","0","0","0","0"
