Detailed Statistics Departures  
Origin Airport: New York, NY: LaGuardia (LGA)
Airline: United Airlines Inc. (UA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","01/01/2018","0405","N803UA","DEN","11:35","11:37","276","265","2","11:52","15","0","0","0","0","0"
"UA","01/01/2018","0463","N458UA","ORD","08:00","07:53","163","144","-7","08:10","17","0","0","0","0","0"
"UA","01/01/2018","0509","N452UA","DEN","18:15","18:27","273","246","12","18:39","12","0","0","0","0","0"
"UA","01/01/2018","0519","N827UA","ORD","09:00","09:55","163","142","55","10:11","16","34","0","0","0","0"
"UA","01/01/2018","0556","N69847","ORD","20:07","20:39","168","129","32","20:51","12","0","0","0","0","0"
"UA","01/01/2018","0561","N62892","DEN","07:50","07:48","278","259","-2","08:03","15","0","0","0","0","0"
"UA","01/01/2018","0628","N37464","ORD","07:00","07:09","164","132","9","07:23","14","0","0","0","0","0"
"UA","01/01/2018","0657","N69830","IAH","05:55","05:53","239","253","-2","06:04","11","0","0","0","0","0"
"UA","01/01/2018","0693","N460UA","ORD","19:03","19:32","169","136","29","19:43","11","0","0","0","0","0"
"UA","01/01/2018","0744","N443UA","DEN","09:06","09:00","276","256","-6","09:14","14","0","0","0","0","0"
"UA","01/01/2018","0745","N848UA","DEN","14:53","14:40","273","250","-13","14:55","15","0","0","0","0","0"
"UA","01/01/2018","0761","N451UA","ORD","06:00","06:08","148","129","8","06:19","11","0","0","0","0","0"
"UA","01/01/2018","0833","N894UA","IAH","15:42","15:43","253","237","1","15:59","16","0","0","0","0","0"
"UA","01/01/2018","1135","N27246","DEN","10:30","10:42","276","253","12","11:05","23","0","0","0","0","0"
"UA","01/01/2018","1167","N471UA","IAH","18:20","19:18","253","213","58","19:35","17","18","0","0","0","0"
"UA","01/01/2018","1676","N417UA","IAH","12:11","12:42","253","229","31","12:51","9","0","0","0","0","0"
"UA","01/01/2018","1697","N457UA","ORD","10:00","10:18","159","142","18","10:40","22","0","0","0","0","0"
"UA","01/01/2018","1709","N850UA","ORD","18:00","18:13","169","131","13","18:27","14","0","0","0","0","0"
"UA","01/01/2018","1875","N896UA","IAH","10:07","10:12","263","263","5","10:39","27","0","0","0","0","0"
"UA","01/01/2018","1926","N14219","IAH","17:09","17:32","255","237","23","17:52","20","0","0","0","0","0"
"UA","01/01/2018","2078","N414UA","IAH","13:50","13:55","250","234","5","14:07","12","0","0","0","0","0"
"UA","01/01/2018","2098","N23707","IAH","07:52","07:41","249","251","-11","07:56","15","0","0","0","0","0"
"UA","01/02/2018","0405","N35236","DEN","11:35","11:32","278","240","-3","11:53","21","0","0","0","0","0"
"UA","01/02/2018","0463","N410UA","ORD","08:00","08:09","163","136","9","08:22","13","0","0","0","0","0"
"UA","01/02/2018","0509","N483UA","DEN","18:15","18:18","273","242","3","18:28","10","0","0","0","0","0"
"UA","01/02/2018","0519","N820UA","ORD","09:00","09:11","163","130","11","09:29","18","0","0","0","0","0"
"UA","01/02/2018","0556","N12218","ORD","20:03","20:03","168","133","0","20:15","12","0","0","0","0","0"
"UA","01/02/2018","0561","N69838","DEN","07:50","07:55","278","234","5","08:11","16","0","0","0","0","0"
"UA","01/02/2018","0628","N39475","ORD","07:00","07:00","164","144","0","07:22","22","0","0","0","0","0"
"UA","01/02/2018","0657","N76505","IAH","05:55","05:58","239","224","3","06:09","11","0","0","0","0","0"
"UA","01/02/2018","0693","N458UA","ORD","19:03","19:13","169","152","10","19:38","25","0","0","0","0","0"
"UA","01/02/2018","0744","N439UA","DEN","09:16","09:09","276","255","-7","09:35","26","0","0","0","0","0"
"UA","01/02/2018","0745","N452UA","DEN","14:53","14:56","273","233","3","15:09","13","0","0","0","0","0"
"UA","01/02/2018","0761","N68801","ORD","06:00","06:19","149","128","19","06:32","13","0","0","0","0","0"
"UA","01/02/2018","0833","N823UA","IAH","15:42","15:40","253","222","-2","15:56","16","0","0","0","0","0"
"UA","01/02/2018","1135","N488UA","DEN","10:30","11:55","276","222","85","12:06","11","0","0","0","0","31"
"UA","01/02/2018","1137","N482UA","DEN","06:05","06:24","267","223","19","06:35","11","0","0","0","0","0"
"UA","01/02/2018","1167","N441UA","IAH","18:20","18:29","253","225","9","18:39","10","0","0","0","0","0"
"UA","01/02/2018","1676","N825UA","IAH","12:11","12:20","253","215","9","12:33","13","0","0","0","0","0"
"UA","01/02/2018","1709","N826UA","ORD","18:00","18:36","169","131","36","18:48","12","0","0","0","0","0"
"UA","01/02/2018","1875","N841UA","IAH","10:07","11:55","263","204","108","12:05","10","49","0","0","0","0"
"UA","01/02/2018","1926","N13248","IAH","17:09","17:07","255","218","-2","17:23","16","0","0","0","0","0"
"UA","01/02/2018","2078","N822UA","IAH","13:50","13:53","250","215","3","14:06","13","0","0","0","0","0"
"UA","01/02/2018","2098","N432UA","IAH","07:52","07:50","247","230","-2","08:08","18","0","0","0","0","0"
"UA","01/03/2018","0405","N24202","DEN","11:35","12:15","278","236","40","12:27","12","0","0","0","0","0"
"UA","01/03/2018","0463","N449UA","ORD","08:00","08:11","163","163","11","08:30","19","0","0","0","0","0"
"UA","01/03/2018","0509","N484UA","DEN","18:15","18:24","273","248","9","18:36","12","0","0","0","0","0"
"UA","01/03/2018","0519","N850UA","ORD","09:00","09:00","163","131","0","09:13","13","0","0","0","0","0"
