Detailed Statistics Departures  
Origin Airport: New York, NY: LaGuardia (LGA)
Airline: Southwest Airlines Co. (WN)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","04/01/2018","0798","N917WN","DAL","19:25","19:20","245","263","-5","20:05","45","0","0","0","0","0"
"WN","04/01/2018","0968","N7704B","MDW","20:55","22:21","165","147","86","22:31","10","64","0","0","0","4"
"WN","04/01/2018","1273","N7735A","MDW","06:00","05:58","150","158","-2","06:12","14","0","0","0","0","0"
"WN","04/01/2018","1277","N7712G","MDW","18:50","18:45","160","159","-5","19:23","38","0","0","0","0","0"
"WN","04/01/2018","1282","N494WN","MDW","09:50","09:47","165","134","-3","10:00","13","0","0","0","0","0"
"WN","04/01/2018","1538","N447WN","HOU","17:25","17:22","255","237","-3","17:48","26","0","0","0","0","0"
"WN","04/01/2018","1870","N494WN","MDW","16:05","16:02","160","153","-3","16:31","29","0","0","0","0","0"
"WN","04/01/2018","2181","N7886A","MKE","19:55","19:54","165","163","-1","20:36","42","0","0","0","0","0"
"WN","04/01/2018","2360","N961WN","DEN","09:50","09:47","280","275","-3","09:58","11","0","0","0","0","0"
"WN","04/01/2018","2420","N944WN","TPA","18:25","18:21","195","193","-4","19:04","43","0","0","0","0","0"
"WN","04/01/2018","2600","N272WN","FLL","11:15","11:09","195","164","-6","11:20","11","0","0","0","0","0"
"WN","04/01/2018","2865","N570WN","HOU","06:40","06:40","250","222","0","06:50","10","0","0","0","0","0"
"WN","04/01/2018","3318","N566WN","MCI","15:15","15:14","200","222","-1","15:41","27","0","0","21","0","0"
"WN","04/01/2018","3405","N223WN","ATL","07:20","07:31","155","140","11","07:49","18","0","0","0","0","0"
"WN","04/01/2018","3479","N720WN","DEN","16:55","16:49","275","280","-6","17:14","25","0","0","0","0","0"
"WN","04/01/2018","4067","N233LV","TPA","12:15","12:13","185","166","-2","12:35","22","0","0","0","0","0"
"WN","04/01/2018","4198","N7882B","STL","08:40","08:38","180","154","-2","08:49","11","0","0","0","0","0"
"WN","04/01/2018","4295","N731SA","BNA","07:10","07:09","155","136","-1","07:21","12","0","0","0","0","0"
"WN","04/01/2018","4314","N7735A","MDW","12:00","11:54","160","151","-6","12:07","13","0","0","0","0","0"
"WN","04/01/2018","4352","N779SW","DAL","07:30","07:29","240","227","-1","07:46","17","0","0","0","0","0"
"WN","04/01/2018","4365","N788SA","BNA","11:55","11:55","165","157","0","12:17","22","0","0","0","0","0"
"WN","04/01/2018","4419","N7886A","ATL","13:40","13:46","155","127","6","13:54","8","0","0","0","0","0"
"WN","04/01/2018","4439","N232WN","MKE","11:35","11:31","150","134","-4","11:43","12","0","0","0","0","0"
"WN","04/01/2018","4466","N247WN","ATL","10:05","10:04","170","129","-1","10:16","12","0","0","0","0","0"
"WN","04/01/2018","4729","N274WN","BNA","16:45","16:42","160","152","-3","17:08","26","0","0","0","0","0"
"WN","04/01/2018","4746","N551WN","STL","17:55","17:56","180","236","1","18:37","41","0","0","57","0","0"
"WN","04/01/2018","4887","N934WN","DAL","15:00","14:56","245","240","-4","15:17","21","0","0","0","0","0"
"WN","04/01/2018","4945","N7817J","STL","14:15","14:10","165","166","-5","14:31","21","0","0","0","0","0"
"WN","04/01/2018","5138","N7714B","DAL","10:30","10:28","260","231","-2","10:44","16","0","0","0","0","0"
"WN","04/01/2018","5416","N7852A","ATL","20:30","20:20","160","167","-10","21:05","45","0","0","0","0","0"
"WN","04/01/2018","6233","N226WN","ATL","16:25","16:21","160","151","-4","16:49","28","0","0","0","0","0"
"WN","04/02/2018","0040","N459WN","HOU","12:10","00:00","255","0","0","00:00","0","0","0","0","0","0"
"WN","04/02/2018","0225","N779SW","ATL","06:20","06:32","155","0","12","00:00","0","0","0","0","0","0"
"WN","04/02/2018","0237","N720WN","BNA","11:40","00:00","160","0","0","00:00","0","0","0","0","0","0"
"WN","04/02/2018","0690","N497WN","MKE","11:25","00:00","150","0","0","00:00","0","0","0","0","0","0"
"WN","04/02/2018","0747","N7848A","DAL","06:00","10:45","240","270","285","11:44","59","0","285","30","0","0"
"WN","04/02/2018","0798","N740SW","DAL","19:25","19:22","245","232","-3","19:43","21","0","0","0","0","0"
"WN","04/02/2018","0968","N7813P","MDW","20:55","21:24","165","137","29","21:40","16","0","0","0","0","0"
"WN","04/02/2018","1056","N776WN","MKE","19:55","20:02","165","153","7","20:26","24","0","0","0","0","0"
"WN","04/02/2018","1087","N246LV","BNA","16:55","16:50","160","150","-5","17:19","29","0","0","0","0","0"
"WN","04/02/2018","1273","N7741C","MDW","06:00","06:00","150","286","0","08:45","165","0","0","136","0","0"
"WN","04/02/2018","1275","N7741C","MDW","12:05","00:00","160","0","0","00:00","0","0","0","0","0","0"
"WN","04/02/2018","1277","N7741C","MDW","18:50","00:00","160","0","0","00:00","0","0","0","0","0","0"
"WN","04/02/2018","1279","N7709A","STL","07:25","12:57","170","244","332","14:27","90","0","332","74","0","0"
"WN","04/02/2018","1282","N712SW","MDW","09:50","00:00","165","0","0","00:00","0","0","0","0","0","0"
"WN","04/02/2018","1471","N7818L","DAL","15:25","15:26","245","262","1","16:21","55","0","0","18","0","0"
"WN","04/02/2018","1635","N779SW","HOU","06:40","10:48","245","317","248","12:24","96","0","248","72","0","0"
"WN","04/02/2018","1814","N8669B","DEN","08:55","11:01","290","301","126","11:51","50","0","0","83","0","54"
"WN","04/02/2018","1870","N957WN","MDW","16:05","00:00","160","0","0","00:00","0","0","0","0","0","0"
"WN","04/02/2018","1872","N475WN","ATL","10:00","00:00","170","0","0","00:00","0","0","0","0","0","0"
"WN","04/02/2018","2073","N736SA","BNA","07:30","10:20","150","244","170","12:21","121","0","170","94","0","0"
"WN","04/02/2018","2112","N220WN","TPA","09:20","00:00","185","0","0","00:00","0","0","0","0","0","0"
"WN","04/02/2018","5416","N224WN","ATL","20:30","20:33","160","135","3","20:47","14","0","0","0","0","0"
"WN","04/02/2018","5573","N964WN","DAL","10:30","00:00","260","0","0","00:00","0","0","0","0","0","0"
"WN","04/02/2018","5591","N735SA","DEN","17:15","18:45","280","270","90","19:01","16","11","0","0","0","69"
"WN","04/02/2018","5598","N417WN","ATL","14:00","00:00","155","0","0","00:00","0","0","0","0","0","0"
"WN","04/02/2018","5733","N7749B","TPA","18:25","18:30","195","179","5","18:59","29","0","0","0","0","0"
"WN","04/02/2018","5752","N747SA","MCI","15:00","15:03","200","233","3","16:05","62","0","0","36","0","0"
"WN","04/02/2018","5995","N8617E","HOU","16:55","16:55","255","253","0","17:33","38","0","0","0","0","0"
"WN","04/02/2018","6100","N7747C","STL","13:55","14:56","165","197","61","15:44","48","15","0","32","0","46"
"WN","04/02/2018","6144","N7817J","STL","17:55","17:53","180","185","-2","18:23","30","0","0","0","0","0"
"WN","04/02/2018","6233","N299WN","ATL","16:25","16:29","160","168","4","17:14","45","0","0","0","0","0"
"WN","04/03/2018","0040","N452WN","HOU","12:10","12:46","255","239","36","12:59","13","6","0","0","0","14"
"WN","04/03/2018","0225","N275WN","ATL","06:20","06:17","155","139","-3","06:32","15","0","0","0","0","0"
"WN","04/03/2018","0237","N7751A","BNA","11:40","12:23","160","141","43","12:40","17","0","0","17","0","7"
"WN","04/03/2018","0690","N7886A","MKE","11:25","11:22","150","139","-3","11:37","15","0","0","0","0","0"
"WN","04/03/2018","0747","N474WN","DAL","06:00","06:00","240","240","0","06:22","22","0","0","0","0","0"
"WN","04/03/2018","0798","N492WN","DAL","19:25","19:29","245","278","4","19:59","30","0","0","37","0","0"
"WN","04/03/2018","0968","N200WN","MDW","20:55","23:40","165","138","165","23:52","12","7","0","0","0","131"
"WN","04/03/2018","1056","N266WN","MKE","19:55","20:07","165","150","12","20:34","27","0","0","0","0","0"
"WN","04/03/2018","1087","N735SA","BNA","16:55","17:17","160","159","22","17:48","31","13","0","0","0","8"
"WN","04/03/2018","1273","N8524Z","MDW","06:00","06:01","150","131","1","06:11","10","0","0","0","0","0"
"WN","04/03/2018","1275","N206WN","MDW","12:05","12:24","160","150","19","12:39","15","0","0","0","0","0"
"WN","04/03/2018","1277","N419WN","MDW","18:50","19:15","160","254","25","21:23","128","0","0","94","0","25"
