Detailed Statistics Departures  
Origin Airport: New York, NY: LaGuardia (LGA)
Airline: United Airlines Inc. (UA)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","04/01/2018","0463","N416UA","ORD","07:30","07:32","159","155","2","07:47","15","0","0","0","0","0"
"UA","04/01/2018","0509","N61887","DEN","18:30","18:27","275","294","-3","19:06","39","0","0","16","0","0"
"UA","04/01/2018","0519","N17244","ORD","09:00","08:58","161","146","-2","09:12","14","0","0","0","0","0"
"UA","04/01/2018","0556","N835UA","ORD","20:05","20:06","169","162","1","20:48","42","0","0","0","0","0"
"UA","04/01/2018","0561","N69819","DEN","07:46","07:42","274","282","-4","07:54","12","0","0","0","0","0"
"UA","04/01/2018","0628","N831UA","ORD","07:00","06:54","159","136","-6","07:06","12","0","0","0","0","0"
"UA","04/01/2018","0693","N474UA","ORD","19:03","18:58","169","196","-5","20:02","64","0","0","22","0","0"
"UA","04/01/2018","0745","N471UA","DEN","14:29","14:32","273","292","3","14:53","21","0","0","22","0","0"
"UA","04/01/2018","0761","N848UA","ORD","05:45","07:53","147","141","128","08:08","15","122","0","0","0","0"
"UA","04/01/2018","0833","N54711","IAH","15:50","15:47","249","252","-3","16:12","25","0","0","0","0","0"
"UA","04/01/2018","1697","N889UA","ORD","11:00","10:53","165","147","-7","11:04","11","0","0","0","0","0"
"UA","04/01/2018","1709","N62883","ORD","18:13","18:12","171","177","-1","18:50","38","0","0","0","0","0"
"UA","04/01/2018","1926","N75426","IAH","18:20","18:42","255","244","22","19:27","45","0","0","0","0","0"
"UA","04/01/2018","1953","N898UA","ORD","10:00","09:52","163","147","-8","10:07","15","0","0","0","0","0"
"UA","04/01/2018","1973","N39415","IAH","10:05","12:26","265","225","141","12:39","13","101","0","0","0","0"
"UA","04/01/2018","2018","N17753","IAH","12:14","12:08","254","238","-6","12:28","20","0","0","0","0","0"
"UA","04/01/2018","2078","N39463","IAH","13:59","14:04","248","231","5","14:22","18","0","0","0","0","0"
"UA","04/01/2018","2098","N78540","IAH","07:50","07:49","249","228","-1","08:02","13","0","0","0","0","0"
"UA","04/01/2018","2140","N840UA","DEN","10:35","10:33","276","272","-2","10:47","14","0","0","0","0","0"
"UA","04/01/2018","2261","N34222","IAH","17:00","17:00","255","253","0","17:32","32","0","0","0","0","0"
"UA","04/02/2018","0405","N68842","DEN","11:35","14:25","278","283","170","14:57","32","0","33","5","0","137"
"UA","04/02/2018","0463","N468UA","ORD","08:00","08:52","165","156","52","09:13","21","0","43","0","0","0"
"UA","04/02/2018","0509","N69816","DEN","18:30","20:31","275","260","121","20:51","20","0","3","0","0","103"
"UA","04/02/2018","0519","N68805","ORD","09:00","09:35","161","151","35","09:57","22","0","25","0","0","0"
"UA","04/02/2018","0556","N836UA","ORD","20:05","20:04","169","163","-1","20:32","28","0","0","0","0","0"
"UA","04/02/2018","0561","N69816","DEN","07:42","10:35","274","307","173","11:36","61","0","173","33","0","0"
"UA","04/02/2018","0628","N418UA","ORD","07:00","10:24","159","158","204","10:51","27","0","203","0","0","0"
"UA","04/02/2018","0657","N832UA","IAH","06:00","06:35","237","254","35","07:03","28","0","35","17","0","0"
"UA","04/02/2018","0693","N406UA","ORD","19:10","20:18","169","152","68","20:36","18","0","14","0","0","37"
"UA","04/02/2018","0745","N420UA","DEN","14:29","16:47","273","267","138","17:18","31","0","6","0","0","126"
"UA","04/02/2018","0761","N831UA","ORD","05:45","06:10","147","140","25","06:25","15","0","18","0","0","0"
"UA","04/02/2018","0833","N817UA","IAH","15:50","16:49","247","256","59","17:24","35","28","0","9","0","31"
"UA","04/02/2018","1478","","ORD","13:00","00:00","158","0","0","00:00","0","0","0","0","0","0"
"UA","04/02/2018","1697","N841UA","ORD","11:00","13:35","165","171","155","14:15","40","0","19","6","0","136"
"UA","04/02/2018","1709","N835UA","ORD","18:05","22:13","170","150","248","22:24","11","0","4","0","0","224"
"UA","04/02/2018","1926","N17752","IAH","18:20","19:48","255","212","88","20:01","13","0","5","0","0","40"
"UA","04/02/2018","1953","N895UA","ORD","10:00","12:49","163","194","169","13:53","64","0","0","38","0","162"
"UA","04/02/2018","1973","N14704","IAH","10:05","10:16","265","284","11","11:14","58","0","11","19","0","0"
"UA","04/02/2018","2010","N807UA","ORD","17:00","17:47","166","174","47","18:18","31","23","0","8","0","24"
"UA","04/02/2018","2014","N18223","DEN","06:30","10:11","264","276","221","10:32","21","0","221","12","0","0"
"UA","04/02/2018","2018","N13718","IAH","12:14","14:45","254","277","151","15:32","47","0","2","23","0","149"
"UA","04/02/2018","2078","N53441","IAH","13:59","14:56","248","270","57","15:45","49","0","3","22","0","54"
"UA","04/02/2018","2098","N27734","IAH","08:00","08:32","265","255","32","09:04","32","0","22","0","0","0"
"UA","04/02/2018","2140","N497UA","DEN","10:35","11:15","276","272","40","11:40","25","0","36","0","0","0"
"UA","04/02/2018","2202","N820UA","ORD","12:00","14:22","160","171","142","14:48","26","0","11","11","0","131"
"UA","04/02/2018","2261","N77536","IAH","17:05","19:24","255","217","139","19:38","14","0","12","0","0","89"
"UA","04/03/2018","0405","N62894","DEN","11:35","11:31","278","265","-4","11:49","18","0","0","0","0","0"
"UA","04/03/2018","0463","N415UA","ORD","08:00","07:56","165","160","-4","08:10","14","0","0","0","0","0"
"UA","04/03/2018","0509","N61886","DEN","18:30","18:28","275","280","-2","19:03","35","0","0","0","0","0"
"UA","04/03/2018","0519","N33264","ORD","09:00","08:54","161","175","-6","09:18","24","0","0","0","0","0"
"UA","04/03/2018","0556","N819UA","ORD","20:05","21:00","169","176","55","21:44","44","32","0","7","0","23"
"UA","04/03/2018","0561","N64809","DEN","07:46","07:41","274","263","-5","07:52","11","0","0","0","0","0"
"UA","04/03/2018","0628","N469UA","ORD","07:00","06:58","159","150","-2","07:10","12","0","0","0","0","0"
"UA","04/03/2018","0657","N79541","IAH","06:00","05:56","239","244","-4","06:20","24","0","0","0","0","0"
"UA","04/03/2018","0693","N456UA","ORD","19:10","20:44","169","160","94","21:14","30","85","0","0","0","0"
"UA","04/03/2018","0745","N426UA","DEN","14:29","14:25","273","266","-4","14:43","18","0","0","0","0","0"
"UA","04/03/2018","0761","N827UA","ORD","05:45","05:42","147","150","-3","05:51","9","0","0","0","0","0"
"UA","04/03/2018","0833","N822UA","IAH","15:50","15:47","247","260","-3","16:10","23","0","0","0","0","0"
"UA","04/03/2018","1478","N831UA","ORD","13:00","13:11","158","158","11","13:22","11","0","0","0","0","0"
"UA","04/03/2018","1697","N848UA","ORD","11:00","10:53","165","155","-7","11:06","13","0","0","0","0","0"
"UA","04/03/2018","1709","N830UA","ORD","18:05","18:01","170","178","-4","18:29","28","0","0","0","0","0"
"UA","04/03/2018","1926","N15751","IAH","18:20","18:19","255","253","-1","18:43","24","0","0","0","0","0"
"UA","04/03/2018","1953","N895UA","ORD","10:00","09:51","163","156","-9","10:01","10","0","0","0","0","0"
"UA","04/03/2018","1973","N25705","IAH","10:05","09:58","265","240","-7","10:12","14","0","0","0","0","0"
"UA","04/03/2018","2010","N895UA","ORD","17:00","16:55","166","194","-5","17:44","49","0","0","23","0","0"
"UA","04/03/2018","2014","N37281","DEN","06:30","06:30","264","264","0","06:46","16","0","0","0","0","0"
"UA","04/03/2018","2018","N24715","IAH","12:14","12:13","254","241","-1","12:23","10","0","0","0","0","0"
"UA","04/03/2018","2078","N35271","IAH","13:59","13:56","248","246","-3","14:15","19","0","0","0","0","0"
"UA","04/03/2018","2098","N14704","IAH","08:00","07:56","265","264","-4","08:35","39","0","0","0","0","0"
"UA","04/03/2018","2140","N496UA","DEN","10:35","10:34","276","271","-1","10:51","17","0","0","0","0","0"
"UA","04/03/2018","2202","N841UA","ORD","12:00","11:56","160","146","-4","12:04","8","0","0","0","0","0"
"UA","04/03/2018","2261","N76265","IAH","17:05","16:53","255","261","-12","17:22","29","0","0","0","0","0"
"UA","04/04/2018","0405","N66893","DEN","11:35","12:51","278","256","76","13:05","14","0","0","0","0","54"
"UA","04/04/2018","0463","N488UA","ORD","08:00","07:56","165","138","-4","08:07","11","0","0","0","0","0"
"UA","04/04/2018","0509","N61886","DEN","18:30","23:14","275","245","284","23:28","14","115","0","0","0","139"
"UA","04/04/2018","0519","N73270","ORD","09:00","08:58","161","151","-2","09:18","20","0","0","0","0","0"
"UA","04/04/2018","0556","N457UA","ORD","20:05","23:38","169","140","213","23:49","11","0","0","0","0","184"
"UA","04/04/2018","0561","N69826","DEN","07:46","07:40","274","255","-6","07:53","13","0","0","0","0","0"
"UA","04/04/2018","0628","N415UA","ORD","07:00","06:58","159","147","-2","07:19","21","0","0","0","0","0"
"UA","04/04/2018","0657","N87531","IAH","06:00","05:55","239","258","-5","06:11","16","0","0","0","0","0"
"UA","04/04/2018","0693","N461UA","ORD","19:10","21:36","169","149","146","21:55","19","0","13","0","0","113"
"UA","04/04/2018","0745","N460UA","DEN","14:29","17:43","273","270","194","18:09","26","0","23","0","0","168"
"UA","04/04/2018","0761","N812UA","ORD","05:45","05:41","147","136","-4","05:55","14","0","0","0","0","0"
"UA","04/04/2018","0833","N889UA","IAH","15:50","17:27","247","243","97","17:40","13","31","0","0","0","62"
"UA","04/04/2018","1478","N834UA","ORD","13:00","15:43","158","135","163","15:55","12","0","11","0","0","129"
"UA","04/04/2018","1697","N841UA","ORD","11:00","11:52","165","152","52","12:12","20","0","0","0","0","39"
"UA","04/04/2018","1709","N485UA","ORD","18:05","22:24","170","150","259","22:48","24","31","0","0","0","208"
"UA","04/04/2018","1926","N13750","IAH","18:20","20:32","255","227","132","20:54","22","0","4","0","0","100"
"UA","04/04/2018","1953","N831UA","ORD","10:00","09:54","163","148","-6","10:12","18","0","0","0","0","0"
"UA","04/04/2018","1973","N13716","IAH","10:05","10:04","265","278","-1","10:33","29","0","0","0","0","0"
"UA","04/04/2018","2010","N841UA","ORD","17:00","19:32","166","137","152","19:45","13","0","11","0","0","112"
"UA","04/04/2018","2014","N73275","DEN","06:30","06:26","264","254","-4","06:40","14","0","0","0","0","0"
"UA","04/04/2018","2018","N15751","IAH","12:14","13:38","254","229","84","13:58","20","0","9","0","0","50"
"UA","04/04/2018","2078","N16732","IAH","13:59","14:02","248","259","3","14:17","15","0","0","0","0","0"
"UA","04/04/2018","2098","N25705","IAH","08:00","07:56","262","257","-4","08:10","14","0","0","0","0","0"
