Detailed Statistics Departures  
Origin Airport: New York, NY: LaGuardia (LGA)
Airline: Southwest Airlines Co. (WN)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","06/01/2018","0019","N942WN","ATL","06:30","06:56","150","123","26","07:08","12","0","0","0","0","0"
"WN","06/01/2018","0036","N407WN","BNA","07:30","07:30","145","140","0","08:01","31","0","0","0","0","0"
"WN","06/01/2018","0040","N264LV","HOU","12:10","13:03","255","212","53","13:26","23","0","0","0","0","0"
"WN","06/01/2018","0176","N937WN","DAL","19:25","19:37","235","206","12","19:54","17","0","0","0","0","0"
"WN","06/01/2018","0674","N7887A","MKE","11:10","11:14","155","131","4","11:35","21","0","0","0","0","0"
"WN","06/01/2018","0717","N7845A","DAL","15:20","15:59","240","204","39","16:16","17","0","0","0","0","0"
"WN","06/01/2018","0784","N720WN","STL","07:00","07:00","160","157","0","07:17","17","0","0","0","0","0"
"WN","06/01/2018","0969","N239WN","MDW","20:55","22:45","145","148","110","23:16","31","14","0","3","0","96"
"WN","06/01/2018","1266","N775SW","MDW","06:05","06:04","145","132","-1","06:25","21","0","0","0","0","0"
"WN","06/01/2018","1268","N8712L","MDW","12:00","00:00","155","0","0","00:00","0","0","0","0","0","0"
"WN","06/01/2018","1270","N468WN","MDW","18:50","19:19","155","128","29","19:29","10","0","0","0","0","0"
"WN","06/01/2018","1281","N7860A","TPA","09:05","09:10","195","160","5","09:34","24","0","0","0","0","0"
"WN","06/01/2018","1603","N8634A","DEN","08:30","08:30","270","235","0","08:48","18","0","0","0","0","0"
"WN","06/01/2018","1686","N415WN","STL","17:55","18:29","175","159","34","19:03","34","1","0","0","0","17"
"WN","06/01/2018","1732","N7701B","ATL","10:00","10:16","165","119","16","10:28","12","0","0","0","0","0"
"WN","06/01/2018","1821","N481WN","DAL","06:00","06:14","230","211","14","06:38","24","0","0","0","0","0"
"WN","06/01/2018","1888","N227WN","HOU","06:00","05:57","240","211","-3","06:15","18","0","0","0","0","0"
"WN","06/01/2018","1896","N277WN","BNA","16:55","18:28","155","132","93","18:52","24","16","0","0","0","54"
"WN","06/01/2018","2058","N565WN","MDW","09:45","09:48","150","119","3","10:03","15","0","0","0","0","0"
"WN","06/01/2018","2071","N239WN","MDW","16:15","16:32","150","140","17","17:04","32","0","0","0","0","0"
"WN","06/01/2018","2087","N400WN","MKE","19:55","20:00","150","175","5","21:03","63","0","0","30","0","0"
"WN","06/01/2018","5374","N786SW","STL","14:20","14:19","160","146","-1","14:34","15","0","0","0","0","0"
"WN","06/01/2018","5382","N493WN","BNA","11:30","12:25","160","128","55","12:49","24","6","0","0","0","17"
"WN","06/01/2018","5439","N7824A","DEN","17:15","19:30","275","242","135","19:45","15","13","0","0","0","89"
"WN","06/01/2018","5494","N266WN","MCI","15:00","15:46","195","157","46","15:55","9","0","0","0","0","0"
