Detailed Statistics Departures  
Origin Airport: New York, NY: LaGuardia (LGA)
Airline: United Airlines Inc. (UA)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","06/01/2018","0405","N415UA","DEN","11:35","12:30","263","246","55","12:53","23","12","0","0","0","26"
"UA","06/01/2018","0463","N69888","ORD","08:00","08:08","155","166","8","08:31","23","0","0","19","0","0"
"UA","06/01/2018","0509","N35204","DEN","18:29","18:24","272","255","-5","18:57","33","0","0","0","0","0"
"UA","06/01/2018","0519","N77518","ORD","09:00","08:59","152","149","-1","09:26","27","0","0","0","0","0"
"UA","06/01/2018","0556","N462UA","ORD","19:29","19:25","159","149","-4","19:33","8","0","0","0","0","0"
"UA","06/01/2018","0561","N459UA","DEN","08:05","08:01","260","245","-4","08:20","19","0","0","0","0","0"
"UA","06/01/2018","0628","N33286","ORD","07:00","06:58","152","140","-2","07:11","13","0","0","0","0","0"
"UA","06/01/2018","0657","N497UA","IAH","06:00","05:59","227","195","-1","06:12","13","0","0","0","0","0"
"UA","06/01/2018","0693","N17244","ORD","20:05","22:35","158","141","150","22:52","17","133","0","0","0","0"
"UA","06/01/2018","0745","N37287","DEN","14:29","14:35","267","238","6","14:49","14","0","0","0","0","0"
"UA","06/01/2018","0761","N821UA","ORD","05:45","07:06","141","134","81","07:22","16","74","0","0","0","0"
"UA","06/01/2018","0765","N890UA","ORD","15:00","15:00","153","134","0","15:15","15","0","0","0","0","0"
"UA","06/01/2018","0833","N24715","IAH","15:50","16:32","238","209","42","16:55","23","0","0","0","0","0"
"UA","06/01/2018","1094","N66893","DEN","06:20","07:42","259","233","82","08:00","18","56","0","0","0","0"
