Detailed Statistics Departures  
Origin Airport: New York, NY: LaGuardia (LGA)
Airline: Southwest Airlines Co. (WN)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","10/01/2018","0038","N8608N","HOU","11:45","11:40","240","235","-5","11:59","19","0","0","0","0","0"
"WN","10/01/2018","0967","N8328A","BNA","16:55","16:56","155","150","1","17:33","37","0","0","0","0","0"
"WN","10/01/2018","1100","N716SW","MDW","12:00","11:52","150","128","-8","12:04","12","0","0","0","0","0"
"WN","10/01/2018","1109","N8575Z","ATL","06:30","06:28","150","151","-2","06:54","26","0","0","0","0","0"
"WN","10/01/2018","1111","N265WN","STL","07:25","07:24","155","149","-1","07:37","13","0","0","0","0","0"
"WN","10/01/2018","1223","N902WN","ATL","16:15","16:11","160","132","-4","16:25","14","0","0","0","0","0"
"WN","10/01/2018","1278","N7703A","MDW","20:55","21:44","150","120","49","21:53","9","0","0","0","0","19"
"WN","10/01/2018","1282","N7843A","MDW","16:05","16:03","155","133","-2","16:22","19","0","0","0","0","0"
"WN","10/01/2018","1447","N7855A","ATL","10:00","10:03","160","162","3","10:37","34","0","0","0","0","0"
"WN","10/01/2018","1586","N7843A","MDW","09:50","09:47","150","133","-3","10:05","18","0","0","0","0","0"
"WN","10/01/2018","1696","N7846A","HOU","16:55","16:52","235","229","-3","17:24","32","0","0","0","0","0"
"WN","10/01/2018","1976","N7855A","MCI","15:00","15:58","190","177","58","16:15","17","1","0","0","0","44"
