Detailed Statistics Departures  
Origin Airport: Houston, TX: George Bush Intercontinental/Houston (IAH)
Airline: Delta Airlines Inc. (DL)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","01/01/2018","1409","N922DL","ATL","06:00","06:13","123","109","13","06:26","13","0","0","0","0","0"
"DL","01/01/2018","1448","N934AT","ATL","15:15","15:11","126","126","-4","15:38","27","0","0","0","0","0"
"DL","01/01/2018","1593","N985AT","SLC","06:25","07:05","209","179","40","07:16","11","0","0","0","0","0"
"DL","01/01/2018","2208","N919DL","ATL","11:20","11:34","120","108","14","11:51","17","0","0","0","0","0"
"DL","01/01/2018","2258","N912DE","ATL","08:15","08:23","116","122","8","08:37","14","0","0","0","0","0"
"DL","01/02/2018","0028","N951AT","ATL","13:46","13:46","125","110","0","13:58","12","0","0","0","0","0"
"DL","01/02/2018","0054","N927DA","ATL","18:44","18:40","121","129","-4","19:00","20","0","0","0","0","0"
"DL","01/02/2018","1409","N967DL","ATL","06:00","05:57","123","112","-3","06:10","13","0","0","0","0","0"
"DL","01/02/2018","1593","N985AT","SLC","06:25","06:24","209","207","-1","06:38","14","0","0","0","0","0"
"DL","01/02/2018","2208","N942AT","ATL","11:20","11:42","120","101","22","11:52","10","0","0","0","0","0"
"DL","01/02/2018","2258","N994DL","ATL","08:15","08:16","116","105","1","08:26","10","0","0","0","0","0"
"DL","01/02/2018","2294","N961DL","ATL","17:22","17:16","126","109","-6","17:27","11","0","0","0","0","0"
"DL","01/02/2018","2476","N940AT","ATL","15:45","15:40","127","105","-5","15:48","8","0","0","0","0","0"
"DL","01/03/2018","0028","N997DL","ATL","11:23","11:34","117","118","11","11:53","19","0","0","0","0","0"
"DL","01/03/2018","0054","N933DL","ATL","17:30","17:30","128","123","0","17:40","10","0","0","0","0","0"
"DL","01/03/2018","0744","N926DL","ATL","08:10","08:48","116","119","38","09:07","19","0","0","41","0","0"
"DL","01/03/2018","0976","N913DE","ATL","15:59","15:55","126","115","-4","16:05","10","0","0","0","0","0"
"DL","01/03/2018","1059","N935DL","ATL","07:05","07:26","117","121","21","07:49","23","0","21","4","0","0"
"DL","01/03/2018","1316","N995AT","MSP","10:36","10:19","169","217","-17","11:22","63","0","0","31","0","0"
"DL","01/03/2018","2028","N975DL","ATL","14:08","14:08","120","126","0","14:30","22","0","0","0","0","0"
"DL","01/04/2018","0028","N921DL","ATL","11:23","11:30","117","102","7","11:37","7","0","0","0","0","0"
"DL","01/04/2018","0054","N995DL","ATL","17:30","17:25","128","144","-5","17:36","11","0","0","0","0","0"
"DL","01/04/2018","0744","N960DL","ATL","08:10","08:56","116","117","46","09:20","24","0","0","47","0","0"
"DL","01/04/2018","0976","N913DL","ATL","15:59","15:56","126","106","-3","16:07","11","0","0","0","0","0"
"DL","01/04/2018","1059","N970DL","ATL","07:05","06:58","117","124","-7","07:29","31","0","0","0","0","0"
"DL","01/04/2018","1316","N961AT","MSP","10:36","10:29","169","169","-7","10:42","13","0","0","0","0","0"
"DL","01/04/2018","2028","N952DL","ATL","14:08","14:11","122","106","3","14:22","11","0","0","0","0","0"
"DL","01/05/2018","0028","N955DL","ATL","11:23","11:19","117","109","-4","11:28","9","0","0","0","0","0"
"DL","01/05/2018","0054","N946DL","ATL","17:30","17:42","128","111","12","17:50","8","0","0","0","0","0"
"DL","01/05/2018","0744","N971DL","ATL","08:10","08:08","116","108","-2","08:19","11","0","0","0","0","0"
"DL","01/05/2018","0976","N944DL","ATL","15:59","15:53","126","106","-6","16:01","8","0","0","0","0","0"
"DL","01/05/2018","1059","N956DL","ATL","07:05","07:02","117","127","-3","07:19","17","0","0","0","0","0"
"DL","01/05/2018","1316","N946AT","MSP","10:36","10:29","169","175","-7","10:47","18","0","0","0","0","0"
"DL","01/05/2018","2028","N919DL","ATL","14:08","14:08","122","111","0","14:17","9","0","0","0","0","0"
"DL","01/06/2018","0028","N913DE","ATL","11:20","11:15","119","109","-5","11:23","8","0","0","0","0","0"
"DL","01/06/2018","0054","N909DE","ATL","17:08","17:05","124","116","-3","17:14","9","0","0","0","0","0"
"DL","01/06/2018","0956","N932AT","MSP","06:50","06:49","169","176","-1","07:06","17","0","0","0","0","0"
"DL","01/06/2018","1059","N919DL","ATL","07:05","08:16","114","133","71","08:47","31","71","0","19","0","0"
"DL","01/06/2018","2028","N906DL","ATL","14:08","14:07","119","108","-1","14:15","8","0","0","0","0","0"
"DL","01/07/2018","0028","N944DL","ATL","11:23","11:39","117","104","16","11:49","10","0","0","0","0","0"
"DL","01/07/2018","0054","N994DL","ATL","17:08","17:41","126","112","33","17:51","10","3","0","0","0","16"
"DL","01/07/2018","0719","N920DE","ATL","06:00","05:58","121","111","-2","06:10","12","0","0","0","0","0"
"DL","01/07/2018","0744","N906DL","ATL","08:10","08:10","116","114","0","08:25","15","0","0","0","0","0"
"DL","01/07/2018","0956","N969AT","MSP","06:50","06:46","169","150","-4","06:56","10","0","0","0","0","0"
"DL","01/07/2018","0976","N921DL","ATL","15:59","16:08","126","119","9","16:22","14","0","0","0","0","0"
"DL","01/07/2018","1909","N974DL","ATL","18:40","18:53","124","105","13","19:04","11","0","0","0","0","0"
"DL","01/07/2018","2028","N900DE","ATL","14:08","14:06","122","105","-2","14:17","11","0","0","0","0","0"
"DL","01/08/2018","0028","N922DL","ATL","11:23","11:22","117","151","-1","11:44","22","0","0","33","0","0"
"DL","01/08/2018","0054","N910DE","ATL","18:40","19:14","124","132","34","19:34","20","0","0","8","0","34"
"DL","01/08/2018","0744","N934DL","ATL","08:10","09:28","116","112","78","09:43","15","0","0","74","0","0"
"DL","01/08/2018","0956","N895AT","MSP","06:50","06:48","169","177","-2","07:10","22","0","0","0","0","0"
"DL","01/08/2018","0976","N988DL","ATL","15:59","15:55","126","116","-4","16:08","13","0","0","0","0","0"
"DL","01/08/2018","1059","N944DL","ATL","07:05","07:46","115","135","41","08:17","31","0","0","61","0","0"
"DL","01/08/2018","1316","N998AT","MSP","10:36","10:38","169","177","2","11:01","23","0","0","0","0","0"
"DL","01/08/2018","1390","N980AT","MSP","18:12","18:03","171","158","-9","18:16","13","0","0","0","0","0"
"DL","01/08/2018","1997","N933DL","ATL","17:08","17:57","126","122","49","18:13","16","7","0","0","0","38"
"DL","01/08/2018","2028","N934DL","ATL","14:08","15:07","122","126","59","15:27","20","12","0","4","0","47"
"DL","01/09/2018","0028","N982DL","ATL","11:23","11:16","117","111","-7","11:25","9","0","0","0","0","0"
"DL","01/09/2018","0054","N941DL","ATL","17:30","17:21","128","122","-9","17:34","13","0","0","0","0","0"
"DL","01/09/2018","0744","N900DE","ATL","08:10","08:05","116","122","-5","08:16","11","0","0","0","0","0"
"DL","01/09/2018","0976","N953DL","ATL","15:59","15:50","126","114","-9","16:03","13","0","0","0","0","0"
"DL","01/09/2018","1059","N979DL","ATL","07:05","07:02","117","118","-3","07:12","10","0","0","0","0","0"
"DL","01/09/2018","1316","N986AT","MSP","10:36","10:29","169","153","-7","10:43","14","0","0","0","0","0"
"DL","01/09/2018","1390","N986AT","MSP","18:12","18:05","171","156","-7","18:18","13","0","0","0","0","0"
"DL","01/09/2018","2028","N926DL","ATL","14:08","14:02","122","108","-6","14:11","9","0","0","0","0","0"
"DL","01/10/2018","0028","N939DL","ATL","11:23","11:18","117","113","-5","11:27","9","0","0","0","0","0"
"DL","01/10/2018","0054","N947DL","ATL","17:30","17:33","128","117","3","17:47","14","0","0","0","0","0"
"DL","01/10/2018","0744","N908DL","ATL","08:10","08:07","116","115","-3","08:16","9","0","0","0","0","0"
"DL","01/10/2018","0976","N991DL","ATL","15:59","15:55","126","114","-4","16:06","11","0","0","0","0","0"
"DL","01/10/2018","1059","N990DL","ATL","07:05","07:02","117","118","-3","07:12","10","0","0","0","0","0"
"DL","01/10/2018","1316","N986AT","MSP","10:36","10:24","169","160","-12","10:53","29","0","0","0","0","0"
"DL","01/10/2018","1390","N997AT","MSP","18:12","18:22","171","151","10","18:43","21","0","0","0","0","0"
"DL","01/10/2018","2028","N908DL","ATL","14:08","14:03","122","113","-5","14:17","14","0","0","0","0","0"
"DL","01/11/2018","0028","N955DL","ATL","11:23","11:19","117","116","-4","11:31","12","0","0","0","0","0"
"DL","01/11/2018","0054","N955DL","ATL","17:08","20:08","126","112","180","20:24","16","166","0","0","0","0"
"DL","01/11/2018","0744","N996DL","ATL","08:10","08:06","116","110","-4","08:15","9","0","0","0","0","0"
"DL","01/11/2018","0976","N974DL","ATL","15:59","21:02","126","111","303","21:22","20","288","0","0","0","0"
"DL","01/11/2018","1059","N924DL","ATL","07:05","07:04","117","105","-1","07:12","8","0","0","0","0","0"
"DL","01/11/2018","1316","N926AT","MSP","10:36","11:47","169","169","71","11:59","12","0","0","0","0","71"
"DL","01/11/2018","1390","N332DN","MSP","18:12","00:35","171","153","383","00:49","14","3","0","0","0","362"
"DL","01/11/2018","1909","N966DL","ATL","18:40","21:10","124","106","150","21:25","15","0","2","0","0","130"
"DL","01/11/2018","2028","N951DL","ATL","14:08","14:14","122","109","6","14:25","11","0","0","0","0","0"
"DL","01/12/2018","0028","N912DL","ATL","11:23","11:29","117","121","6","11:47","18","0","0","0","0","0"
"DL","01/12/2018","0054","N947DL","ATL","17:08","17:17","126","123","9","17:34","17","0","0","0","0","0"
"DL","01/12/2018","0744","N999DN","ATL","08:10","13:40","116","112","330","13:56","16","326","0","0","0","0"
"DL","01/12/2018","0976","N913DE","ATL","15:59","16:24","126","119","25","16:41","17","13","0","0","0","5"
"DL","01/12/2018","1059","N932DL","ATL","07:05","07:01","117","152","-4","07:25","24","0","0","31","0","0"
"DL","01/12/2018","1316","N934DN","MSP","10:36","10:44","169","169","8","11:02","18","0","0","0","0","0"
"DL","01/12/2018","1390","N717JL","MSP","18:12","18:41","171","155","29","18:54","13","0","0","0","0","0"
"DL","01/12/2018","1909","N987DL","ATL","18:40","19:52","124","106","72","20:02","10","3","0","0","0","51"
"DL","01/12/2018","2028","N902DE","ATL","14:08","14:38","122","118","30","14:54","16","12","0","0","0","14"
"DL","01/13/2018","0028","N937DL","ATL","11:20","11:15","119","104","-5","11:28","13","0","0","0","0","0"
"DL","01/13/2018","0054","N960DL","ATL","17:08","17:07","124","102","-1","17:14","7","0","0","0","0","0"
"DL","01/13/2018","0803","N926AT","SLC","07:45","07:51","210","203","6","08:03","12","0","0","0","0","0"
"DL","01/13/2018","1059","N932DL","ATL","07:05","07:00","114","102","-5","07:11","11","0","0","0","0","0"
"DL","01/13/2018","2028","N951DL","ATL","14:08","14:22","119","109","14","14:38","16","0","0","0","0","0"
"DL","01/14/2018","0028","N959DL","ATL","11:23","11:16","117","101","-7","11:27","11","0","0","0","0","0"
"DL","01/14/2018","0054","N987DL","ATL","17:08","17:03","124","101","-5","17:12","9","0","0","0","0","0"
"DL","01/14/2018","0719","N947DL","ATL","06:00","05:58","119","106","-2","06:08","10","0","0","0","0","0"
"DL","01/14/2018","0976","N906DL","ATL","15:59","17:34","125","104","95","17:46","12","2","0","0","0","72"
"DL","01/14/2018","1059","N919DL","ATL","07:05","07:07","114","110","2","07:18","11","0","0","0","0","0"
"DL","01/14/2018","1909","N919DE","ATL","18:40","18:34","121","106","-6","18:46","12","0","0","0","0","0"
"DL","01/14/2018","2028","N904DL","ATL","14:08","14:16","119","102","8","14:26","10","0","0","0","0","0"
"DL","01/15/2018","0028","N920DE","ATL","11:23","11:24","117","110","1","11:40","16","0","0","0","0","0"
"DL","01/15/2018","0054","N919DL","ATL","18:40","18:46","124","106","6","18:59","13","0","0","0","0","0"
"DL","01/15/2018","0744","N919DL","ATL","08:10","08:04","116","109","-6","08:13","9","0","0","0","0","0"
