Detailed Statistics Departures  
Origin Airport: Houston, TX: George Bush Intercontinental/Houston (IAH)
Airline: American Airlines Inc. (AA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","01/01/2018","0636","N669AW","PHX","14:45","15:30","178","174","45","15:49","19","0","0","0","0","41"
"AA","01/01/2018","0708","N103US","DFW","21:58","21:54","72","70","-4","22:08","14","0","0","0","0","0"
"AA","01/01/2018","0744","N838AW","CLT","15:42","16:11","150","137","29","16:28","17","1","0","0","0","15"
"AA","01/01/2018","0786","N825AW","CLT","11:54","11:54","148","133","0","12:10","16","0","0","0","0","0"
"AA","01/01/2018","1044","N5007E","MIA","06:00","05:54","146","132","-6","06:09","15","0","0","0","0","0"
"AA","01/01/2018","1051","N70425","DFW","08:55","09:40","80","65","45","09:55","15","30","0","0","0","0"
"AA","01/01/2018","1054","N961TW","DFW","10:35","10:28","78","87","-7","10:51","23","0","0","0","0","0"
"AA","01/01/2018","1485","N970TW","DFW","16:25","18:25","79","79","120","18:55","30","0","0","0","0","120"
"AA","01/01/2018","1489","N950AN","CLT","07:00","06:59","150","130","-1","07:13","14","0","0","0","0","0"
"AA","01/01/2018","1506","N893NN","ORD","06:27","06:23","167","172","-4","06:39","16","0","0","0","0","0"
"AA","01/01/2018","1753","N103US","CLT","05:00","05:04","146","136","4","05:26","22","0","0","0","0","0"
"AA","01/01/2018","2083","N757UW","PHX","18:00","17:56","178","168","-4","18:09","13","0","0","0","0","0"
"AA","01/01/2018","2104","N102UW","CLT","08:40","08:33","150","146","-7","08:44","11","0","0","0","0","0"
"AA","01/01/2018","2278","N956AN","CLT","17:35","17:41","147","137","6","17:54","13","0","0","0","0","0"
"AA","01/01/2018","2353","N941AN","DFW","14:35","14:35","73","96","0","15:02","27","0","0","23","0","0"
"AA","01/01/2018","2386","N7528A","DFW","18:20","18:19","79","79","-1","18:40","21","0","0","0","0","0"
"AA","01/01/2018","2707","N5007E","MIA","11:17","12:33","147","135","76","12:44","11","0","0","0","0","64"
"AA","01/02/2018","0636","N649AW","PHX","14:45","14:40","178","197","-5","15:05","25","0","0","0","0","0"
