Detailed Statistics Departures  
Origin Airport: Houston, TX: George Bush Intercontinental/Houston (IAH)
Airline: Delta Airlines Inc. (DL)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","04/01/2018","0054","N944DL","ATL","17:06","18:07","124","101","61","18:15","8","0","0","0","0","38"
"DL","04/01/2018","0808","N967AT","DTW","09:20","09:14","172","148","-6","09:24","10","0","0","0","0","0"
"DL","04/01/2018","0976","N967DL","ATL","15:49","16:06","121","113","17","16:21","15","0","0","0","0","0"
"DL","04/01/2018","1456","N910AT","SLC","08:00","07:58","202","195","-2","08:14","16","0","0","0","0","0"
"DL","04/01/2018","1873","N938AT","SLC","18:41","18:37","195","185","-4","18:48","11","0","0","0","0","0"
"DL","04/01/2018","1986","N983DL","ATL","18:40","18:52","119","106","12","19:02","10","0","0","0","0","0"
"DL","04/01/2018","2152","N950DL","ATL","14:10","14:10","117","103","0","14:20","10","0","0","0","0","0"
"DL","04/01/2018","2847","N954DL","ATL","07:10","07:05","121","108","-5","07:14","9","0","0","0","0","0"
"DL","04/01/2018","2851","N935DL","ATL","11:19","11:15","119","105","-4","11:25","10","0","0","0","0","0"
"DL","04/01/2018","2981","N915DE","ATL","08:10","08:05","119","111","-5","08:17","12","0","0","0","0","0"
"DL","04/02/2018","0976","N987DL","ATL","15:49","15:46","121","105","-3","15:55","9","0","0","0","0","0"
"DL","04/02/2018","1456","N966AT","SLC","08:00","08:11","202","181","11","08:23","12","0","0","0","0","0"
"DL","04/02/2018","1873","N910AT","SLC","18:41","18:35","195","190","-6","18:48","13","0","0","0","0","0"
"DL","04/02/2018","1986","N929DN","ATL","18:40","18:40","119","120","0","18:53","13","0","0","0","0","0"
"DL","04/02/2018","2152","N989DL","ATL","14:10","14:23","117","101","13","14:35","12","0","0","0","0","0"
"DL","04/02/2018","2815","N997DL","ATL","17:06","17:14","124","111","8","17:26","12","0","0","0","0","0"
"DL","04/02/2018","2847","N906DL","ATL","07:10","07:08","121","99","-2","07:17","9","0","0","0","0","0"
"DL","04/02/2018","2851","N961DL","ATL","11:19","11:26","119","107","7","11:34","8","0","0","0","0","0"
"DL","04/02/2018","2981","N978DL","ATL","08:10","08:16","119","107","6","08:26","10","0","0","0","0","0"
"DL","04/03/2018","0054","N910DE","ATL","15:44","15:45","123","105","1","15:58","13","0","0","0","0","0"
"DL","04/03/2018","1456","N315NB","SLC","08:00","08:07","197","194","7","08:21","14","0","0","0","0","0"
"DL","04/03/2018","1929","N999DN","ATL","08:10","08:07","118","113","-3","08:17","10","0","0","0","0","0"
"DL","04/03/2018","1986","N981DL","ATL","18:35","18:39","125","150","4","19:33","54","0","0","29","0","0"
"DL","04/03/2018","2152","N904DE","ATL","14:00","14:47","117","103","47","14:56","9","33","0","0","0","0"
"DL","04/03/2018","2847","N910DL","ATL","07:05","07:04","121","111","-1","07:13","9","0","0","0","0","0"
"DL","04/03/2018","2851","N924DL","ATL","11:15","11:22","121","114","7","11:35","13","0","0","0","0","0"
"DL","04/04/2018","0976","N946DL","ATL","15:44","15:46","123","114","2","16:02","16","0","0","0","0","0"
"DL","04/04/2018","1456","N366NB","SLC","08:00","07:54","197","207","-6","08:24","30","0","0","0","0","0"
"DL","04/04/2018","1873","N953AT","SLC","18:43","18:36","195","184","-7","18:52","16","0","0","0","0","0"
"DL","04/04/2018","1929","N908DE","ATL","08:10","08:12","118","118","2","08:30","18","0","0","0","0","0"
"DL","04/04/2018","1986","N972DL","ATL","18:35","18:38","125","119","3","18:48","10","0","0","0","0","0"
"DL","04/04/2018","2152","N915DE","ATL","14:00","14:28","117","124","28","15:02","34","0","0","7","0","28"
"DL","04/04/2018","2847","N910DE","ATL","07:05","07:03","121","122","-2","07:20","17","0","0","0","0","0"
