Detailed Statistics Departures  
Origin Airport: Houston, TX: George Bush Intercontinental/Houston (IAH)
Airline: American Airlines Inc. (AA)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","04/01/2018","0744","N760US","CLT","13:53","13:46","149","143","-7","13:54","8","0","0","0","0","0"
"AA","04/01/2018","0815","N955UW","PHL","12:59","12:51","190","188","-8","13:02","11","0","0","0","0","0"
"AA","04/01/2018","1044","N883NN","MIA","06:00","05:57","144","131","-3","06:10","13","0","0","0","0","0"
"AA","04/01/2018","1054","N969TW","DFW","10:35","10:26","78","72","-9","10:43","17","0","0","0","0","0"
"AA","04/01/2018","1449","N903AN","CLT","07:00","06:58","150","146","-2","07:10","12","0","0","0","0","0"
"AA","04/01/2018","1506","N823NN","ORD","06:24","06:19","165","180","-5","06:31","12","0","0","0","0","0"
"AA","04/01/2018","1753","N724UW","CLT","05:05","04:57","146","157","-8","05:17","20","0","0","0","0","0"
"AA","04/01/2018","1978","N712US","CLT","10:15","10:06","146","141","-9","10:20","14","0","0","0","0","0"
"AA","04/01/2018","2104","N128UW","CLT","08:40","08:32","150","151","-8","08:45","13","0","0","0","0","0"
"AA","04/01/2018","2244","N827NN","DFW","06:30","06:27","82","94","-3","06:57","30","0","0","0","0","0"
"AA","04/01/2018","2278","N893NN","CLT","17:23","17:16","148","148","-7","17:34","18","0","0","0","0","0"
"AA","04/01/2018","2386","N3014R","DFW","18:20","18:47","77","65","27","19:01","14","0","0","0","0","15"
"AA","04/01/2018","2522","N984NN","DFW","05:05","05:05","67","62","0","05:19","14","0","0","0","0","0"
"AA","04/01/2018","2691","N915NN","MIA","07:25","07:21","149","139","-4","07:32","11","0","0","0","0","0"
"AA","04/01/2018","2707","N950NN","MIA","11:24","11:22","144","136","-2","11:33","11","0","0","0","0","0"
"AA","04/01/2018","2779","N9405T","DFW","12:38","12:30","69","73","-8","12:44","14","0","0","0","0","0"
"AA","04/02/2018","0744","N126UW","CLT","13:53","14:07","149","140","14","14:23","16","0","0","0","0","0"
"AA","04/02/2018","0800","N963UW","PHL","06:00","05:57","190","180","-3","06:11","14","0","0","0","0","0"
"AA","04/02/2018","0815","N955UW","PHL","12:59","12:55","190","185","-4","13:05","10","0","0","0","0","0"
"AA","04/02/2018","1044","N860NN","MIA","06:00","05:58","144","132","-2","06:14","16","0","0","0","0","0"
"AA","04/02/2018","1051","N9002U","DFW","08:57","09:26","78","72","29","09:39","13","0","0","0","0","23"
"AA","04/02/2018","1449","N945NN","CLT","07:00","06:53","150","150","-7","07:08","15","0","0","0","0","0"
"AA","04/02/2018","1506","N891NN","ORD","06:24","06:19","165","161","-5","06:45","26","0","0","0","0","0"
"AA","04/02/2018","1753","N730US","CLT","05:05","05:10","146","137","5","05:21","11","0","0","0","0","0"
"AA","04/02/2018","1978","N705UW","CLT","10:15","10:12","146","137","-3","10:25","13","0","0","0","0","0"
"AA","04/02/2018","2104","N103US","CLT","08:40","08:36","150","138","-4","08:48","12","0","0","0","0","0"
"AA","04/02/2018","2244","N975AN","DFW","06:30","06:26","82","72","-4","06:46","20","0","0","0","0","0"
"AA","04/02/2018","2278","N945AN","CLT","17:23","18:44","148","142","81","19:03","19","0","0","0","0","75"
"AA","04/02/2018","2386","N969TW","DFW","18:20","18:16","77","75","-4","18:30","14","0","0","0","0","0"
"AA","04/02/2018","2522","N906AN","DFW","05:05","05:03","67","65","-2","05:24","21","0","0","0","0","0"
"AA","04/02/2018","2691","N881NN","MIA","07:25","07:20","149","152","-5","07:35","15","0","0","0","0","0"
"AA","04/02/2018","2707","N919NN","MIA","11:24","11:28","144","134","4","11:43","15","0","0","0","0","0"
"AA","04/02/2018","2779","N964TW","DFW","12:38","12:41","69","64","3","12:51","10","0","0","0","0","0"
"AA","04/03/2018","0799","N958UW","PHL","12:29","12:51","201","203","22","13:20","29","0","0","24","0","0"
"AA","04/03/2018","1044","N908NN","MIA","06:00","05:56","149","133","-4","06:07","11","0","0","0","0","0"
"AA","04/03/2018","1051","N70425","DFW","08:40","08:35","79","67","-5","08:48","13","0","0","0","0","0"
"AA","04/03/2018","1356","N923NN","CLT","07:00","06:55","153","141","-5","07:07","12","0","0","0","0","0"
"AA","04/03/2018","1604","N962TW","DFW","10:37","10:29","75","71","-8","10:42","13","0","0","0","0","0"
"AA","04/03/2018","1609","N978NN","MIA","11:13","11:07","147","132","-6","11:19","12","0","0","0","0","0"
"AA","04/03/2018","1643","N732US","CLT","05:00","04:54","151","133","-6","05:04","10","0","0","0","0","0"
"AA","04/03/2018","2004","N104UW","CLT","08:37","08:37","154","133","0","08:51","14","0","0","0","0","0"
"AA","04/03/2018","2242","N897NN","ORD","06:28","06:23","167","156","-5","06:36","13","0","0","0","0","0"
"AA","04/03/2018","2353","N9010R","DFW","14:32","15:35","78","89","63","15:53","18","0","0","17","0","57"
