Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: American Airlines Inc. (AA)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","04/01/2018","0012","N106NN","JFK","11:42","12:00","343","316","18","12:24","24","0","0","0","0","0"
"AA","04/01/2018","0018","N103NN","JFK","23:50","23:43","332","307","-7","00:04","21","0","0","0","0","0"
"AA","04/01/2018","0020","N101NN","JFK","15:40","15:34","330","303","-6","15:47","13","0","0","0","0","0"
"AA","04/01/2018","0159","N931AM","DFW","10:04","09:58","206","213","-6","10:18","20","0","0","0","0","0"
"AA","04/01/2018","0259","N928AM","DFW","14:10","14:07","215","199","-3","14:21","14","0","0","0","0","0"
"AA","04/01/2018","0276","N108NN","JFK","22:15","22:10","330","313","-5","22:29","19","0","0","0","0","0"
"AA","04/01/2018","0349","N138AN","DFW","15:55","15:55","208","208","0","16:12","17","0","0","0","0","0"
"AA","04/01/2018","0363","N102NN","JFK","08:00","07:55","339","299","-5","08:12","17","0","0","0","0","0"
"AA","04/01/2018","0434","N913US","PHL","22:35","22:32","321","288","-3","22:54","22","0","0","0","0","0"
"AA","04/01/2018","0445","N924US","CLT","06:00","05:58","301","292","-2","06:38","40","0","0","0","0","0"
"AA","04/01/2018","0517","N153UW","CLT","11:35","11:35","305","289","0","12:02","27","0","0","0","0","0"
"AA","04/01/2018","0635","N508AY","PHX","17:00","16:57","120","139","-3","17:31","34","0","0","16","0","0"
"AA","04/01/2018","0770","N289AY","PHL","08:20","08:17","323","291","-3","08:38","21","0","0","0","0","0"
"AA","04/01/2018","0855","N668AW","PHL","11:05","11:04","326","319","-1","11:32","28","0","0","0","0","0"
"AA","04/01/2018","0898","N582UW","CLT","22:20","23:20","293","299","60","23:59","39","60","0","6","0","0"
"AA","04/01/2018","1009","N933AM","DFW","00:35","00:28","201","188","-7","00:44","16","0","0","0","0","0"
"AA","04/01/2018","1047","N925AN","ORD","01:00","00:57","263","217","-3","01:11","14","0","0","0","0","0"
