Detailed Statistics Departures  
Origin Airport: Houston, TX: George Bush Intercontinental/Houston (IAH)
Airline: Delta Airlines Inc. (DL)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","06/01/2018","0054","N916DE","ATL","17:18","21:23","123","116","245","21:35","12","137","0","0","0","101"
"DL","06/01/2018","0976","N983DL","ATL","15:45","17:55","123","129","130","18:12","17","0","0","136","0","0"
"DL","06/01/2018","1456","N932AT","SLC","08:00","07:55","191","185","-5","08:09","14","0","0","0","0","0"
"DL","06/01/2018","1873","N910AT","SLC","18:37","18:40","199","183","3","18:55","15","0","0","0","0","0"
"DL","06/01/2018","1929","N962DL","ATL","08:10","08:06","115","113","-4","08:18","12","0","0","0","0","0"
"DL","06/01/2018","2152","N948DL","ATL","14:00","17:27","120","146","207","18:02","35","0","0","233","0","0"
"DL","06/01/2018","2847","N942DL","ATL","07:05","07:03","118","120","-2","07:14","11","0","0","0","0","0"
"DL","06/01/2018","2851","N911DE","ATL","11:10","11:05","121","117","-5","11:15","10","0","0","0","0","0"
"DL","06/02/2018","0054","N980DL","ATL","17:18","18:07","123","112","49","18:14","7","2","0","0","0","36"
"DL","06/02/2018","1456","N988DN","SLC","08:00","07:55","191","189","-5","08:07","12","0","0","0","0","0"
"DL","06/02/2018","1929","N908DE","ATL","08:10","09:42","115","117","92","09:54","12","92","0","2","0","0"
"DL","06/02/2018","1986","N942DL","ATL","18:35","19:35","123","116","60","19:46","11","7","0","0","0","46"
"DL","06/02/2018","2152","N994DL","ATL","14:00","15:03","119","115","63","15:14","11","6","0","0","0","53"
"DL","06/02/2018","2847","N968DL","ATL","07:05","07:04","118","116","-1","07:18","14","0","0","0","0","0"
"DL","06/02/2018","2851","N920DE","ATL","11:10","11:52","121","118","42","12:07","15","39","0","0","0","0"
"DL","06/03/2018","0054","N934DL","ATL","17:18","17:57","123","141","39","18:18","21","0","0","57","0","0"
