Detailed Statistics Departures  
Origin Airport: Houston, TX: George Bush Intercontinental/Houston (IAH)
Airline: American Airlines Inc. (AA)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","06/01/2018","0572","N961UW","PHL","15:25","15:22","207","208","-3","15:33","11","0","0","0","0","0"
"AA","06/01/2018","0650","N711UW","CLT","11:50","11:59","151","147","9","12:09","10","0","0","0","0","0"
"AA","06/01/2018","0799","N948UW","PHL","12:35","13:11","200","226","36","13:31","20","0","0","26","0","36"
"AA","06/01/2018","1044","N864NN","MIA","06:00","06:00","147","145","0","06:17","17","0","0","0","0","0"
"AA","06/01/2018","1051","N967TW","DFW","08:55","08:48","78","69","-7","09:01","13","0","0","0","0","0"
"AA","06/01/2018","1152","N874NN","DFW","07:30","07:24","75","59","-6","07:36","12","0","0","0","0","0"
"AA","06/01/2018","1247","N929AN","MIA","11:17","11:14","145","137","-3","11:26","12","0","0","0","0","0"
"AA","06/01/2018","1356","N912NN","CLT","07:00","06:58","152","152","-2","07:11","13","0","0","0","0","0"
"AA","06/01/2018","1377","N301NW","ORD","16:10","16:08","172","163","-2","16:24","16","0","0","0","0","0"
"AA","06/01/2018","1477","N930NN","CLT","15:34","15:39","156","166","5","15:50","11","5","0","10","0","0"
"AA","06/01/2018","1604","N962TW","DFW","10:34","10:30","74","65","-4","10:41","11","0","0","0","0","0"
"AA","06/01/2018","1653","N956UW","PHL","08:10","08:08","200","196","-2","08:21","13","0","0","0","0","0"
"AA","06/01/2018","2004","N737US","CLT","08:30","08:26","153","160","-4","08:44","18","0","0","0","0","0"
"AA","06/01/2018","2088","N127UW","CLT","17:39","17:37","157","169","-2","17:56","19","0","0","0","0","0"
"AA","06/01/2018","2242","N909NN","ORD","06:19","06:27","166","160","8","06:41","14","0","0","0","0","0"
"AA","06/01/2018","2256","N968AN","DFW","19:55","20:08","75","71","13","20:29","21","0","0","0","0","0"
"AA","06/01/2018","2353","N934AN","DFW","14:35","14:30","77","72","-5","14:47","17","0","0","0","0","0"
"AA","06/01/2018","2386","N555AN","DFW","18:25","00:00","78","0","0","00:00","0","0","0","0","0","0"
"AA","06/01/2018","2431","N9621A","DFW","12:41","13:03","67","62","22","13:16","13","0","0","0","0","17"
"AA","06/01/2018","2443","N953AN","CLT","05:00","05:20","150","150","20","05:34","14","20","0","0","0","0"
"AA","06/01/2018","2473","N889NN","DFW","05:05","04:57","67","67","-8","05:13","16","0","0","0","0","0"
"AA","06/01/2018","2674","N833NN","MIA","07:25","07:24","152","159","-1","07:43","19","0","0","0","0","0"
"AA","06/01/2018","2708","N3014R","DFW","16:26","16:23","78","71","-3","16:36","13","0","0","0","0","0"
"AA","06/01/2018","2717","N932NN","DFW","06:30","06:24","73","74","-6","06:38","14","0","0","0","0","0"
"AA","06/02/2018","0650","N834AW","CLT","11:50","11:46","151","147","-4","11:57","11","0","0","0","0","0"
"AA","06/02/2018","0799","N959UW","PHL","12:35","12:32","200","241","-3","12:44","12","0","0","38","0","0"
"AA","06/02/2018","1044","N971AN","MIA","06:00","06:07","147","142","7","06:19","12","0","0","0","0","0"
"AA","06/02/2018","1051","N9029F","DFW","08:55","08:50","78","62","-5","09:02","12","0","0","0","0","0"
"AA","06/02/2018","1152","N969NN","DFW","07:30","10:39","75","69","189","11:00","21","183","0","0","0","0"
"AA","06/02/2018","1247","N814NN","MIA","11:17","11:12","145","144","-5","11:24","12","0","0","0","0","0"
"AA","06/02/2018","1356","N930AN","CLT","07:00","06:58","152","149","-2","07:14","16","0","0","0","0","0"
"AA","06/02/2018","1604","N9629H","DFW","10:34","10:28","74","67","-6","10:43","15","0","0","0","0","0"
"AA","06/02/2018","1653","N954UW","PHL","08:10","08:07","200","192","-3","08:18","11","0","0","0","0","0"
"AA","06/02/2018","1889","N711UW","CLT","17:39","17:30","157","155","-9","17:45","15","0","0","0","0","0"
"AA","06/02/2018","2004","N714US","CLT","08:30","08:30","153","148","0","08:45","15","0","0","0","0","0"
"AA","06/02/2018","2242","N896NN","ORD","06:19","06:14","166","172","-5","06:27","13","0","0","0","0","0"
"AA","06/02/2018","2353","N955NN","DFW","14:35","14:31","77","71","-4","14:48","17","0","0","0","0","0"
"AA","06/02/2018","2386","N9616G","DFW","18:25","18:59","78","64","34","19:14","15","0","0","0","0","20"
"AA","06/02/2018","2431","N9677W","DFW","12:41","12:34","67","60","-7","12:45","11","0","0","0","0","0"
"AA","06/02/2018","2443","N973AN","CLT","05:00","04:59","150","158","-1","05:17","18","0","0","0","0","0"
"AA","06/02/2018","2473","N808NN","DFW","05:05","04:58","67","60","-7","05:11","13","0","0","0","0","0"
"AA","06/02/2018","2674","N919NN","MIA","07:25","07:23","152","147","-2","07:35","12","0","0","0","0","0"
"AA","06/02/2018","2708","N7548A","DFW","16:26","16:21","78","69","-5","16:39","18","0","0","0","0","0"
"AA","06/02/2018","2717","N954NN","DFW","06:30","06:24","73","72","-6","06:39","15","0","0","0","0","0"
"AA","06/03/2018","0572","N967UW","PHL","15:25","17:04","207","203","99","17:17","13","0","0","95","0","0"
"AA","06/03/2018","0799","N948UW","PHL","12:35","12:58","200","225","23","13:36","38","0","0","48","0","0"
"AA","06/03/2018","1044","N922AN","MIA","06:00","05:59","147","146","-1","06:15","16","0","0","0","0","0"
"AA","06/03/2018","1051","N901AN","DFW","08:55","08:56","78","61","1","09:09","13","0","0","0","0","0"
"AA","06/03/2018","1152","N991AN","DFW","07:30","07:25","75","67","-5","07:44","19","0","0","0","0","0"
"AA","06/03/2018","1247","N914NN","MIA","11:17","11:12","145","147","-5","11:24","12","0","0","0","0","0"
"AA","06/03/2018","1356","N926NN","CLT","07:00","06:59","152","143","-1","07:08","9","0","0","0","0","0"
"AA","06/03/2018","1377","N902AN","ORD","16:10","16:06","172","159","-4","16:20","14","0","0","0","0","0"
