Detailed Statistics Departures  
Origin Airport: Houston, TX: George Bush Intercontinental/Houston (IAH)
Airline: Delta Airlines Inc. (DL)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","10/01/2018","0671","N949DN","ATL","11:20","11:52","120","108","32","12:01","9","0","20","0","0","0"
"DL","10/01/2018","0976","N309DE","ATL","15:45","16:23","120","124","38","16:52","29","1","0","4","0","37"
"DL","10/01/2018","0986","N871DN","ATL","09:40","09:37","122","111","-3","09:51","14","0","0","0","0","0"
"DL","10/01/2018","1470","N388DA","ATL","17:15","17:34","116","119","19","17:43","9","0","0","3","0","19"
"DL","10/01/2018","1986","N304DQ","ATL","19:55","19:48","117","106","-7","20:00","12","0","0","0","0","0"
"DL","10/01/2018","2152","N925DN","ATL","13:59","14:44","117","111","45","14:55","11","8","0","0","0","31"
"DL","10/01/2018","2217","N932AT","DTW","15:14","17:39","165","151","145","17:49","10","32","0","0","0","99"
"DL","10/01/2018","2676","N393DA","ATL","06:00","05:59","123","112","-1","06:09","10","0","0","0","0","0"
"DL","10/01/2018","2847","N814DN","ATL","07:10","07:12","121","110","2","07:22","10","0","0","0","0","0"
"DL","10/02/2018","0054","N3759","ATL","17:15","17:14","116","125","-1","17:26","12","0","0","0","0","0"
"DL","10/02/2018","0671","N949DN","ATL","11:20","11:28","120","112","8","11:38","10","0","0","0","0","0"
"DL","10/02/2018","0976","N384DA","ATL","15:45","15:42","120","115","-3","15:56","14","0","0","0","0","0"
"DL","10/02/2018","0986","N856DN","ATL","09:40","09:33","122","114","-7","09:42","9","0","0","0","0","0"
"DL","10/02/2018","1456","N717JL","SLC","07:55","07:50","203","203","-5","08:11","21","0","0","0","0","0"
"DL","10/02/2018","1986","N302DQ","ATL","19:55","19:48","117","115","-7","19:58","10","0","0","0","0","0"
"DL","10/02/2018","2152","N928DN","ATL","13:59","14:04","117","113","5","14:17","13","0","0","0","0","0"
