Detailed Statistics Departures  
Origin Airport: Houston, TX: George Bush Intercontinental/Houston (IAH)
Airline: American Airlines Inc. (AA)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","10/01/2018","0022","N923AN","DFW","16:21","16:27","84","77","6","16:40","13","0","0","0","0","0"
"AA","10/01/2018","0451","N952UW","PHL","12:13","12:38","207","208","25","13:00","22","0","0","1","0","25"
"AA","10/01/2018","0764","N122US","CLT","13:39","13:35","156","152","-4","13:46","11","0","0","0","0","0"
"AA","10/01/2018","0861","N659AW","CLT","11:59","12:20","154","164","21","12:53","33","0","0","10","0","21"
"AA","10/01/2018","1224","N950NN","ORD","06:22","06:16","167","144","-6","06:30","14","0","0","0","0","0"
"AA","10/01/2018","1235","N9026C","MIA","18:05","18:33","160","157","28","18:52","19","19","0","0","0","6"
"AA","10/01/2018","1264","N9616G","DFW","10:34","10:26","82","120","-8","11:39","73","0","0","30","0","0"
"AA","10/01/2018","1271","N804NN","DFW","19:44","19:37","81","75","-7","19:50","13","0","0","0","0","0"
"AA","10/01/2018","1315","N850NN","ORD","16:22","16:26","172","161","4","16:45","19","0","0","0","0","0"
"AA","10/01/2018","1347","N8009T","MIA","06:02","05:55","155","149","-7","06:11","16","0","0","0","0","0"
"AA","10/01/2018","1562","N339PL","CLT","15:43","16:28","150","156","45","16:45","17","0","0","6","0","45"
"AA","10/01/2018","1614","N9017P","MIA","11:12","11:22","154","150","10","11:42","20","0","0","0","0","0"
"AA","10/01/2018","1661","N754UW","CLT","17:30","17:23","154","176","-7","17:36","13","0","0","15","0","0"
"AA","10/01/2018","1768","N967UW","PHL","07:21","07:17","200","200","-4","07:29","12","0","0","0","0","0"
"AA","10/01/2018","1784","N751UW","LAX","14:25","14:17","215","202","-8","14:28","11","0","0","0","0","0"
"AA","10/01/2018","1804","N818AW","CLT","08:48","09:00","147","139","12","09:11","11","0","0","0","0","0"
"AA","10/01/2018","1845","N838AW","DFW","08:15","08:13","80","86","-2","08:41","28","0","0","0","0","0"
"AA","10/01/2018","2025","N944UW","PHL","15:44","16:10","205","199","26","16:22","12","0","0","0","0","20"
"AA","10/01/2018","2079","N826AW","LAX","07:10","06:58","221","201","-12","07:10","12","0","0","0","0","0"
"AA","10/01/2018","2276","N9004F","DFW","18:27","18:21","83","65","-6","18:35","14","0","0","0","0","0"
"AA","10/01/2018","2442","N951NN","DFW","05:06","05:00","68","59","-6","05:11","11","0","0","0","0","0"
"AA","10/01/2018","2551","N932AN","DFW","06:35","06:24","80","75","-11","06:42","18","0","0","0","0","0"
"AA","10/01/2018","2630","N8031M","DFW","14:25","14:58","79","69","33","15:14","16","0","0","0","0","23"
"AA","10/01/2018","2661","N824NN","CLT","05:18","05:10","148","150","-8","05:23","13","0","0","0","0","0"
"AA","10/01/2018","2756","N931NN","MIA","07:33","07:30","157","162","-3","07:46","16","0","0","0","0","0"
"AA","10/01/2018","2783","N908NN","DFW","12:39","12:33","77","102","-6","13:18","45","0","0","19","0","0"
"AA","10/02/2018","0022","N909NN","DFW","16:21","16:21","84","91","0","16:53","32","0","0","0","0","0"
"AA","10/02/2018","0451","N963UW","PHL","12:13","12:10","207","221","-3","12:31","21","0","0","0","0","0"
"AA","10/02/2018","0764","N114UW","CLT","13:39","13:32","156","152","-7","13:43","11","0","0","0","0","0"
"AA","10/02/2018","0861","N647AW","CLT","11:59","11:52","154","153","-7","12:05","13","0","0","0","0","0"
"AA","10/02/2018","1224","N989NN","ORD","06:22","06:15","167","152","-7","06:27","12","0","0","0","0","0"
"AA","10/02/2018","1235","N9013A","MIA","18:05","17:57","160","141","-8","18:06","9","0","0","0","0","0"
"AA","10/02/2018","1264","N501AA","DFW","10:34","10:25","82","74","-9","10:42","17","0","0","0","0","0"
"AA","10/02/2018","1271","N873NN","DFW","19:44","19:31","81","68","-13","19:41","10","0","0","0","0","0"
"AA","10/02/2018","1347","N9016","MIA","06:02","06:01","155","181","-1","06:19","18","0","0","25","0","0"
"AA","10/02/2018","1562","N820NN","CLT","15:43","15:35","150","155","-8","15:53","18","0","0","0","0","0"
"AA","10/02/2018","1661","N545UW","CLT","17:30","17:23","154","161","-7","17:33","10","0","0","0","0","0"
"AA","10/02/2018","1768","N959UW","PHL","07:21","07:07","200","184","-14","07:18","11","0","0","0","0","0"
"AA","10/02/2018","1784","N815AW","LAX","14:25","14:21","215","221","-4","14:50","29","0","0","0","0","0"
"AA","10/02/2018","1804","N838AW","CLT","08:48","08:37","147","151","-11","08:51","14","0","0","0","0","0"
"AA","10/02/2018","1845","N757UW","DFW","08:15","08:07","80","107","-8","08:53","46","0","0","19","0","0"
"AA","10/02/2018","2025","N949UW","PHL","15:44","15:36","205","207","-8","15:50","14","0","0","0","0","0"
"AA","10/02/2018","2079","N829AW","LAX","07:10","07:08","221","208","-2","07:24","16","0","0","0","0","0"
"AA","10/02/2018","2276","N9011P","DFW","18:27","19:14","83","58","47","19:21","7","0","0","0","0","22"
"AA","10/02/2018","2442","N945NN","DFW","05:06","04:56","68","76","-10","05:14","18","0","0","0","0","0"
"AA","10/02/2018","2551","N335PH","DFW","06:35","06:26","80","67","-9","06:39","13","0","0","0","0","0"
"AA","10/02/2018","2630","N9021H","DFW","14:25","14:17","79","81","-8","14:41","24","0","0","0","0","0"
"AA","10/02/2018","2661","N983AN","CLT","05:18","05:12","148","147","-6","05:26","14","0","0","0","0","0"
"AA","10/02/2018","2756","N931AN","MIA","07:33","07:29","157","155","-4","07:46","17","0","0","0","0","0"
"AA","10/02/2018","2783","N825NN","DFW","12:39","12:30","77","68","-9","12:40","10","0","0","0","0","0"
"AA","10/03/2018","0022","N905AN","DFW","16:21","16:21","84","76","0","16:34","13","0","0","0","0","0"
"AA","10/03/2018","0451","N949UW","PHL","12:13","12:01","207","195","-12","12:16","15","0","0","0","0","0"
"AA","10/03/2018","0764","N121UW","CLT","13:39","13:29","156","0","-10","13:41","12","0","0","0","0","0"
"AA","10/03/2018","0861","N654AW","CLT","11:59","11:55","154","142","-4","12:06","11","0","0","0","0","0"
"AA","10/03/2018","1224","N894NN","ORD","06:22","06:16","167","159","-6","06:31","15","0","0","0","0","0"
"AA","10/03/2018","1235","N8027D","MIA","18:05","17:59","160","137","-6","18:09","10","0","0","0","0","0"
"AA","10/03/2018","1264","N9630A","DFW","10:34","10:26","82","75","-8","10:50","24","0","0","0","0","0"
"AA","10/03/2018","1271","N843NN","DFW","19:44","19:34","81","70","-10","19:49","15","0","0","0","0","0"
"AA","10/03/2018","1315","N928NN","ORD","16:22","16:41","172","162","19","17:00","19","0","0","0","0","0"
"AA","10/03/2018","1347","N9025B","MIA","06:02","06:00","155","142","-2","06:14","14","0","0","0","0","0"
"AA","10/03/2018","1562","N965AN","CLT","15:43","15:40","150","146","-3","15:51","11","0","0","0","0","0"
"AA","10/03/2018","1661","N169UW","CLT","17:30","17:23","154","154","-7","17:36","13","0","0","0","0","0"
"AA","10/03/2018","1768","N951UW","PHL","07:21","07:17","200","183","-4","07:29","12","0","0","0","0","0"
"AA","10/03/2018","1784","N118NN","LAX","14:25","14:16","215","191","-9","14:28","12","0","0","0","0","0"
"AA","10/03/2018","1804","N756US","CLT","08:48","08:45","147","144","-3","08:57","12","0","0","0","0","0"
"AA","10/03/2018","1845","N724UW","DFW","08:15","08:08","80","91","-7","08:31","23","0","0","0","0","0"
"AA","10/03/2018","2025","N959UW","PHL","15:44","15:45","205","199","1","15:56","11","0","0","0","0","0"
"AA","10/03/2018","2079","N801AW","LAX","07:10","07:05","221","222","-5","07:37","32","0","0","0","0","0"
"AA","10/03/2018","2276","N9011P","DFW","18:27","18:46","83","59","19","18:58","12","0","0","0","0","0"
"AA","10/03/2018","2442","N945NN","DFW","05:06","04:56","68","80","-10","05:19","23","0","0","0","0","0"
"AA","10/03/2018","2551","N817NN","DFW","06:35","06:34","80","71","-1","06:51","17","0","0","0","0","0"
"AA","10/03/2018","2630","N8030F","DFW","14:25","14:22","79","106","-3","15:08","46","0","0","24","0","0"
"AA","10/03/2018","2661","N358PW","CLT","05:18","05:18","148","154","0","05:47","29","0","0","0","0","0"
"AA","10/03/2018","2756","N813NN","MIA","07:33","07:29","157","148","-4","07:41","12","0","0","0","0","0"
"AA","10/03/2018","2783","N991NN","DFW","12:39","12:58","77","66","19","13:09","11","0","0","0","0","0"
"AA","10/04/2018","0451","N967UW","PHL","12:14","13:11","206","217","57","13:27","16","0","0","11","0","57"
"AA","10/04/2018","0764","N123UW","CLT","13:41","13:57","155","147","16","14:10","13","0","0","0","0","0"
"AA","10/04/2018","0861","N835AW","CLT","12:06","12:01","154","150","-5","12:17","16","0","0","0","0","0"
"AA","10/04/2018","1043","N937NN","DFW","16:23","16:36","82","85","13","17:04","28","13","0","3","0","0"
"AA","10/04/2018","1075","N9026C","MIA","18:16","18:21","158","170","5","18:39","18","0","0","12","0","5"
"AA","10/04/2018","1224","N354PT","ORD","06:20","06:13","169","163","-7","06:28","15","0","0","0","0","0"
"AA","10/04/2018","1264","N9620D","DFW","10:36","10:35","80","71","-1","10:51","16","0","0","0","0","0"
"AA","10/04/2018","1271","N955NN","DFW","19:46","19:39","79","70","-7","19:57","18","0","0","0","0","0"
"AA","10/04/2018","1315","N913AN","ORD","16:22","16:19","172","148","-3","16:36","17","0","0","0","0","0"
"AA","10/04/2018","1347","N9010R","MIA","06:04","05:58","153","159","-6","06:15","17","0","0","0","0","0"
"AA","10/04/2018","1562","N813NN","CLT","15:39","15:34","154","140","-5","15:46","12","0","0","0","0","0"
"AA","10/04/2018","1614","N870NN","MIA","11:16","11:16","150","142","0","11:29","13","0","0","0","0","0"
"AA","10/04/2018","1661","N157UW","CLT","17:32","17:43","151","151","11","17:57","14","0","0","0","0","0"
"AA","10/04/2018","1768","N951UW","PHL","07:19","07:12","199","205","-7","07:29","17","0","0","0","0","0"
"AA","10/04/2018","1784","N831AW","LAX","14:10","14:04","215","193","-6","14:17","13","0","0","0","0","0"
"AA","10/04/2018","1804","N757UW","CLT","08:51","08:44","148","150","-7","09:00","16","0","0","0","0","0"
