Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: Delta Airlines Inc. (DL)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","01/01/2018","0697","N540US","LAS","22:28","22:22","351","346","-6","22:38","16","0","0","0","0","0"
"DL","01/01/2018","0836","N824NW","ATL","17:55","17:48","520","516","-7","18:05","17","0","0","0","0","0"
"DL","01/01/2018","1074","N886DN","SFO","23:15","23:08","322","308","-7","23:22","14","0","0","0","0","0"
"DL","01/01/2018","1112","N830NW","MSP","17:45","17:37","473","507","-8","18:27","50","0","0","26","0","0"
"DL","01/01/2018","1150","N596NW","LAX","07:55","08:41","325","326","46","09:01","20","46","0","1","0","0"
"DL","01/01/2018","1212","N594NW","LAX","21:45","21:42","315","322","-3","22:00","18","0","0","0","0","0"
"DL","01/01/2018","1284","N196DN","LAX","12:00","11:57","333","321","-3","12:17","20","0","0","0","0","0"
"DL","01/01/2018","1330","N840MH","JFK","17:39","19:11","586","608","92","19:32","21","30","0","22","0","62"
"DL","01/01/2018","1642","N539US","SEA","14:05","14:03","356","351","-2","14:19","16","0","0","0","0","0"
"DL","01/01/2018","1688","N592NW","LAX","16:09","16:01","326","329","-8","16:17","16","0","0","0","0","0"
"DL","01/01/2018","1986","N869DN","PDX","23:15","23:08","335","336","-7","23:27","19","0","0","0","0","0"
"DL","01/01/2018","2059","N874DN","LAX","23:32","23:25","326","335","-7","23:49","24","0","0","0","0","0"
"DL","01/01/2018","2218","N821DX","SEA","22:50","22:45","355","344","-5","23:03","18","0","0","0","0","0"
"DL","01/01/2018","2768","N821NW","SLC","21:40","21:42","380","364","2","22:01","19","0","0","0","0","0"
"DL","01/02/2018","0697","N545US","LAS","22:28","23:01","351","350","33","23:22","21","0","0","0","0","32"
"DL","01/02/2018","0836","N830NW","ATL","17:55","17:47","520","523","-8","18:06","19","0","0","0","0","0"
"DL","01/02/2018","1074","N882DN","SFO","23:15","23:10","322","318","-5","23:32","22","0","0","0","0","0"
"DL","01/02/2018","1112","N823NW","MSP","17:45","17:42","473","471","-3","18:03","21","0","0","0","0","0"
"DL","01/02/2018","1150","N591NW","LAX","07:55","07:50","325","337","-5","08:09","19","0","0","0","0","0"
"DL","01/02/2018","1212","N588NW","LAX","21:45","21:50","315","318","5","22:09","19","0","0","0","0","0"
"DL","01/02/2018","1284","N1612T","LAX","12:00","11:54","333","338","-6","12:19","25","0","0","0","0","0"
"DL","01/02/2018","1330","N839MH","JFK","17:39","21:37","586","572","238","21:56","19","224","0","0","0","0"
"DL","01/02/2018","1642","N544US","SEA","14:05","13:53","356","344","-12","14:08","15","0","0","0","0","0"
"DL","01/02/2018","1688","N585NW","LAX","16:09","16:04","326","314","-5","16:20","16","0","0","0","0","0"
"DL","01/02/2018","1986","N879DN","PDX","23:15","23:13","335","325","-2","23:30","17","0","0","0","0","0"
"DL","01/02/2018","2059","N861DN","LAX","23:32","23:29","326","322","-3","23:50","21","0","0","0","0","0"
"DL","01/02/2018","2218","N854NW","SEA","22:50","22:49","353","348","-1","23:19","30","0","0","0","0","0"
"DL","01/02/2018","2768","N805NW","SLC","21:40","22:14","380","351","34","22:29","15","0","0","0","0","0"
"DL","01/03/2018","0836","N803NW","ATL","17:55","17:47","520","516","-8","18:05","18","0","0","0","0","0"
"DL","01/03/2018","1150","N590NW","LAX","08:00","07:56","324","323","-4","08:14","18","0","0","0","0","0"
"DL","01/03/2018","1212","N595NW","LAX","22:05","22:18","315","315","13","22:31","13","0","0","0","0","0"
"DL","01/03/2018","1284","N152DL","LAX","11:15","11:11","326","323","-4","11:28","17","0","0","0","0","0"
"DL","01/03/2018","1434","N585NW","LAX","16:06","16:00","324","332","-6","16:15","15","0","0","0","0","0"
"DL","01/03/2018","1492","N829NW","MSP","18:00","17:51","473","476","-9","18:08","17","0","0","0","0","0"
"DL","01/03/2018","1947","N546US","SEA","14:20","14:14","348","362","-6","14:37","23","0","0","0","0","0"
"DL","01/03/2018","2218","N540US","SEA","23:20","23:11","348","362","-9","23:41","30","0","0","0","0","0"
"DL","01/03/2018","2768","N808NW","SLC","22:00","21:53","376","376","-7","22:12","19","0","0","0","0","0"
"DL","01/04/2018","0836","N823NW","ATL","17:55","17:52","520","516","-3","18:09","17","0","0","0","0","0"
"DL","01/04/2018","0848","N831MH","JFK","16:17","20:14","578","571","237","20:33","19","0","230","0","0","0"
"DL","01/04/2018","1150","N586NW","LAX","08:00","07:57","324","326","-3","08:14","17","0","0","0","0","0"
"DL","01/04/2018","1212","N591NW","LAX","22:05","22:04","315","308","-1","22:22","18","0","0","0","0","0"
"DL","01/04/2018","1284","N190DN","LAX","11:15","11:12","326","320","-3","11:26","14","0","0","0","0","0"
"DL","01/04/2018","1434","N539US","LAX","16:00","15:56","325","329","-4","16:13","17","0","0","0","0","0"
"DL","01/04/2018","1492","N824NW","MSP","18:00","17:56","473","475","-4","18:17","21","0","0","0","0","0"
"DL","01/04/2018","1947","N535US","SEA","14:20","14:13","348","372","-7","14:41","28","0","0","17","0","0"
"DL","01/04/2018","2218","N586NW","SEA","23:20","23:28","348","345","8","23:42","14","0","0","0","0","0"
"DL","01/04/2018","2768","N806NW","SLC","22:00","21:52","376","370","-8","22:11","19","0","0","0","0","0"
"DL","01/05/2018","0836","N824NW","ATL","17:55","17:52","520","522","-3","18:06","14","0","0","0","0","0"
"DL","01/05/2018","0848","N827MH","JFK","16:17","20:43","581","600","266","20:57","14","16","0","19","0","250"
"DL","01/05/2018","1150","N535US","LAX","08:00","15:45","324","373","465","16:04","19","465","0","49","0","0"
"DL","01/05/2018","1212","N587NW","LAX","22:05","22:25","315","339","20","22:53","28","20","0","24","0","0"
"DL","01/05/2018","1284","N187DN","LAX","11:15","11:15","326","335","0","11:29","14","0","0","0","0","0"
"DL","01/05/2018","1434","N543US","LAX","16:00","15:51","325","335","-9","16:09","18","0","0","0","0","0"
"DL","01/05/2018","1492","N818NW","MSP","18:00","17:54","473","471","-6","18:12","18","0","0","0","0","0"
"DL","01/05/2018","1947","N536US","SEA","14:20","14:16","348","366","-4","14:36","20","0","0","0","0","0"
"DL","01/05/2018","2218","N539US","SEA","23:20","02:56","348","352","216","03:09","13","216","0","4","0","0"
"DL","01/05/2018","2768","N809NW","SLC","22:00","21:51","376","384","-9","22:18","27","0","0","0","0","0"
"DL","01/06/2018","0836","N827NW","ATL","17:55","17:50","516","494","-5","18:03","13","0","0","0","0","0"
"DL","01/06/2018","0848","N839MH","JFK","16:17","17:28","581","613","71","17:44","16","7","0","32","0","64"
"DL","01/06/2018","1150","N586NW","LAX","08:00","07:59","324","335","-1","08:16","17","0","0","0","0","0"
"DL","01/06/2018","1212","N583NW","LAX","22:05","22:00","315","333","-5","22:20","20","0","0","0","0","0"
"DL","01/06/2018","1284","N190DN","LAX","11:15","11:45","326","334","30","12:01","16","30","0","8","0","0"
"DL","01/06/2018","1434","N548US","LAX","16:00","16:20","325","337","20","16:33","13","20","0","12","0","0"
"DL","01/06/2018","1492","N842MH","MSP","18:00","19:40","476","453","100","19:57","17","0","0","0","0","77"
"DL","01/06/2018","1947","N536US","SEA","14:20","14:15","346","339","-5","14:39","24","0","0","0","0","0"
"DL","01/06/2018","2218","N545US","SEA","23:20","23:20","345","333","0","23:39","19","0","0","0","0","0"
"DL","01/06/2018","2768","N818NW","SLC","22:00","21:58","373","374","-2","22:24","26","0","0","0","0","0"
"DL","01/07/2018","0836","N823NW","ATL","17:55","17:49","520","521","-6","18:15","26","0","0","0","0","0"
"DL","01/07/2018","0848","N835MH","JFK","16:17","16:36","581","612","19","16:51","15","19","0","31","0","0"
"DL","01/07/2018","1150","N589NW","LAX","08:00","08:12","324","335","12","08:31","19","12","0","11","0","0"
"DL","01/07/2018","1212","N582NW","LAX","22:05","22:04","315","334","-1","22:27","23","0","0","18","0","0"
"DL","01/07/2018","1284","N181DN","LAX","11:15","11:32","326","329","17","11:45","13","17","0","3","0","0"
"DL","01/07/2018","1434","N542US","LAX","16:00","16:59","325","320","59","17:13","14","0","0","0","0","54"
"DL","01/07/2018","1492","N816NW","MSP","18:00","17:54","473","476","-6","18:13","19","0","0","0","0","0"
"DL","01/07/2018","1879","N591NW","LAS","22:40","22:39","345","350","-1","22:59","20","0","0","0","0","0"
"DL","01/07/2018","1947","N539US","SEA","14:20","14:27","348","357","7","14:45","18","7","0","9","0","0"
"DL","01/07/2018","2218","N538US","SEA","23:20","23:15","348","370","-5","23:32","17","0","0","17","0","0"
"DL","01/07/2018","2768","N842MH","SLC","22:00","21:54","376","376","-6","22:13","19","0","0","0","0","0"
"DL","01/08/2018","0836","N813NW","ATL","17:55","17:54","520","525","-1","18:09","15","0","0","0","0","0"
"DL","01/08/2018","1150","N583NW","LAX","08:00","08:08","324","329","8","08:27","19","0","0","0","0","0"
"DL","01/08/2018","1212","N590NW","LAX","22:05","22:00","315","326","-5","22:22","22","0","0","0","0","0"
"DL","01/08/2018","1284","N189DN","LAX","11:15","11:12","326","336","-3","11:31","19","0","0","0","0","0"
"DL","01/08/2018","1434","N188DN","LAX","16:00","16:00","325","373","0","16:17","17","0","0","48","0","0"
"DL","01/08/2018","1492","N818NW","MSP","18:00","17:52","473","470","-8","18:10","18","0","0","0","0","0"
"DL","01/08/2018","1947","N546US","SEA","14:20","14:15","348","359","-5","14:33","18","0","0","0","0","0"
"DL","01/08/2018","2218","N545US","SEA","23:20","23:34","348","341","14","23:49","15","0","0","0","0","0"
"DL","01/08/2018","2768","N816NW","SLC","22:00","21:50","376","386","-10","22:17","27","0","0","0","0","0"
"DL","01/09/2018","0836","N827NW","ATL","17:55","17:52","520","526","-3","18:09","17","0","0","0","0","0"
"DL","01/09/2018","1150","N595NW","LAX","08:00","07:56","324","327","-4","08:13","17","0","0","0","0","0"
"DL","01/09/2018","1212","N589NW","LAX","22:05","21:57","315","327","-8","22:28","31","0","0","0","0","0"
"DL","01/09/2018","1284","N197DN","LAX","11:15","11:39","326","335","24","11:54","15","0","0","9","0","24"
"DL","01/09/2018","2218","N539US","SEA","23:20","23:21","348","314","1","23:37","16","0","0","0","0","0"
