Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: United Airlines Inc. (UA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","01/01/2018","0114","N12116","DEN","22:45","22:41","417","407","-4","23:01","20","0","0","0","0","0"
"UA","01/01/2018","0201","N211UA","GUM","15:15","15:12","470","468","-3","15:32","20","0","0","0","0","0"
"UA","01/01/2018","0218","N780UA","ORD","16:50","16:47","483","497","-3","17:07","20","0","0","0","0","0"
"UA","01/01/2018","0252","N212UA","IAH","20:35","20:25","450","414","-10","20:39","14","0","0","0","0","0"
"UA","01/01/2018","0344","N661UA","IAD","16:40","16:34","548","538","-6","16:57","23","0","0","0","0","0"
"UA","01/01/2018","0362","N69063","EWR","16:30","16:33","571","558","3","16:49","16","0","0","0","0","0"
"UA","01/01/2018","0372","N214UA","SFO","07:55","08:21","294","303","26","08:37","16","26","0","9","0","0"
"UA","01/01/2018","0383","N771UA","DEN","21:20","21:20","391","387","0","21:39","19","0","0","0","0","0"
"UA","01/01/2018","0396","N214UA","SFO","22:00","22:07","289","300","7","22:26","19","7","0","11","0","0"
"UA","01/01/2018","0534","N210UA","LAX","21:45","21:41","316","325","-4","22:03","22","0","0","0","0","0"
"UA","01/01/2018","0650","N69829","SFO","17:00","17:05","310","306","5","17:20","15","0","0","0","0","0"
"UA","01/01/2018","0724","N57852","SFO","14:15","14:12","299","315","-3","14:34","22","0","0","0","0","0"
"UA","01/01/2018","1221","N69826","LAX","09:29","09:22","333","330","-7","09:35","13","0","0","0","0","0"
"UA","01/01/2018","1229","N69810","LAX","23:59","23:54","333","334","-5","00:04","10","0","0","0","0","0"
"UA","01/01/2018","1231","N57864","LAX","07:05","07:01","321","335","-4","07:16","15","0","0","0","0","0"
"UA","01/01/2018","1575","N62883","SFO","23:45","23:34","306","299","-11","23:47","13","0","0","0","0","0"
"UA","01/01/2018","1636","N66837","LAX","16:20","16:15","333","321","-5","16:34","19","0","0","0","0","0"
"UA","01/01/2018","1760","N69838","LAX","13:20","13:13","333","324","-7","13:30","17","0","0","0","0","0"
"UA","01/01/2018","2010","N62883","SFO","00:40","00:24","310","314","-16","00:47","23","0","0","0","0","0"
"UA","01/02/2018","0114","N17139","DEN","22:45","22:45","417","418","0","23:14","29","0","0","0","0","0"
"UA","01/02/2018","0201","N774UA","GUM","15:15","15:22","470","465","7","15:42","20","0","0","0","0","0"
"UA","01/02/2018","0218","N775UA","ORD","16:50","16:42","483","476","-8","16:57","15","0","0","0","0","0"
"UA","01/02/2018","0252","N771UA","IAH","20:35","20:31","450","435","-4","20:52","21","0","0","0","0","0"
"UA","01/02/2018","0344","N661UA","IAD","16:40","16:36","548","545","-4","16:54","18","0","0","0","0","0"
"UA","01/02/2018","0362","N76054","EWR","16:30","16:20","571","573","-10","16:35","15","0","0","0","0","0"
"UA","01/02/2018","0372","N776UA","SFO","07:55","07:51","294","288","-4","08:06","15","0","0","0","0","0"
"UA","01/02/2018","0383","N211UA","DEN","21:20","21:21","391","380","1","21:37","16","0","0","0","0","0"
"UA","01/02/2018","0396","N215UA","SFO","22:00","21:53","289","299","-7","22:17","24","0","0","0","0","0"
"UA","01/02/2018","0534","N773UA","LAX","21:45","21:40","316","300","-5","21:58","18","0","0","0","0","0"
"UA","01/02/2018","0650","N37470","SFO","17:00","16:58","310","312","-2","17:13","15","0","0","0","0","0"
"UA","01/02/2018","0724","N75858","SFO","14:15","14:11","299","333","-4","14:31","20","0","0","30","0","0"
"UA","01/02/2018","1221","N62894","LAX","09:29","09:21","333","321","-8","09:37","16","0","0","0","0","0"
"UA","01/02/2018","1229","N62894","LAX","23:59","23:50","333","343","-9","00:06","16","0","0","0","0","0"
"UA","01/02/2018","1231","N75851","LAX","07:05","07:02","321","313","-3","07:16","14","0","0","0","0","0"
"UA","01/02/2018","1575","N67812","SFO","23:45","23:43","306","305","-2","23:57","14","0","0","0","0","0"
"UA","01/02/2018","1636","N66831","LAX","16:20","16:12","333","332","-8","16:29","17","0","0","0","0","0"
"UA","01/02/2018","1760","N65832","LAX","13:20","13:17","333","320","-3","13:34","17","0","0","0","0","0"
"UA","01/02/2018","2010","N69835","SFO","00:40","00:34","310","312","-6","00:51","17","0","0","0","0","0"
"UA","01/03/2018","0114","N17139","DEN","22:45","22:44","417","416","-1","23:02","18","0","0","0","0","0"
"UA","01/03/2018","0201","N768UA","GUM","15:15","16:33","470","446","78","16:50","17","54","0","0","0","0"
"UA","01/03/2018","0218","N771UA","ORD","16:50","17:05","483","484","15","17:19","14","0","0","1","0","15"
"UA","01/03/2018","0252","N774UA","IAH","20:35","20:33","450","448","-2","20:51","18","0","0","0","0","0"
"UA","01/03/2018","0344","N668UA","IAD","16:40","16:34","548","564","-6","17:04","30","0","0","0","0","0"
"UA","01/03/2018","0362","","EWR","16:30","00:00","571","0","0","00:00","0","0","0","0","0","0"
"UA","01/03/2018","0372","N780UA","SFO","07:55","07:56","294","333","1","08:18","22","0","0","40","0","0"
"UA","01/03/2018","0383","N776UA","DEN","21:20","21:20","391","400","0","21:40","20","0","0","0","0","0"
"UA","01/03/2018","0396","N211UA","SFO","22:00","22:15","289","301","15","22:37","22","15","0","12","0","0"
"UA","01/03/2018","0534","N780UA","LAX","21:45","21:42","316","313","-3","22:00","18","0","0","0","0","0"
"UA","01/03/2018","0650","N67827","SFO","17:00","16:53","310","343","-7","17:14","21","0","0","26","0","0"
"UA","01/03/2018","0724","N77867","SFO","14:15","14:09","299","307","-6","14:25","16","0","0","0","0","0"
"UA","01/03/2018","1221","N61881","LAX","09:29","09:19","333","338","-10","09:39","20","0","0","0","0","0"
"UA","01/03/2018","1229","N61881","LAX","23:59","23:59","333","344","0","00:14","15","0","0","0","0","0"
"UA","01/03/2018","1231","N57868","LAX","07:05","07:01","321","314","-4","07:18","17","0","0","0","0","0"
"UA","01/03/2018","1575","N61886","SFO","23:45","23:42","306","302","-3","23:54","12","0","0","0","0","0"
"UA","01/03/2018","1636","N69824","LAX","16:20","16:22","333","337","2","16:40","18","0","0","0","0","0"
"UA","01/03/2018","1760","N69810","LAX","13:07","13:08","332","329","1","13:23","15","0","0","0","0","0"
"UA","01/03/2018","2010","N61886","SFO","00:40","00:51","310","312","11","01:08","17","0","0","0","0","0"
"UA","01/04/2018","0114","N14120","DEN","22:45","22:59","417","406","14","23:15","16","0","0","0","0","0"
"UA","01/04/2018","0201","N776UA","GUM","15:15","16:46","470","460","91","17:09","23","0","0","0","0","81"
"UA","01/04/2018","0218","N774UA","ORD","16:50","17:00","483","504","10","17:19","19","10","0","21","0","0"
"UA","01/04/2018","0252","N212UA","IAH","20:35","20:38","450","463","3","20:57","19","0","0","16","0","0"
"UA","01/04/2018","0344","N673UA","IAD","16:40","18:08","548","535","88","18:31","23","11","0","0","0","64"
"UA","01/04/2018","0362","N76062","EWR","16:30","16:44","571","600","14","17:10","26","14","0","29","0","0"
"UA","01/04/2018","0372","N775UA","SFO","07:55","07:55","294","293","0","08:11","16","0","0","0","0","0"
"UA","01/04/2018","0383","N768UA","DEN","21:20","21:29","391","389","9","21:50","21","0","0","0","0","0"
"UA","01/04/2018","0396","N213UA","SFO","22:00","22:04","289","297","4","22:25","21","0","0","0","0","0"
"UA","01/04/2018","0534","N775UA","LAX","21:45","23:03","316","308","78","23:24","21","70","0","0","0","0"
"UA","01/04/2018","0650","N39450","SFO","17:00","17:06","310","314","6","17:26","20","0","0","0","0","0"
"UA","01/04/2018","0724","N215UA","SFO","14:05","14:09","294","330","4","14:25","16","0","0","40","0","0"
"UA","01/04/2018","1221","N62884","LAX","09:29","09:23","333","320","-6","09:41","18","0","0","0","0","0"
"UA","01/04/2018","1229","N66837","LAX","23:59","00:17","333","341","18","00:34","17","18","0","8","0","0"
"UA","01/04/2018","1231","N77871","LAX","07:05","07:10","321","315","5","07:25","15","0","0","0","0","0"
"UA","01/04/2018","1575","N68805","SFO","23:45","23:45","306","305","0","00:01","16","0","0","0","0","0"
"UA","01/04/2018","1636","N66841","LAX","16:20","16:11","333","339","-9","16:28","17","0","0","0","0","0"
"UA","01/04/2018","1760","N62892","LAX","13:20","13:20","333","326","0","13:40","20","0","0","0","0","0"
"UA","01/04/2018","2010","N68843","SFO","00:40","00:46","310","305","6","01:00","14","0","0","0","0","0"
"UA","01/05/2018","0114","N17128","DEN","22:45","22:50","417","416","5","23:12","22","0","0","0","0","0"
"UA","01/05/2018","0201","N212UA","GUM","15:15","15:57","470","457","42","16:19","22","0","0","0","0","29"
