Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: American Airlines Inc. (AA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","01/01/2018","0008","N767AJ","DFW","18:45","18:36","436","442","-9","19:04","28","0","0","0","0","0"
"AA","01/01/2018","0102","N778AN","DFW","21:00","20:51","442","438","-9","21:10","19","0","0","0","0","0"
"AA","01/01/2018","0108","N131NN","LAX","08:10","07:54","334","322","-16","08:09","15","0","0","0","0","0"
"AA","01/01/2018","0144","N772AN","LAX","23:35","23:29","325","316","-6","23:45","16","0","0","0","0","0"
"AA","01/01/2018","0162","N120EE","LAX","13:58","13:51","341","326","-7","14:09","18","0","0","0","0","0"
"AA","01/01/2018","0239","N121AN","LAX","12:35","12:21","338","334","-14","12:38","17","0","0","0","0","0"
"AA","01/01/2018","0284","N118NN","LAX","15:25","15:12","347","347","-13","15:30","18","0","0","0","0","0"
"AA","01/01/2018","0298","N124AA","LAX","22:35","22:18","331","320","-17","22:33","15","0","0","0","0","0"
"AA","01/01/2018","0689","N203UW","PHX","14:10","14:07","367","370","-3","14:28","21","0","0","0","0","0"
"AA","01/01/2018","0693","N277AY","PHX","22:00","21:54","358","341","-6","22:15","21","0","0","0","0","0"
"AA","01/02/2018","0008","N765AN","DFW","18:45","18:39","436","414","-6","18:55","16","0","0","0","0","0"
"AA","01/02/2018","0102","N787AL","DFW","21:00","22:03","442","421","63","22:27","24","42","0","0","0","0"
"AA","01/02/2018","0108","N121AN","LAX","08:10","07:57","334","345","-13","08:24","27","0","0","0","0","0"
"AA","01/02/2018","0144","N753AN","LAX","23:35","23:29","325","313","-6","23:48","19","0","0","0","0","0"
"AA","01/02/2018","0162","N126AN","LAX","13:58","13:58","341","339","0","14:19","21","0","0","0","0","0"
