Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: Delta Airlines Inc. (DL)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","04/01/2018","0836","N836MH","ATL","16:50","16:55","525","510","5","17:11","16","0","0","0","0","0"
"DL","04/01/2018","1150","N535US","LAX","07:10","07:11","320","330","1","07:32","21","0","0","0","0","0"
"DL","04/01/2018","1212","N587NW","LAX","20:45","20:39","315","312","-6","20:58","19","0","0","0","0","0"
"DL","04/01/2018","1284","N156DL","LAX","11:15","11:10","326","329","-5","11:24","14","0","0","0","0","0"
"DL","04/01/2018","1434","N540US","LAX","15:00","14:52","325","319","-8","15:10","18","0","0","0","0","0"
"DL","04/01/2018","1492","N827MH","MSP","17:00","16:53","475","461","-7","17:12","19","0","0","0","0","0"
"DL","04/01/2018","1947","N545US","SEA","13:15","13:12","347","345","-3","13:31","19","0","0","0","0","0"
"DL","04/01/2018","2218","N537US","SEA","22:15","22:09","345","323","-6","22:24","15","0","0","0","0","0"
"DL","04/01/2018","2768","N1402A","SLC","20:55","20:52","363","356","-3","21:12","20","0","0","0","0","0"
"DL","04/02/2018","0836","N827MH","ATL","16:50","16:48","525","508","-2","17:08","20","0","0","0","0","0"
"DL","04/02/2018","1150","N538US","LAX","07:10","07:08","320","328","-2","07:27","19","0","0","0","0","0"
"DL","04/02/2018","1212","N593NW","LAX","20:45","20:37","315","316","-8","21:00","23","0","0","0","0","0"
"DL","04/02/2018","1284","N196DN","LAX","11:15","11:10","326","323","-5","11:27","17","0","0","0","0","0"
"DL","04/02/2018","1434","N548US","LAX","15:00","14:58","325","320","-2","15:14","16","0","0","0","0","0"
