Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: Southwest Airlines Co. (WN)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","06/01/2018","0157","N555LV","PDX","16:00","16:29","110","106","29","16:54","25","8","0","0","0","17"
"WN","06/01/2018","0282","N459WN","BUR","18:45","18:44","70","60","-1","18:56","12","0","0","0","0","0"
"WN","06/01/2018","0291","N8318F","DAL","16:00","16:00","210","204","0","16:21","21","0","0","0","0","0"
"WN","06/01/2018","0354","N238WN","BUR","09:50","10:05","70","63","15","10:17","12","0","0","0","0","0"
"WN","06/01/2018","0483","N7743B","SAN","09:05","09:02","100","88","-3","09:20","18","0","0","0","0","0"
"WN","06/01/2018","0762","N8550Q","DAL","06:00","05:55","210","206","-5","06:22","27","0","0","0","0","0"
"WN","06/01/2018","0838","N271LV","PHX","10:35","10:32","115","111","-3","10:42","10","0","0","0","0","0"
"WN","06/01/2018","1051","N417WN","SNA","19:55","19:52","90","88","-3","20:13","21","0","0","0","0","0"
"WN","06/01/2018","1060","N203WN","PHX","12:30","12:29","115","115","-1","12:44","15","0","0","0","0","0"
"WN","06/01/2018","1201","N799SW","LAS","21:45","22:21","90","84","36","22:37","16","2","0","0","0","28"
"WN","06/01/2018","1209","N7713A","LAX","09:00","08:56","95","81","-4","09:18","22","0","0","0","0","0"
"WN","06/01/2018","1211","N7713A","LAX","13:20","13:14","90","98","-6","13:51","37","0","0","0","0","0"
"WN","06/01/2018","1237","N784SW","LAX","08:05","08:03","90","92","-2","08:28","25","0","0","0","0","0"
"WN","06/01/2018","1243","N464WN","LAX","16:05","16:02","85","80","-3","16:16","14","0","0","0","0","0"
"WN","06/01/2018","1245","N8697C","LAX","05:35","05:33","85","71","-2","05:44","11","0","0","0","0","0"
"WN","06/01/2018","1247","N7846A","LAX","10:40","10:36","90","73","-4","10:48","12","0","0","0","0","0"
"WN","06/01/2018","1250","N932WN","LAX","14:30","14:37","95","90","7","15:02","25","0","0","0","0","0"
"WN","06/01/2018","1403","N253WN","MDW","05:15","05:11","250","230","-4","05:24","13","0","0","0","0","0"
"WN","06/01/2018","1454","N962WN","BUR","13:50","14:05","75","66","15","14:19","14","0","0","0","0","0"
"WN","06/01/2018","1482","N8651A","PDX","06:20","06:18","115","112","-2","06:49","31","0","0","0","0","0"
"WN","06/01/2018","1494","N287WN","LAS","10:45","11:02","95","85","17","11:16","14","0","0","0","0","0"
"WN","06/01/2018","1535","N446WN","SAN","12:55","12:53","100","92","-2","13:13","20","0","0","0","0","0"
"WN","06/01/2018","1551","N298WN","SAN","15:45","15:51","90","85","6","16:05","14","0","0","0","0","0"
"WN","06/01/2018","1566","N7857B","SNA","07:30","08:30","90","82","60","08:45","15","52","0","0","0","0"
