Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: United Airlines Inc. (UA)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","04/01/2018","0201","N769UA","GUM","14:15","14:13","470","461","-2","14:28","15","0","0","0","0","0"
"UA","04/01/2018","0218","N779UA","ORD","15:55","16:07","483","472","12","16:28","21","0","0","0","0","0"
"UA","04/01/2018","0252","N781UA","IAH","19:30","19:31","450","453","1","19:49","18","0","0","0","0","0"
"UA","04/01/2018","0344","N644UA","IAD","15:35","15:32","548","517","-3","15:45","13","0","0","0","0","0"
"UA","04/01/2018","0362","N69059","EWR","15:20","15:33","571","564","13","15:48","15","0","0","0","0","0"
"UA","04/01/2018","0372","N210UA","SFO","07:00","16:08","294","295","548","16:26","18","25","0","1","0","523"
"UA","04/01/2018","0383","N768UA","DEN","20:20","20:20","391","398","0","20:38","18","0","0","0","0","0"
"UA","04/01/2018","0396","N211UA","SFO","21:00","21:04","294","283","4","21:21","17","0","0","0","0","0"
"UA","04/01/2018","0534","N771UA","LAX","20:45","20:50","316","298","5","21:05","15","0","0","0","0","0"
"UA","04/01/2018","0650","N66803","SFO","14:55","14:52","310","310","-3","15:04","12","0","0","0","0","0"
"UA","04/01/2018","0724","N777UA","SFO","13:05","13:05","294","287","0","13:23","18","0","0","0","0","0"
"UA","04/01/2018","1221","N66831","LAX","11:00","10:53","333","337","-7","11:07","14","0","0","0","0","0"
"UA","04/01/2018","1229","N14115","LAX","23:33","00:45","333","328","72","01:02","17","1","0","0","0","66"
"UA","04/01/2018","1231","N57855","LAX","07:10","07:11","321","330","1","07:27","16","0","0","0","0","0"
"UA","04/01/2018","1575","N66841","SFO","23:05","22:57","306","294","-8","23:12","15","0","0","0","0","0"
"UA","04/01/2018","2036","N69885","LAX","15:50","15:51","333","322","1","16:03","12","0","0","0","0","0"
"UA","04/02/2018","0201","N775UA","GUM","14:15","14:35","470","467","20","14:52","17","0","17","0","0","0"
"UA","04/02/2018","0218","N772UA","ORD","15:55","16:21","483","461","26","16:34","13","0","0","0","0","0"
"UA","04/02/2018","0252","N781UA","IAH","19:30","19:43","450","445","13","20:08","25","0","0","0","0","0"
"UA","04/02/2018","0344","N644UA","IAD","15:35","15:52","548","537","17","16:06","14","0","0","0","0","0"
"UA","04/02/2018","0362","N67058","EWR","15:20","17:23","571","544","123","17:35","12","11","0","0","0","85"
"UA","04/02/2018","0372","N774UA","SFO","07:00","07:07","294","282","7","07:22","15","0","0","0","0","0"
"UA","04/02/2018","0383","N215UA","DEN","20:20","20:20","391","376","0","20:36","16","0","0","0","0","0"
"UA","04/02/2018","0396","N768UA","SFO","21:00","21:03","294","286","3","21:23","20","0","0","0","0","0"
"UA","04/02/2018","0534","N774UA","LAX","20:45","20:42","316","311","-3","20:56","14","0","0","0","0","0"
"UA","04/02/2018","0650","N68834","SFO","15:16","15:16","310","314","0","15:37","21","0","0","0","0","0"
"UA","04/02/2018","0724","N780UA","SFO","13:05","13:15","294","296","10","13:30","15","0","0","0","0","0"
"UA","04/02/2018","1221","N73445","LAX","11:00","11:04","333","334","4","11:20","16","0","0","0","0","0"
"UA","04/02/2018","1229","N33132","LAX","23:33","23:29","333","348","-4","23:44","15","0","0","0","0","0"
"UA","04/02/2018","1231","N77865","LAX","07:10","07:02","321","316","-8","07:15","13","0","0","0","0","0"
"UA","04/02/2018","1575","N69840","SFO","23:05","23:01","306","285","-4","23:17","16","0","0","0","0","0"
"UA","04/02/2018","2036","N68836","LAX","16:30","16:30","333","329","0","16:45","15","0","0","0","0","0"
"UA","04/03/2018","0201","N777UA","GUM","14:15","14:59","470","479","44","15:23","24","44","0","9","0","0"
"UA","04/03/2018","0218","N781UA","ORD","15:55","15:57","483","496","2","16:18","21","0","0","15","0","0"
"UA","04/03/2018","0252","N779UA","IAH","19:30","19:27","450","457","-3","19:51","24","0","0","0","0","0"
"UA","04/03/2018","0344","N656UA","IAD","15:35","15:30","548","550","-5","15:57","27","0","0","0","0","0"
"UA","04/03/2018","0362","N66056","EWR","15:20","15:14","571","573","-6","15:35","21","0","0","0","0","0"
"UA","04/03/2018","0372","N212UA","SFO","07:00","06:58","294","282","-2","07:13","15","0","0","0","0","0"
"UA","04/03/2018","0383","N775UA","DEN","20:20","20:18","391","401","-2","20:40","22","0","0","0","0","0"
"UA","04/03/2018","0396","N212UA","SFO","21:00","20:59","294","283","-1","21:16","17","0","0","0","0","0"
"UA","04/03/2018","0534","N215UA","LAX","20:45","20:42","316","307","-3","21:00","18","0","0","0","0","0"
"UA","04/03/2018","0650","N34460","SFO","14:55","14:49","310","317","-6","15:09","20","0","0","0","0","0"
"UA","04/03/2018","0724","N768UA","SFO","13:05","13:00","294","295","-5","13:22","22","0","0","0","0","0"
"UA","04/03/2018","1221","N69835","LAX","11:00","10:50","333","342","-10","11:16","26","0","0","0","0","0"
"UA","04/03/2018","1229","N48127","LAX","23:33","23:28","333","345","-5","23:44","16","0","0","0","0","0"
"UA","04/03/2018","1231","N57855","LAX","07:10","07:08","321","335","-2","07:26","18","0","0","0","0","0"
"UA","04/03/2018","1575","N68834","SFO","23:05","22:57","306","291","-8","23:11","14","0","0","0","0","0"
"UA","04/03/2018","2036","N66803","LAX","16:30","16:22","333","336","-8","16:42","20","0","0","0","0","0"
"UA","04/04/2018","0201","N215UA","GUM","14:15","14:16","470","467","1","14:32","16","0","0","0","0","0"
"UA","04/04/2018","0218","N779UA","ORD","15:55","15:59","483","453","4","16:13","14","0","0","0","0","0"
"UA","04/04/2018","0252","N781UA","IAH","19:30","19:36","450","446","6","19:53","17","0","0","0","0","0"
"UA","04/04/2018","0344","N663UA","IAD","15:35","15:28","548","529","-7","15:45","17","0","0","0","0","0"
"UA","04/04/2018","0362","N69059","EWR","15:20","17:06","571","535","106","17:23","17","5","0","0","0","65"
"UA","04/04/2018","0372","N772UA","SFO","07:00","07:03","294","281","3","07:24","21","0","0","0","0","0"
"UA","04/04/2018","0383","N777UA","DEN","20:20","20:23","391","389","3","20:42","19","0","0","0","0","0"
"UA","04/04/2018","0396","N775UA","SFO","21:00","21:04","294","276","4","21:18","14","0","0","0","0","0"
"UA","04/04/2018","0534","N772UA","LAX","20:45","20:48","316","309","3","21:06","18","0","0","0","0","0"
"UA","04/04/2018","0650","N38451","SFO","14:55","14:57","310","301","2","15:19","22","0","0","0","0","0"
"UA","04/04/2018","0724","N773UA","SFO","13:05","13:02","294","279","-3","13:18","16","0","0","0","0","0"
"UA","04/04/2018","1221","N37465","LAX","11:00","10:57","333","342","-3","11:12","15","0","0","0","0","0"
"UA","04/04/2018","1229","N33132","LAX","23:33","23:46","333","334","13","00:03","17","0","0","0","0","0"
"UA","04/04/2018","1575","N66837","SFO","23:05","23:13","306","278","8","23:27","14","0","0","0","0","0"
"UA","04/04/2018","2036","N69816","LAX","16:30","16:27","333","329","-3","16:41","14","0","0","0","0","0"
"UA","04/05/2018","0201","N775UA","GUM","14:15","14:14","470","495","-1","14:52","38","0","0","24","0","0"
"UA","04/05/2018","0218","N781UA","ORD","15:55","15:55","483","444","0","16:09","14","0","0","0","0","0"
"UA","04/05/2018","0252","N210UA","IAH","19:30","19:30","450","470","0","20:11","41","0","0","20","0","0"
"UA","04/05/2018","0344","N676UA","IAD","15:35","15:32","548","526","-3","15:58","26","0","0","0","0","0"
"UA","04/05/2018","0362","N59053","EWR","15:20","15:15","571","555","-5","15:50","35","0","0","0","0","0"
"UA","04/05/2018","0372","N778UA","SFO","07:00","07:04","294","276","4","07:20","16","0","0","0","0","0"
"UA","04/05/2018","0383","N769UA","DEN","20:20","20:15","391","369","-5","20:33","18","0","0","0","0","0"
"UA","04/05/2018","0396","N778UA","SFO","21:00","21:03","294","284","3","21:28","25","0","0","0","0","0"
"UA","04/05/2018","0534","N777UA","LAX","20:45","20:45","316","295","0","21:10","25","0","0","0","0","0"
"UA","04/05/2018","0650","N64844","SFO","14:55","14:49","310","332","-6","15:15","26","0","0","16","0","0"
"UA","04/05/2018","0724","N768UA","SFO","13:05","13:24","294","277","19","13:44","20","0","0","0","0","0"
"UA","04/05/2018","1221","N69806","LAX","11:00","10:51","333","321","-9","11:07","16","0","0","0","0","0"
"UA","04/05/2018","1229","N17126","LAX","23:33","23:58","333","307","25","00:15","17","0","0","0","0","0"
"UA","04/05/2018","1231","N57855","LAX","07:10","07:00","321","330","-10","07:15","15","0","0","0","0","0"
"UA","04/05/2018","1575","N66837","SFO","23:05","23:05","306","290","0","23:24","19","0","0","0","0","0"
"UA","04/05/2018","2036","N62849","LAX","16:30","16:21","333","303","-9","16:39","18","0","0","0","0","0"
"UA","04/06/2018","0201","N771UA","GUM","14:15","14:24","470","478","9","14:42","18","0","0","8","0","9"
"UA","04/06/2018","0218","N210UA","ORD","15:55","15:47","483","437","-8","16:05","18","0","0","0","0","0"
"UA","04/06/2018","0252","N769UA","IAH","19:30","19:27","450","421","-3","19:51","24","0","0","0","0","0"
"UA","04/06/2018","0344","N676UA","IAD","15:35","15:33","548","525","-2","15:58","25","0","0","0","0","0"
