Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: American Airlines Inc. (AA)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","04/01/2018","0008","N789AN","DFW","17:45","17:36","438","424","-9","17:55","19","0","0","0","0","0"
"AA","04/01/2018","0102","N792AN","DFW","20:05","19:59","444","419","-6","20:15","16","0","0","0","0","0"
"AA","04/01/2018","0144","N123NN","LAX","22:30","22:23","334","336","-7","22:41","18","0","0","0","0","0"
"AA","04/01/2018","0162","N125AA","LAX","13:15","13:13","346","346","-2","13:35","22","0","0","0","0","0"
"AA","04/01/2018","0227","N131NN","LAX","07:00","06:58","334","335","-2","07:17","19","0","0","0","0","0"
"AA","04/01/2018","0284","N119NN","LAX","14:40","14:37","347","342","-3","14:52","15","0","0","0","0","0"
"AA","04/01/2018","0298","N126AN","LAX","21:40","21:33","344","317","-7","21:47","14","0","0","0","0","0"
"AA","04/01/2018","0689","N203UW","PHX","22:30","22:28","357","372","-2","22:48","20","0","0","0","0","0"
"AA","04/01/2018","0693","N274AY","PHX","21:30","21:24","357","355","-6","21:43","19","0","0","0","0","0"
"AA","04/02/2018","0008","N782AN","DFW","17:45","17:46","438","432","1","18:09","23","0","0","0","0","0"
"AA","04/02/2018","0102","N789AN","DFW","20:05","20:18","444","422","13","20:31","13","0","0","0","0","0"
"AA","04/02/2018","0144","N122NN","LAX","22:30","22:23","334","320","-7","22:38","15","0","0","0","0","0"
"AA","04/02/2018","0227","N121AN","LAX","07:00","06:47","334","323","-13","07:02","15","0","0","0","0","0"
"AA","04/02/2018","0284","N123NN","LAX","14:40","14:41","347","318","1","14:56","15","0","0","0","0","0"
"AA","04/02/2018","0298","N118NN","LAX","21:40","21:28","344","343","-12","21:51","23","0","0","0","0","0"
"AA","04/02/2018","0693","N271AY","PHX","21:30","21:28","357","344","-2","21:44","16","0","0","0","0","0"
"AA","04/03/2018","0102","N771AN","DFW","20:00","19:51","449","432","-9","20:10","19","0","0","0","0","0"
"AA","04/03/2018","0144","N125AA","LAX","22:25","22:19","341","324","-6","22:36","17","0","0","0","0","0"
"AA","04/03/2018","0227","N119NN","LAX","07:00","06:54","338","333","-6","07:08","14","0","0","0","0","0"
"AA","04/03/2018","0284","N127AA","LAX","14:25","14:22","348","353","-3","14:46","24","0","0","0","0","0"
"AA","04/03/2018","0693","N200UU","PHX","21:30","21:24","362","353","-6","21:50","26","0","0","0","0","0"
"AA","04/04/2018","0008","N787AL","DFW","17:20","17:27","445","432","7","17:44","17","0","0","0","0","0"
"AA","04/04/2018","0102","N771AN","DFW","20:00","19:54","449","431","-6","20:10","16","0","0","0","0","0"
"AA","04/04/2018","0144","N131NN","LAX","22:25","22:14","341","318","-11","22:28","14","0","0","0","0","0"
"AA","04/04/2018","0227","N132AN","LAX","07:00","06:53","338","324","-7","07:06","13","0","0","0","0","0"
"AA","04/04/2018","0284","N125AA","LAX","14:25","14:15","348","331","-10","14:28","13","0","0","0","0","0"
"AA","04/04/2018","0693","N205UW","PHX","21:30","21:26","362","354","-4","21:42","16","0","0","0","0","0"
"AA","04/05/2018","0008","N788AN","DFW","17:20","17:14","445","428","-6","17:31","17","0","0","0","0","0"
"AA","04/05/2018","0102","N771AN","DFW","20:00","20:07","449","449","7","20:36","29","0","0","0","0","0"
"AA","04/05/2018","0144","N120EE","LAX","22:25","22:21","341","307","-4","22:37","16","0","0","0","0","0"
"AA","04/05/2018","0162","N130AN","LAX","13:15","13:07","348","362","-8","13:35","28","0","0","0","0","0"
"AA","04/05/2018","0227","N127AA","LAX","07:00","06:49","338","326","-11","07:03","14","0","0","0","0","0"
"AA","04/05/2018","0284","N131NN","LAX","14:25","14:26","348","349","1","14:56","30","0","0","0","0","0"
"AA","04/05/2018","0693","N200UU","PHX","21:30","21:25","362","337","-5","21:38","13","0","0","0","0","0"
"AA","04/06/2018","0008","N789AN","DFW","17:20","17:26","445","417","6","17:42","16","0","0","0","0","0"
"AA","04/06/2018","0102","N788AN","DFW","20:00","19:59","449","415","-1","20:19","20","0","0","0","0","0"
"AA","04/06/2018","0144","N128AN","LAX","22:25","22:45","341","306","20","23:04","19","0","0","0","0","0"
"AA","04/06/2018","0162","N131NN","LAX","13:15","13:10","348","319","-5","13:37","27","0","0","0","0","0"
"AA","04/06/2018","0227","N119NN","LAX","07:00","06:50","338","304","-10","07:05","15","0","0","0","0","0"
"AA","04/06/2018","0284","N120EE","LAX","14:25","14:15","348","305","-10","14:34","19","0","0","0","0","0"
"AA","04/06/2018","0675","N205UW","PHX","22:20","22:17","363","332","-3","22:36","19","0","0","0","0","0"
"AA","04/06/2018","0693","N939UW","PHX","21:30","21:19","362","339","-11","21:44","25","0","0","0","0","0"
"AA","04/07/2018","0008","N783AN","DFW","17:20","17:12","445","409","-8","17:35","23","0","0","0","0","0"
"AA","04/07/2018","0102","N788AN","DFW","20:00","19:54","449","414","-6","20:11","17","0","0","0","0","0"
"AA","04/07/2018","0144","N129AA","LAX","22:25","22:24","341","317","-1","22:41","17","0","0","0","0","0"
"AA","04/07/2018","0162","N132AN","LAX","13:15","13:09","348","312","-6","13:26","17","0","0","0","0","0"
"AA","04/07/2018","0227","N123NN","LAX","07:00","06:45","338","311","-15","07:00","15","0","0","0","0","0"
"AA","04/07/2018","0284","N121AN","LAX","14:25","14:16","348","330","-9","14:37","21","0","0","0","0","0"
"AA","04/07/2018","0298","N130AN","LAX","21:40","21:40","337","330","0","22:00","20","0","0","0","0","0"
"AA","04/07/2018","0675","N204UW","PHX","22:20","22:06","363","343","-14","22:25","19","0","0","0","0","0"
"AA","04/07/2018","0693","N202UW","PHX","21:30","02:04","362","345","274","02:18","14","0","0","0","0","257"
"AA","04/08/2018","0008","N775AN","DFW","17:20","17:20","445","428","0","17:36","16","0","0","0","0","0"
