Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: Delta Airlines Inc. (DL)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","06/01/2018","0836","N702DN","ATL","16:50","16:45","510","505","-5","17:01","16","0","0","0","0","0"
"DL","06/01/2018","1150","N541US","LAX","07:10","07:07","327","319","-3","07:23","16","0","0","0","0","0"
"DL","06/01/2018","1212","N586NW","LAX","21:05","21:04","313","310","-1","21:22","18","0","0","0","0","0"
"DL","06/01/2018","1284","N197DN","LAX","11:15","11:17","330","332","2","11:33","16","0","0","0","0","0"
"DL","06/01/2018","1434","N546US","LAX","14:40","14:40","330","326","0","15:05","25","0","0","0","0","0"
"DL","06/01/2018","1492","N192DN","MSP","16:45","16:40","489","457","-5","17:00","20","0","0","0","0","0"
"DL","06/01/2018","1947","N538US","SEA","13:00","12:55","355","327","-5","13:18","23","0","0","0","0","0"
"DL","06/01/2018","2218","N544US","SEA","22:10","22:03","348","333","-7","22:23","20","0","0","0","0","0"
"DL","06/01/2018","2768","N1402A","SLC","20:50","21:45","364","353","55","22:01","16","44","0","0","0","0"
"DL","06/02/2018","0836","N702DN","ATL","16:50","16:46","506","508","-4","17:05","19","0","0","0","0","0"
"DL","06/02/2018","1150","N539US","LAX","07:10","07:04","327","318","-6","07:22","18","0","0","0","0","0"
"DL","06/02/2018","1212","N595NW","LAX","21:05","21:00","313","307","-5","21:13","13","0","0","0","0","0"
"DL","06/02/2018","1284","N173DZ","LAX","11:20","11:17","330","332","-3","11:36","19","0","0","0","0","0"
"DL","06/02/2018","1434","N546US","LAX","14:40","14:46","330","318","6","15:06","20","0","0","0","0","0"
"DL","06/02/2018","1492","N192DN","MSP","16:45","16:40","487","457","-5","16:55","15","0","0","0","0","0"
"DL","06/02/2018","1947","N540US","SEA","13:00","12:51","352","340","-9","13:17","26","0","0","0","0","0"
"DL","06/02/2018","2218","N549US","SEA","22:10","22:08","345","350","-2","22:34","26","0","0","0","0","0"
"DL","06/02/2018","2768","N140LL","SLC","20:50","20:45","364","350","-5","21:03","18","0","0","0","0","0"
"DL","06/03/2018","0836","N704DK","ATL","16:50","16:47","510","502","-3","17:04","17","0","0","0","0","0"
"DL","06/03/2018","1150","N541US","LAX","07:10","07:09","327","324","-1","07:24","15","0","0","0","0","0"
"DL","06/03/2018","1212","N593NW","LAX","21:05","20:58","313","322","-7","21:14","16","0","0","0","0","0"
"DL","06/03/2018","1284","N156DL","LAX","11:15","11:10","330","323","-5","11:29","19","0","0","0","0","0"
"DL","06/03/2018","1434","N546US","LAX","14:40","14:37","330","328","-3","14:57","20","0","0","0","0","0"
"DL","06/03/2018","1492","N192DN","MSP","16:45","16:35","489","470","-10","16:52","17","0","0","0","0","0"
"DL","06/03/2018","1947","N549US","SEA","13:00","12:59","355","338","-1","13:21","22","0","0","0","0","0"
"DL","06/03/2018","2218","N547US","SEA","22:00","21:58","348","355","-2","22:21","23","0","0","0","0","0"
"DL","06/03/2018","2768","N1402A","SLC","20:50","20:42","364","359","-8","21:00","18","0","0","0","0","0"
"DL","06/04/2018","0836","N708DN","ATL","16:50","16:47","510","508","-3","17:05","18","0","0","0","0","0"
"DL","06/04/2018","1150","N548US","LAX","07:10","07:08","327","324","-2","07:22","14","0","0","0","0","0"
"DL","06/04/2018","1212","N585NW","LAX","21:05","21:59","313","325","54","22:17","18","54","0","12","0","0"
"DL","06/04/2018","1284","N175DZ","LAX","11:15","11:12","330","328","-3","11:27","15","0","0","0","0","0"
"DL","06/04/2018","1434","N546US","LAX","14:40","14:34","330","332","-6","14:57","23","0","0","0","0","0"
"DL","06/04/2018","1492","N192DN","MSP","16:45","16:42","489","489","-3","17:04","22","0","0","0","0","0"
"DL","06/04/2018","1947","N540US","SEA","13:00","13:00","355","356","0","13:21","21","0","0","0","0","0"
"DL","06/04/2018","2218","N547US","SEA","22:10","22:07","348","352","-3","22:26","19","0","0","0","0","0"
"DL","06/04/2018","2768","N140LL","SLC","20:50","20:54","364","371","4","21:11","17","0","0","0","0","0"
"DL","06/05/2018","0836","N706DN","ATL","16:50","16:51","510","509","1","17:06","15","0","0","0","0","0"
"DL","06/05/2018","1150","N541US","LAX","07:10","07:06","327","339","-4","07:24","18","0","0","0","0","0"
"DL","06/05/2018","1212","N591NW","LAX","21:05","21:08","313","316","3","21:29","21","0","0","0","0","0"
"DL","06/05/2018","1284","N172DZ","LAX","11:15","11:08","330","337","-7","11:38","30","0","0","0","0","0"
"DL","06/05/2018","1947","N545US","SEA","13:00","13:35","355","371","35","14:12","37","35","0","16","0","0"
"DL","06/05/2018","2218","N549US","SEA","22:10","22:09","348","342","-1","22:27","18","0","0","0","0","0"
"DL","06/05/2018","2768","N1402A","SLC","20:50","20:46","364","365","-4","21:03","17","0","0","0","0","0"
"DL","06/06/2018","0836","N833MH","ATL","16:50","16:47","535","521","-3","17:01","14","0","0","0","0","0"
"DL","06/06/2018","1150","N546US","LAX","07:10","07:07","327","327","-3","07:22","15","0","0","0","0","0"
"DL","06/06/2018","1212","N593NW","LAX","21:05","21:02","313","314","-3","21:21","19","0","0","0","0","0"
"DL","06/06/2018","1284","N191DN","LAX","11:15","11:00","330","337","-15","11:16","16","0","0","0","0","0"
"DL","06/06/2018","1947","N542US","SEA","13:00","12:56","355","338","-4","13:17","21","0","0","0","0","0"
"DL","06/06/2018","2218","N535US","SEA","22:10","22:06","348","319","-4","22:26","20","0","0","0","0","0"
"DL","06/06/2018","2768","N140LL","SLC","20:50","20:43","364","356","-7","20:59","16","0","0","0","0","0"
"DL","06/07/2018","0836","N841MH","ATL","16:50","17:42","535","524","52","18:05","23","0","0","0","0","41"
"DL","06/07/2018","1150","N539US","LAX","07:10","07:10","327","321","0","07:25","15","0","0","0","0","0"
"DL","06/07/2018","1212","N592NW","LAX","21:05","21:00","313","316","-5","21:14","14","0","0","0","0","0"
"DL","06/07/2018","1284","N172DZ","LAX","11:15","11:02","330","339","-13","11:20","18","0","0","0","0","0"
"DL","06/07/2018","1434","N541US","LAX","14:40","14:33","330","331","-7","14:55","22","0","0","0","0","0"
"DL","06/07/2018","1492","N196DN","MSP","16:45","16:39","489","466","-6","16:55","16","0","0","0","0","0"
"DL","06/07/2018","1947","N535US","SEA","13:00","12:59","355","317","-1","13:13","14","0","0","0","0","0"
"DL","06/07/2018","2218","N542US","SEA","22:00","22:02","345","319","2","22:23","21","0","0","0","0","0"
"DL","06/07/2018","2768","N1402A","SLC","20:50","20:46","364","347","-4","21:03","17","0","0","0","0","0"
"DL","06/08/2018","0836","N841MH","ATL","16:25","16:22","533","522","-3","16:37","15","0","0","0","0","0"
"DL","06/08/2018","1150","N589NW","LAX","07:15","07:15","335","321","0","07:36","21","0","0","0","0","0"
"DL","06/08/2018","1212","N548US","LAX","21:05","21:03","327","311","-2","21:18","15","0","0","0","0","0"
"DL","06/08/2018","1284","N1602","LAX","11:15","11:14","342","318","-1","11:29","15","0","0","0","0","0"
"DL","06/08/2018","1434","N596NW","LAX","14:35","14:29","335","320","-6","14:42","13","0","0","0","0","0"
"DL","06/08/2018","1492","N172DZ","MSP","16:40","16:34","480","462","-6","16:48","14","0","0","0","0","0"
"DL","06/08/2018","1947","N582NW","SEA","12:55","12:54","357","355","-1","13:14","20","0","0","0","0","0"
"DL","06/08/2018","2218","N592NW","SEA","22:10","22:06","352","346","-4","22:28","22","0","0","0","0","0"
"DL","06/08/2018","2768","N140LL","SLC","20:45","20:45","370","357","0","21:05","20","0","0","0","0","0"
"DL","06/09/2018","0836","N841MH","ATL","16:25","16:21","533","522","-4","16:37","16","0","0","0","0","0"
"DL","06/09/2018","1150","N594NW","LAX","07:15","07:18","335","331","3","07:32","14","0","0","0","0","0"
"DL","06/09/2018","1212","N536US","LAX","21:05","21:25","327","335","20","21:49","24","20","0","8","0","0"
"DL","06/09/2018","1284","N173DZ","LAX","11:15","11:03","342","336","-12","11:19","16","0","0","0","0","0"
"DL","06/09/2018","1434","N590NW","LAX","14:35","14:36","335","336","1","15:01","25","0","0","0","0","0"
"DL","06/09/2018","1492","N188DN","MSP","16:40","16:33","478","455","-7","16:47","14","0","0","0","0","0"
"DL","06/09/2018","1947","N592NW","SEA","12:55","12:57","355","344","2","13:17","20","0","0","0","0","0"
"DL","06/09/2018","2218","N596NW","SEA","22:10","22:09","350","338","-1","22:29","20","0","0","0","0","0"
"DL","06/09/2018","2768","N140LL","SLC","20:45","20:36","367","358","-9","20:51","15","0","0","0","0","0"
"DL","06/10/2018","0836","N835MH","ATL","16:25","16:18","533","531","-7","16:36","18","0","0","0","0","0"
"DL","06/10/2018","1150","N589NW","LAX","07:15","07:15","335","332","0","07:37","22","0","0","0","0","0"
"DL","06/10/2018","1212","N547US","LAX","21:05","21:00","327","310","-5","21:17","17","0","0","0","0","0"
"DL","06/10/2018","1284","N190DN","LAX","11:15","11:10","342","333","-5","11:31","21","0","0","0","0","0"
"DL","06/10/2018","1434","N588NW","LAX","14:35","14:36","335","338","1","14:52","16","0","0","0","0","0"
"DL","06/10/2018","1492","N198DN","MSP","16:40","16:30","480","461","-10","16:51","21","0","0","0","0","0"
"DL","06/10/2018","1947","N596NW","SEA","12:55","12:53","357","339","-2","13:21","28","0","0","0","0","0"
"DL","06/10/2018","2218","N590NW","SEA","22:10","22:06","352","337","-4","22:24","18","0","0","0","0","0"
"DL","06/10/2018","2768","N1402A","SLC","20:45","20:41","370","351","-4","20:59","18","0","0","0","0","0"
"DL","06/11/2018","0836","N835MH","ATL","16:25","16:27","533","525","2","16:44","17","0","0","0","0","0"
"DL","06/11/2018","1150","N582NW","LAX","07:15","07:13","335","332","-2","07:31","18","0","0","0","0","0"
"DL","06/11/2018","1212","N545US","LAX","21:05","20:58","327","300","-7","21:12","14","0","0","0","0","0"
"DL","06/11/2018","1284","N172DZ","LAX","11:15","11:16","342","325","1","11:40","24","0","0","0","0","0"
"DL","06/11/2018","1434","N591NW","LAX","14:35","14:32","335","321","-3","14:46","14","0","0","0","0","0"
"DL","06/11/2018","1492","N190DN","MSP","16:40","16:32","480","452","-8","16:54","22","0","0","0","0","0"
"DL","06/11/2018","1947","N590NW","SEA","12:55","12:52","357","342","-3","13:15","23","0","0","0","0","0"
"DL","06/11/2018","2218","N588NW","SEA","22:10","22:26","350","334","16","22:46","20","0","0","0","0","0"
"DL","06/11/2018","2768","N140LL","SLC","20:45","20:39","370","354","-6","21:00","21","0","0","0","0","0"
"DL","06/12/2018","0836","N835MH","ATL","16:25","16:50","533","513","25","17:06","16","0","0","0","0","0"
"DL","06/12/2018","1150","N589NW","LAX","07:15","07:11","335","328","-4","07:34","23","0","0","0","0","0"
"DL","06/12/2018","1212","N546US","LAX","21:05","21:00","327","317","-5","21:17","17","0","0","0","0","0"
"DL","06/12/2018","1284","N1201P","LAX","11:15","11:11","342","322","-4","11:31","20","0","0","0","0","0"
