Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: United Airlines Inc. (UA)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","06/01/2018","0201","N212UA","GUM","14:15","14:41","465","469","26","15:10","29","26","0","4","0","0"
"UA","06/01/2018","0218","N211UA","ORD","15:55","16:19","493","491","24","16:37","18","0","0","0","0","22"
"UA","06/01/2018","0252","N769UA","IAH","19:30","19:29","456","466","-1","19:49","20","0","0","0","0","0"
"UA","06/01/2018","0344","N669UA","IAD","15:35","17:12","553","537","97","17:26","14","81","0","0","0","0"
"UA","06/01/2018","0362","N69063","EWR","15:00","15:00","579","562","0","15:22","22","0","0","0","0","0"
"UA","06/01/2018","0372","N215UA","SFO","07:00","07:00","298","290","0","07:18","18","0","0","0","0","0"
"UA","06/01/2018","0383","N768UA","DEN","20:20","20:17","399","395","-3","20:41","24","0","0","0","0","0"
"UA","06/01/2018","0396","N210UA","SFO","21:00","21:01","295","299","1","21:30","29","0","0","0","0","0"
"UA","06/01/2018","0534","N215UA","LAX","20:45","20:45","311","318","0","21:07","22","0","0","0","0","0"
"UA","06/01/2018","0650","N68805","SFO","14:50","15:17","318","318","27","15:41","24","13","0","0","0","14"
"UA","06/01/2018","0724","N776UA","SFO","13:00","13:03","305","290","3","13:23","20","0","0","0","0","0"
"UA","06/01/2018","1221","N66828","LAX","10:40","10:35","339","345","-5","11:05","30","0","0","0","0","0"
"UA","06/01/2018","1231","N75858","LAX","07:09","07:10","332","328","1","07:27","17","0","0","0","0","0"
"UA","06/01/2018","1575","N66893","SFO","22:49","22:41","307","302","-8","22:59","18","0","0","0","0","0"
"UA","06/01/2018","2036","N68802","LAX","15:25","15:22","339","339","-3","15:48","26","0","0","0","0","0"
"UA","06/02/2018","0201","N780UA","GUM","14:15","14:15","465","474","0","14:34","19","0","0","0","0","0"
"UA","06/02/2018","0218","N769UA","ORD","15:55","15:58","493","479","3","16:14","16","0","0","0","0","0"
"UA","06/02/2018","0252","N779UA","IAH","19:30","19:24","456","439","-6","19:40","16","0","0","0","0","0"
"UA","06/02/2018","0344","N669UA","IAD","15:35","15:34","553","558","-1","15:57","23","0","0","0","0","0"
"UA","06/02/2018","0362","N68061","EWR","15:00","15:10","579","564","10","15:30","20","0","0","0","0","0"
"UA","06/02/2018","0372","N775UA","SFO","07:00","07:02","298","281","2","07:17","15","0","0","0","0","0"
"UA","06/02/2018","0383","N212UA","DEN","20:20","20:17","399","391","-3","20:35","18","0","0","0","0","0"
"UA","06/02/2018","0396","N213UA","SFO","21:00","20:54","295","288","-6","21:11","17","0","0","0","0","0"
"UA","06/02/2018","0534","N775UA","LAX","20:45","20:40","311","312","-5","21:02","22","0","0","0","0","0"
"UA","06/02/2018","0650","N69838","SFO","14:50","14:57","318","308","7","15:15","18","0","0","0","0","0"
"UA","06/02/2018","0724","N210UA","SFO","13:00","13:02","305","295","2","13:25","23","0","0","0","0","0"
"UA","06/02/2018","1221","N69810","LAX","10:40","10:41","339","338","1","10:58","17","0","0","0","0","0"
"UA","06/02/2018","1231","N77871","LAX","07:09","13:33","332","313","384","13:53","20","365","0","0","0","0"
"UA","06/02/2018","1575","N68805","SFO","22:49","22:47","307","295","-2","23:04","17","0","0","0","0","0"
"UA","06/02/2018","2036","N56859","LAX","15:25","15:31","332","322","6","15:49","18","0","0","0","0","0"
"UA","06/03/2018","0201","N781UA","GUM","14:15","14:11","465","459","-4","14:29","18","0","0","0","0","0"
"UA","06/03/2018","0218","N211UA","ORD","15:55","15:55","493","484","0","16:16","21","0","0","0","0","0"
"UA","06/03/2018","0252","N779UA","IAH","19:30","20:35","456","464","65","20:51","16","65","0","8","0","0"
"UA","06/03/2018","0344","N677UA","IAD","15:35","15:30","553","538","-5","15:50","20","0","0","0","0","0"
"UA","06/03/2018","0362","N68061","EWR","15:00","15:00","579","565","0","15:15","15","0","0","0","0","0"
"UA","06/03/2018","0372","N768UA","SFO","07:00","06:52","298","280","-8","07:07","15","0","0","0","0","0"
"UA","06/03/2018","0383","N780UA","DEN","20:20","20:34","399","397","14","20:54","20","0","0","0","0","0"
"UA","06/03/2018","0396","N769UA","SFO","21:00","21:04","295","283","4","21:21","17","0","0","0","0","0"
"UA","06/03/2018","0534","N212UA","LAX","20:45","20:40","311","308","-5","20:57","17","0","0","0","0","0"
"UA","06/03/2018","0650","N62889","SFO","14:50","14:46","318","319","-4","15:04","18","0","0","0","0","0"
"UA","06/03/2018","0724","N213UA","SFO","13:00","12:59","305","285","-1","13:15","16","0","0","0","0","0"
"UA","06/03/2018","1221","N61887","LAX","10:40","10:37","339","340","-3","11:00","23","0","0","0","0","0"
"UA","06/03/2018","1231","N78866","LAX","07:09","07:09","332","323","0","07:26","17","0","0","0","0","0"
"UA","06/03/2018","1575","N69839","SFO","22:49","22:41","307","298","-8","22:55","14","0","0","0","0","0"
"UA","06/03/2018","2036","N16217","LAX","15:25","15:32","339","342","7","16:00","28","0","0","0","0","0"
"UA","06/04/2018","0201","N210UA","GUM","14:15","14:36","465","470","21","15:12","36","21","0","5","0","0"
"UA","06/04/2018","0218","N780UA","ORD","15:55","15:53","493","502","-2","16:18","25","0","0","0","0","0"
"UA","06/04/2018","0252","N213UA","IAH","19:30","19:36","456","455","6","19:56","20","0","0","0","0","0"
"UA","06/04/2018","0344","N644UA","IAD","15:35","15:26","553","541","-9","15:43","17","0","0","0","0","0"
"UA","06/04/2018","0362","N67052","EWR","15:00","15:04","579","574","4","15:22","18","0","0","0","0","0"
"UA","06/04/2018","0372","N768UA","SFO","07:00","07:11","298","298","11","07:26","15","0","0","0","0","0"
"UA","06/04/2018","0383","N772UA","DEN","20:20","20:20","399","402","0","20:41","21","0","0","0","0","0"
"UA","06/04/2018","0396","N781UA","SFO","21:00","20:57","295","296","-3","21:14","17","0","0","0","0","0"
"UA","06/04/2018","0534","N768UA","LAX","20:45","20:45","311","317","0","21:01","16","0","0","0","0","0"
"UA","06/04/2018","0650","N69816","SFO","14:50","14:46","318","341","-4","15:06","20","0","0","19","0","0"
"UA","06/04/2018","0724","N769UA","SFO","13:00","13:07","305","298","7","13:27","20","0","0","0","0","0"
"UA","06/04/2018","1221","N68843","LAX","10:40","10:31","339","332","-9","10:49","18","0","0","0","0","0"
"UA","06/04/2018","1231","N74856","LAX","07:09","07:05","332","310","-4","07:20","15","0","0","0","0","0"
"UA","06/04/2018","1575","N69840","SFO","22:49","23:13","307","309","24","23:29","16","6","0","2","0","18"
"UA","06/04/2018","2036","N67815","LAX","15:25","15:17","339","358","-8","15:33","16","0","0","0","0","0"
"UA","06/05/2018","0201","N768UA","GUM","14:15","14:39","465","472","24","14:58","19","24","0","7","0","0"
"UA","06/05/2018","0218","N769UA","ORD","15:55","15:58","493","494","3","16:17","19","0","0","0","0","0"
"UA","06/05/2018","0252","N771UA","IAH","19:30","19:32","456","469","2","19:52","20","0","0","15","0","0"
"UA","06/05/2018","0344","N662UA","IAD","15:35","15:36","553","553","1","15:56","20","0","0","0","0","0"
"UA","06/05/2018","0362","N67052","EWR","15:00","15:01","579","578","1","15:14","13","0","0","0","0","0"
"UA","06/05/2018","0372","N779UA","SFO","07:00","07:03","298","299","3","07:20","17","0","0","0","0","0"
"UA","06/05/2018","0383","N779UA","DEN","20:20","20:18","399","402","-2","20:42","24","0","0","0","0","0"
"UA","06/05/2018","0396","N210UA","SFO","21:00","21:00","295","305","0","21:31","31","0","0","0","0","0"
"UA","06/05/2018","0534","N213UA","LAX","20:45","20:44","311","317","-1","21:05","21","0","0","0","0","0"
"UA","06/05/2018","0650","N61886","SFO","14:50","14:56","318","308","6","15:19","23","0","0","0","0","0"
"UA","06/05/2018","0724","N69840","SFO","13:00","12:57","318","314","-3","13:13","16","0","0","0","0","0"
"UA","06/05/2018","1221","N69810","LAX","10:40","10:30","339","341","-10","10:52","22","0","0","0","0","0"
"UA","06/05/2018","1231","N77871","LAX","07:09","07:09","332","339","0","07:30","21","0","0","0","0","0"
"UA","06/05/2018","1575","N67827","SFO","22:49","22:41","307","303","-8","22:59","18","0","0","0","0","0"
"UA","06/05/2018","2036","N62849","LAX","15:25","15:15","339","343","-10","15:30","15","0","0","0","0","0"
"UA","06/06/2018","0201","N210UA","GUM","14:15","14:11","465","477","-4","14:31","20","0","0","0","0","0"
"UA","06/06/2018","0218","N780UA","ORD","15:55","15:54","493","485","-1","16:13","19","0","0","0","0","0"
"UA","06/06/2018","0252","N768UA","IAH","19:30","19:33","456","463","3","19:55","22","0","0","0","0","0"
"UA","06/06/2018","0344","N665UA","IAD","15:35","15:27","553","561","-8","15:53","26","0","0","0","0","0"
"UA","06/06/2018","0362","N76055","EWR","15:00","14:53","579","573","-7","15:16","23","0","0","0","0","0"
"UA","06/06/2018","0372","N772UA","SFO","07:00","06:56","298","291","-4","07:12","16","0","0","0","0","0"
"UA","06/06/2018","0383","N772UA","DEN","20:20","20:18","399","389","-2","20:37","19","0","0","0","0","0"
"UA","06/06/2018","0396","N2135U","SFO","21:00","21:08","295","286","8","21:24","16","0","0","0","0","0"
"UA","06/06/2018","0534","N779UA","LAX","20:45","20:41","311","301","-4","20:58","17","0","0","0","0","0"
"UA","06/06/2018","0650","N62889","SFO","14:45","14:36","318","313","-9","14:52","16","0","0","0","0","0"
"UA","06/06/2018","0724","N773UA","SFO","13:00","12:59","305","310","-1","13:26","27","0","0","0","0","0"
"UA","06/06/2018","1221","N66803","LAX","10:40","10:32","339","342","-8","10:54","22","0","0","0","0","0"
"UA","06/06/2018","1231","N75851","LAX","07:09","07:02","332","329","-7","07:21","19","0","0","0","0","0"
"UA","06/06/2018","1575","N61881","SFO","22:49","22:40","307","304","-9","22:55","15","0","0","0","0","0"
"UA","06/06/2018","2036","N68834","LAX","15:25","15:13","339","329","-12","15:35","22","0","0","0","0","0"
"UA","06/07/2018","0201","N773UA","GUM","14:15","14:14","465","460","-1","14:34","20","0","0","0","0","0"
"UA","06/07/2018","0218","N774UA","ORD","15:55","15:53","485","486","-2","16:09","16","0","0","0","0","0"
"UA","06/07/2018","0252","N210UA","IAH","19:30","19:28","462","460","-2","19:47","19","0","0","0","0","0"
"UA","06/07/2018","0344","N658UA","IAD","15:25","15:21","548","544","-4","15:42","21","0","0","0","0","0"
"UA","06/07/2018","0362","N76062","EWR","15:00","14:54","572","567","-6","15:19","25","0","0","0","0","0"
"UA","06/07/2018","0372","N771UA","SFO","07:00","06:55","297","293","-5","07:10","15","0","0","0","0","0"
"UA","06/07/2018","0383","N777UA","DEN","20:20","20:15","394","390","-5","20:34","19","0","0","0","0","0"
"UA","06/07/2018","0396","N768UA","SFO","21:00","21:03","293","288","3","21:22","19","0","0","0","0","0"
"UA","06/07/2018","0534","N771UA","LAX","20:45","20:39","312","308","-6","20:56","17","0","0","0","0","0"
"UA","06/07/2018","0650","N77871","SFO","15:40","15:33","312","298","-7","15:48","15","0","0","0","0","0"
"UA","06/07/2018","0724","N214UA","SFO","13:00","13:01","306","307","1","13:27","26","0","0","0","0","0"
"UA","06/07/2018","1221","N69813","LAX","09:11","09:03","340","333","-8","09:20","17","0","0","0","0","0"
"UA","06/07/2018","1229","N69806","LAX","22:45","22:42","330","328","-3","22:59","17","0","0","0","0","0"
"UA","06/07/2018","1231","N57864","LAX","07:15","07:01","331","327","-14","07:16","15","0","0","0","0","0"
"UA","06/07/2018","1575","N62884","SFO","21:30","21:21","305","295","-9","21:36","15","0","0","0","0","0"
"UA","06/07/2018","1636","N27246","LAX","15:15","16:00","340","327","45","16:21","21","0","0","0","0","32"
"UA","06/08/2018","0201","N771UA","GUM","14:15","14:10","465","461","-5","14:26","16","0","0","0","0","0"
"UA","06/08/2018","0218","N210UA","ORD","15:55","15:45","485","491","-10","16:01","16","0","0","0","0","0"
"UA","06/08/2018","0252","N211UA","IAH","19:30","19:23","462","461","-7","19:45","22","0","0","0","0","0"
"UA","06/08/2018","0344","N658UA","IAD","15:25","02:31","548","555","666","02:52","21","666","0","7","0","0"
"UA","06/08/2018","0362","N77066","EWR","15:00","14:58","572","579","-2","15:16","18","0","0","0","0","0"
"UA","06/08/2018","0372","N772UA","SFO","07:00","07:12","297","307","12","07:33","21","12","0","10","0","0"
"UA","06/08/2018","0383","N774UA","DEN","20:20","20:13","394","386","-7","20:28","15","0","0","0","0","0"
"UA","06/08/2018","0396","N773UA","SFO","21:00","21:05","293","294","5","21:27","22","0","0","0","0","0"
"UA","06/08/2018","0534","N772UA","LAX","20:45","20:40","312","307","-5","20:58","18","0","0","0","0","0"
"UA","06/08/2018","0650","N78866","SFO","15:40","16:13","312","295","33","16:30","17","0","0","0","0","16"
"UA","06/08/2018","0724","N769UA","SFO","13:00","13:00","306","303","0","13:25","25","0","0","0","0","0"
"UA","06/08/2018","1221","N68821","LAX","08:59","08:43","340","342","-16","09:02","19","0","0","0","0","0"
"UA","06/08/2018","1229","N66893","LAX","22:45","22:38","330","341","-7","22:53","15","0","0","0","0","0"
"UA","06/08/2018","1231","N74856","LAX","07:15","07:05","331","324","-10","07:22","17","0","0","0","0","0"
"UA","06/08/2018","1575","N68843","SFO","21:30","21:25","305","298","-5","21:41","16","0","0","0","0","0"
"UA","06/08/2018","1636","N27246","LAX","15:15","15:11","340","340","-4","15:27","16","0","0","0","0","0"
"UA","06/09/2018","0201","N772UA","GUM","14:15","14:19","465","457","4","14:36","17","0","0","0","0","0"
"UA","06/09/2018","0218","N211UA","ORD","15:55","15:55","485","490","0","16:13","18","0","0","0","0","0"
"UA","06/09/2018","0252","N779UA","IAH","19:30","19:25","462","462","-5","19:42","17","0","0","0","0","0"
"UA","06/09/2018","0286","N66848","LAX","13:30","13:35","340","338","5","13:51","16","0","0","0","0","0"
"UA","06/09/2018","0344","N644UA","IAD","15:25","15:25","548","556","0","15:46","21","0","0","0","0","0"
"UA","06/09/2018","0362","N68061","EWR","15:00","15:01","572","590","1","15:28","27","0","0","19","0","0"
"UA","06/09/2018","0372","N777UA","SFO","07:00","16:26","297","305","566","16:43","17","566","0","8","0","0"
"UA","06/09/2018","0383","N774UA","DEN","20:20","20:15","394","388","-5","20:31","16","0","0","0","0","0"
"UA","06/09/2018","0396","N2135U","SFO","21:00","21:19","293","281","19","21:35","16","0","0","0","0","0"
"UA","06/09/2018","0534","N771UA","LAX","20:45","20:58","312","307","13","21:16","18","0","0","0","0","0"
"UA","06/09/2018","0650","N57852","SFO","16:20","16:26","312","307","6","16:46","20","0","0","0","0","0"
"UA","06/09/2018","0724","N776UA","SFO","13:00","14:21","306","300","81","14:48","27","15","0","0","0","60"
"UA","06/09/2018","1221","N66837","LAX","08:59","08:53","340","328","-6","09:07","14","0","0","0","0","0"
"UA","06/09/2018","1229","N68811","LAX","22:45","22:39","330","339","-6","23:00","21","0","0","0","0","0"
"UA","06/09/2018","1231","N56859","LAX","07:15","11:50","331","328","275","12:07","17","272","0","0","0","0"
