Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: American Airlines Inc. (AA)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","06/01/2018","0008","N787AL","DFW","17:20","17:19","444","435","-1","17:36","17","0","0","0","0","0"
"AA","06/01/2018","0102","N799AN","DFW","20:00","19:54","448","438","-6","20:12","18","0","0","0","0","0"
"AA","06/01/2018","0144","N123NN","LAX","22:30","22:23","339","318","-7","22:41","18","0","0","0","0","0"
"AA","06/01/2018","0162","N118NN","LAX","13:00","12:57","345","336","-3","13:21","24","0","0","0","0","0"
"AA","06/01/2018","0224","N127AA","LAX","07:00","06:57","336","322","-3","07:08","11","0","0","0","0","0"
"AA","06/01/2018","0284","N126AN","LAX","14:25","14:22","346","333","-3","14:42","20","0","0","0","0","0"
"AA","06/01/2018","0298","N124AA","LAX","21:30","21:23","335","321","-7","21:43","20","0","0","0","0","0"
"AA","06/01/2018","0675","N201UU","PHX","22:50","22:44","362","377","-6","23:07","23","0","0","0","0","0"
"AA","06/01/2018","0693","N938UW","PHX","22:05","22:49","359","362","44","23:10","21","44","0","3","0","0"
"AA","06/02/2018","0008","N779AN","DFW","17:20","17:23","444","425","3","17:39","16","0","0","0","0","0"
"AA","06/02/2018","0102","N783AN","DFW","20:00","19:51","448","437","-9","20:06","15","0","0","0","0","0"
"AA","06/02/2018","0144","N122NN","LAX","22:30","22:25","339","324","-5","22:40","15","0","0","0","0","0"
"AA","06/02/2018","0162","N128AN","LAX","13:00","12:53","345","325","-7","13:16","23","0","0","0","0","0"
"AA","06/02/2018","0224","N133AN","LAX","07:00","07:05","336","327","5","07:20","15","0","0","0","0","0"
"AA","06/02/2018","0284","N132AN","LAX","14:25","16:49","346","315","144","17:06","17","97","0","0","0","16"
"AA","06/02/2018","0298","N118NN","LAX","21:30","21:21","335","330","-9","21:37","16","0","0","0","0","0"
"AA","06/02/2018","0675","N938UW","PHX","22:50","22:41","362","348","-9","22:58","17","0","0","0","0","0"
"AA","06/02/2018","0693","N204UW","PHX","22:05","22:04","359","343","-1","22:20","16","0","0","0","0","0"
"AA","06/03/2018","0008","N783AN","DFW","17:20","17:41","444","435","21","18:00","19","0","0","0","0","0"
"AA","06/03/2018","0102","N788AN","DFW","20:00","19:59","448","499","-1","20:20","21","0","0","50","0","0"
"AA","06/03/2018","0144","N132AN","LAX","22:30","22:28","339","328","-2","22:48","20","0","0","0","0","0"
"AA","06/03/2018","0162","N133AN","LAX","13:00","12:52","345","336","-8","13:12","20","0","0","0","0","0"
"AA","06/03/2018","0224","N130AN","LAX","07:00","06:53","336","344","-7","07:05","12","0","0","0","0","0"
"AA","06/03/2018","0284","N127AA","LAX","14:25","14:19","346","339","-6","14:44","25","0","0","0","0","0"
"AA","06/03/2018","0298","N131NN","LAX","21:30","21:17","335","310","-13","21:31","14","0","0","0","0","0"
"AA","06/03/2018","0675","N202UW","PHX","22:50","22:44","362","363","-6","23:03","19","0","0","0","0","0"
"AA","06/03/2018","0693","N201UU","PHX","22:05","21:58","359","358","-7","22:19","21","0","0","0","0","0"
"AA","06/04/2018","0008","N750AN","DFW","17:20","17:29","444","449","9","17:55","26","0","0","0","0","0"
"AA","06/04/2018","0102","N777AN","DFW","20:00","20:02","448","436","2","20:16","14","0","0","0","0","0"
"AA","06/04/2018","0144","N127AA","LAX","22:30","22:30","339","350","0","22:52","22","0","0","0","0","0"
"AA","06/04/2018","0162","N130AN","LAX","13:00","12:55","345","336","-5","13:18","23","0","0","0","0","0"
"AA","06/04/2018","0224","N118NN","LAX","07:00","06:53","336","321","-7","07:09","16","0","0","0","0","0"
"AA","06/04/2018","0284","N119NN","LAX","14:25","14:20","346","363","-5","14:48","28","0","0","0","0","0"
"AA","06/04/2018","0298","N129AA","LAX","21:30","21:30","335","339","0","21:49","19","0","0","0","0","0"
"AA","06/04/2018","0675","N201UU","PHX","22:50","23:49","362","370","59","00:04","15","59","0","8","0","0"
"AA","06/04/2018","0693","N202UW","PHX","22:05","22:28","359","374","23","22:48","20","23","0","15","0","0"
"AA","06/05/2018","0008","N776AN","DFW","17:20","17:28","444","445","8","17:45","17","0","0","0","0","0"
"AA","06/05/2018","0102","N750AN","DFW","20:00","19:53","448","457","-7","20:18","25","0","0","0","0","0"
"AA","06/05/2018","0144","N120EE","LAX","22:30","22:22","339","331","-8","22:39","17","0","0","0","0","0"
"AA","06/05/2018","0162","N129AA","LAX","13:00","12:58","345","341","-2","13:15","17","0","0","0","0","0"
"AA","06/05/2018","0224","N133AN","LAX","07:00","06:52","336","348","-8","07:09","17","0","0","0","0","0"
"AA","06/05/2018","0284","N130AN","LAX","14:25","14:13","346","366","-12","14:37","24","0","0","0","0","0"
"AA","06/05/2018","0298","N121AN","LAX","21:30","21:50","335","320","20","22:07","17","0","0","0","0","0"
"AA","06/05/2018","0675","N204UW","PHX","22:50","22:38","362","396","-12","23:12","34","0","0","22","0","0"
"AA","06/05/2018","0693","N201UU","PHX","22:05","22:05","359","360","0","22:24","19","0","0","0","0","0"
"AA","06/06/2018","0008","N782AN","DFW","17:20","18:39","444","440","79","18:59","20","75","0","0","0","0"
"AA","06/06/2018","0102","N780AN","DFW","20:00","20:29","448","442","29","20:48","19","23","0","0","0","0"
"AA","06/06/2018","0144","N130AN","LAX","22:30","22:33","339","328","3","22:50","17","0","0","0","0","0"
"AA","06/06/2018","0162","N123NN","LAX","13:00","12:51","345","329","-9","13:12","21","0","0","0","0","0"
"AA","06/06/2018","0224","N124AA","LAX","07:00","06:53","336","332","-7","07:09","16","0","0","0","0","0"
"AA","06/06/2018","0284","N126AN","LAX","14:25","14:25","346","329","0","14:46","21","0","0","0","0","0"
"AA","06/06/2018","0298","N121AN","LAX","21:30","21:30","335","324","0","21:51","21","0","0","0","0","0"
"AA","06/06/2018","0675","N202UW","PHX","22:50","22:38","362","370","-12","23:00","22","0","0","0","0","0"
"AA","06/06/2018","0693","N200UU","PHX","22:05","21:57","359","365","-8","22:19","22","0","0","0","0","0"
"AA","06/07/2018","0008","N780AN","DFW","17:25","17:20","449","450","-5","17:40","20","0","0","0","0","0"
"AA","06/07/2018","0102","N778AN","DFW","20:00","19:58","453","461","-2","20:21","23","0","0","0","0","0"
"AA","06/07/2018","0144","N120EE","LAX","22:24","22:31","337","327","7","22:47","16","0","0","0","0","0"
