Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: Delta Airlines Inc. (DL)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","10/01/2018","0836","N844MH","ATL","16:25","16:16","527","514","-9","16:34","18","0","0","0","0","0"
"DL","10/01/2018","1150","N543US","LAX","07:15","07:09","332","322","-6","07:27","18","0","0","0","0","0"
"DL","10/01/2018","1212","N535US","LAX","21:00","20:54","329","314","-6","21:18","24","0","0","0","0","0"
"DL","10/01/2018","1284","N193DN","LAX","11:15","11:09","333","321","-6","11:29","20","0","0","0","0","0"
"DL","10/01/2018","2218","N582NW","SEA","21:15","21:06","347","406","-9","22:23","77","0","0","50","0","0"
"DL","10/01/2018","2768","N192DN","SLC","20:45","20:39","370","348","-6","20:53","14","0","0","0","0","0"
"DL","10/02/2018","0836","N834MH","ATL","16:25","16:19","527","510","-6","16:35","16","0","0","0","0","0"
"DL","10/02/2018","1150","N540US","LAX","07:15","07:09","332","322","-6","07:27","18","0","0","0","0","0"
"DL","10/02/2018","1212","N592NW","LAX","21:00","20:59","329","305","-1","21:16","17","0","0","0","0","0"
"DL","10/02/2018","1284","N190DN","LAX","11:15","11:13","333","311","-2","11:25","12","0","0","0","0","0"
"DL","10/02/2018","2218","N595NW","SEA","21:15","21:09","347","339","-6","21:28","19","0","0","0","0","0"
"DL","10/02/2018","2768","N191DN","SLC","20:45","20:39","370","366","-6","21:02","23","0","0","0","0","0"
"DL","10/03/2018","0836","N845MH","ATL","16:25","16:20","527","515","-5","16:32","12","0","0","0","0","0"
"DL","10/03/2018","1150","N548US","LAX","07:15","07:14","332","330","-1","07:31","17","0","0","0","0","0"
"DL","10/03/2018","1212","N584NW","LAX","21:00","20:53","329","309","-7","21:10","17","0","0","0","0","0"
"DL","10/03/2018","1284","N152DL","LAX","11:15","11:06","333","332","-9","11:27","21","0","0","0","0","0"
"DL","10/03/2018","2218","N589NW","SEA","21:15","21:11","347","346","-4","21:27","16","0","0","0","0","0"
"DL","10/03/2018","2768","N190DN","SLC","20:45","20:38","370","362","-7","21:03","25","0","0","0","0","0"
"DL","10/04/2018","0836","N827MH","ATL","16:25","16:21","527","515","-4","16:35","14","0","0","0","0","0"
"DL","10/04/2018","1150","N543US","LAX","07:15","07:10","332","341","-5","07:32","22","0","0","0","0","0"
"DL","10/04/2018","1212","N535US","LAX","21:00","20:55","329","323","-5","21:14","19","0","0","0","0","0"
"DL","10/04/2018","1284","N169DZ","LAX","11:15","11:05","333","329","-10","11:22","17","0","0","0","0","0"
"DL","10/04/2018","1434","N587NW","LAX","14:50","14:47","330","331","-3","15:05","18","0","0","0","0","0"
"DL","10/04/2018","2218","N583NW","SEA","21:15","21:14","347","352","-1","21:30","16","0","0","0","0","0"
"DL","10/04/2018","2768","N194DN","SLC","20:45","20:39","370","363","-6","20:55","16","0","0","0","0","0"
"DL","10/05/2018","0836","N844MH","ATL","16:25","16:19","527","524","-6","16:40","21","0","0","0","0","0"
"DL","10/05/2018","1150","N548US","LAX","07:15","07:08","332","338","-7","07:33","25","0","0","0","0","0"
"DL","10/05/2018","1212","N537US","LAX","21:00","20:53","329","324","-7","21:13","20","0","0","0","0","0"
"DL","10/05/2018","1284","N195DN","LAX","11:15","11:09","333","353","-6","11:30","21","0","0","0","0","0"
"DL","10/05/2018","1434","N586NW","LAX","14:50","14:50","330","322","0","15:08","18","0","0","0","0","0"
"DL","10/05/2018","2218","N587NW","SEA","21:15","21:14","347","344","-1","21:32","18","0","0","0","0","0"
"DL","10/05/2018","2768","N169DZ","SLC","20:45","20:37","370","363","-8","20:52","15","0","0","0","0","0"
"DL","10/06/2018","0836","N833MH","ATL","16:25","16:20","524","529","-5","16:36","16","0","0","0","0","0"
"DL","10/06/2018","1150","N540US","LAX","07:15","07:07","332","345","-8","07:24","17","0","0","0","0","0"
"DL","10/06/2018","1212","N542US","LAX","21:00","20:57","329","316","-3","21:14","17","0","0","0","0","0"
"DL","10/06/2018","1284","N190DN","LAX","11:20","11:18","333","333","-2","11:38","20","0","0","0","0","0"
"DL","10/06/2018","1434","N584NW","LAX","14:50","14:45","330","334","-5","15:08","23","0","0","0","0","0"
"DL","10/06/2018","2218","N590NW","SEA","21:15","21:07","347","357","-8","21:22","15","0","0","0","0","0"
"DL","10/06/2018","2768","N169DZ","SLC","20:45","20:33","369","373","-12","20:48","15","0","0","0","0","0"
"DL","10/07/2018","0836","N833MH","ATL","16:25","16:19","527","529","-6","16:35","16","0","0","0","0","0"
"DL","10/07/2018","1150","N539US","LAX","07:15","07:07","332","338","-8","07:25","18","0","0","0","0","0"
"DL","10/07/2018","1212","N584NW","LAX","21:00","20:58","329","320","-2","21:18","20","0","0","0","0","0"
"DL","10/07/2018","1284","N194DN","LAX","11:15","11:08","333","345","-7","11:29","21","0","0","0","0","0"
