Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: United Airlines Inc. (UA)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","10/01/2018","0201","N771UA","GUM","14:10","14:09","470","444","-1","14:26","17","0","0","0","0","0"
"UA","10/01/2018","0218","N213UA","ORD","15:55","16:56","485","468","61","17:15","19","44","0","0","0","0"
"UA","10/01/2018","0252","N214UA","IAH","19:40","19:39","458","463","-1","19:59","20","0","0","0","0","0"
"UA","10/01/2018","0362","N78060","EWR","15:10","16:02","570","554","52","16:18","16","36","0","0","0","0"
"UA","10/01/2018","0372","N68823","SFO","07:00","06:55","312","304","-5","07:14","19","0","0","0","0","0"
"UA","10/01/2018","0383","N215UA","DEN","20:20","20:45","396","388","25","21:08","23","17","0","0","0","0"
"UA","10/01/2018","0396","N773UA","SFO","21:00","20:54","292","293","-6","21:11","17","0","0","0","0","0"
"UA","10/01/2018","0534","N68823","LAX","20:45","20:40","324","316","-5","21:01","21","0","0","0","0","0"
"UA","10/01/2018","0650","N57863","SFO","16:13","17:05","308","296","52","17:21","16","40","0","0","0","0"
"UA","10/01/2018","0724","N768UA","SFO","12:45","13:52","300","288","67","14:05","13","55","0","0","0","0"
"UA","10/01/2018","1231","N57869","LAX","07:00","06:55","329","313","-5","07:12","17","0","0","0","0","0"
"UA","10/01/2018","1575","N69888","SFO","21:26","21:40","304","295","14","21:58","18","0","0","0","0","0"
"UA","10/01/2018","1636","N67501","LAX","14:24","14:16","334","323","-8","14:34","18","0","0","0","0","0"
"UA","10/01/2018","1760","N68822","LAX","12:15","12:09","336","331","-6","12:25","16","0","0","0","0","0"
"UA","10/02/2018","0201","N779UA","GUM","14:10","14:01","470","436","-9","14:18","17","0","0","0","0","0"
"UA","10/02/2018","0218","N214UA","ORD","15:55","15:49","485","474","-6","16:06","17","0","0","0","0","0"
"UA","10/02/2018","0252","N213UA","IAH","19:40","19:28","458","444","-12","19:44","16","0","0","0","0","0"
"UA","10/02/2018","0362","N76054","EWR","15:10","15:04","570","549","-6","15:19","15","0","0","0","0","0"
"UA","10/02/2018","0372","N67827","SFO","07:00","06:53","312","307","-7","07:12","19","0","0","0","0","0"
"UA","10/02/2018","0383","N771UA","DEN","20:20","20:19","396","399","-1","20:39","20","0","0","0","0","0"
"UA","10/02/2018","0396","N215UA","SFO","21:00","20:54","292","300","-6","21:13","19","0","0","0","0","0"
"UA","10/02/2018","0534","N67827","LAX","20:45","20:47","324","315","2","21:04","17","0","0","0","0","0"
"UA","10/02/2018","0650","N57868","SFO","16:13","16:10","308","309","-3","16:29","19","0","0","0","0","0"
"UA","10/02/2018","0724","N768UA","SFO","12:45","12:39","300","307","-6","13:04","25","0","0","0","0","0"
