Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: American Airlines Inc. (AA)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","10/01/2018","0008","N770AN","DFW","17:33","17:33","441","439","0","17:50","17","0","0","0","0","0"
"AA","10/01/2018","0102","N790AN","DFW","20:09","20:14","444","463","5","20:30","16","5","0","19","0","0"
"AA","10/01/2018","0144","N121AN","LAX","22:28","22:32","333","318","4","22:43","11","0","0","0","0","0"
"AA","10/01/2018","0162","N132AN","LAX","12:48","08:27","339","328","1179","08:45","18","1168","0","0","0","0"
"AA","10/01/2018","0298","N124AA","LAX","21:30","21:27","330","309","-3","21:45","18","0","0","0","0","0"
"AA","10/01/2018","0675","N206UW","PHX","22:52","22:49","358","359","-3","23:05","16","0","0","0","0","0"
"AA","10/01/2018","0693","N200UU","PHX","22:03","22:07","356","353","4","22:29","22","0","0","0","0","0"
"AA","10/01/2018","1480","N133AN","LAX","07:10","07:00","333","324","-10","07:18","18","0","0","0","0","0"
"AA","10/02/2018","0008","N796AN","DFW","17:33","17:50","441","429","17","18:05","15","0","0","0","0","0"
"AA","10/02/2018","0144","N125AA","LAX","22:28","22:23","333","326","-5","22:39","16","0","0","0","0","0"
"AA","10/02/2018","0162","N127AA","LAX","12:48","12:43","339","330","-5","13:08","25","0","0","0","0","0"
"AA","10/02/2018","0298","N118NN","LAX","21:30","21:32","330","314","2","21:46","14","0","0","0","0","0"
"AA","10/02/2018","0675","N203UW","PHX","22:52","22:48","358","353","-4","23:03","15","0","0","0","0","0"
"AA","10/02/2018","0693","N206UW","PHX","22:03","22:00","356","354","-3","22:17","17","0","0","0","0","0"
"AA","10/02/2018","1480","N125AA","LAX","07:10","07:07","333","330","-3","07:25","18","0","0","0","0","0"
"AA","10/03/2018","0008","N758AN","DFW","17:33","17:30","441","437","-3","17:51","21","0","0","0","0","0"
"AA","10/03/2018","0144","N132AN","LAX","22:28","22:36","333","330","8","22:54","18","0","0","0","0","0"
"AA","10/03/2018","0162","N129AA","LAX","12:48","12:43","339","342","-5","13:00","17","0","0","0","0","0"
"AA","10/03/2018","0298","N125AA","LAX","21:30","21:30","330","312","0","21:44","14","0","0","0","0","0"
"AA","10/03/2018","0675","N201UU","PHX","22:52","22:52","358","355","0","23:10","18","0","0","0","0","0"
"AA","10/03/2018","0693","N205UW","PHX","22:03","21:58","356","356","-5","22:18","20","0","0","0","0","0"
"AA","10/03/2018","1480","N124AA","LAX","07:10","07:05","333","333","-5","07:29","24","0","0","0","0","0"
"AA","10/04/2018","0008","N797AN","DFW","17:33","17:29","441","433","-4","17:46","17","0","0","0","0","0"
"AA","10/04/2018","0102","N770AN","DFW","20:09","20:05","444","455","-4","20:25","20","0","0","0","0","0"
"AA","10/04/2018","0144","N119NN","LAX","22:28","22:23","332","338","-5","22:44","21","0","0","0","0","0"
"AA","10/04/2018","0162","N125AA","LAX","12:50","12:48","339","341","-2","13:13","25","0","0","0","0","0"
"AA","10/04/2018","0298","N132AN","LAX","21:32","21:25","328","333","-7","21:47","22","0","0","0","0","0"
"AA","10/04/2018","0675","N200UU","PHX","22:53","18:25","357","359","1172","18:44","19","1172","0","2","0","0"
"AA","10/04/2018","0693","N203UW","PHX","22:04","21:57","355","358","-7","22:16","19","0","0","0","0","0"
"AA","10/04/2018","1480","N122NN","LAX","07:10","07:03","333","328","-7","07:15","12","0","0","0","0","0"
"AA","10/05/2018","0008","N765AN","DFW","17:33","17:30","441","435","-3","17:47","17","0","0","0","0","0"
"AA","10/05/2018","0102","N774AN","DFW","20:09","20:03","444","437","-6","20:20","17","0","0","0","0","0"
"AA","10/05/2018","0144","N133AN","LAX","22:28","22:14","332","334","-14","22:31","17","0","0","0","0","0"
"AA","10/05/2018","0162","N119NN","LAX","12:50","12:44","339","339","-6","13:05","21","0","0","0","0","0"
"AA","10/05/2018","0298","N124AA","LAX","21:32","21:24","328","325","-8","21:42","18","0","0","0","0","0"
"AA","10/05/2018","0675","N938UW","PHX","22:53","22:47","357","360","-6","23:01","14","0","0","0","0","0"
