Detailed Statistics Departures  
Origin Airport: Nashville, TN: Nashville International (BNA)
Airline: Delta Airlines Inc. (DL)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","01/01/2018","1082","N963DL","ATL","06:00","05:59","70","78","-1","06:28","29","0","0","0","0","0"
"DL","01/01/2018","1412","N984DL","ATL","11:00","11:36","70","60","36","11:53","17","0","0","26","0","0"
"DL","01/01/2018","1475","N3755D","SLC","16:30","19:09","245","225","159","19:23","14","139","0","0","0","0"
"DL","01/01/2018","1531","N939DL","ATL","13:43","13:41","73","58","-2","13:59","18","0","0","0","0","0"
"DL","01/01/2018","2176","N911DE","ATL","16:00","16:16","75","67","16","16:37","21","0","0","0","0","0"
"DL","01/01/2018","2434","N3766","LAX","07:00","06:58","295","303","-2","07:28","30","0","0","0","0","0"
"DL","01/01/2018","2886","N333NB","SEA","07:15","07:24","330","322","9","07:50","26","0","0","0","0","0"
"DL","01/02/2018","0779","N991DL","MSP","12:02","12:36","149","113","34","12:48","12","0","0","0","0","0"
"DL","01/02/2018","1126","N988DL","DTW","18:43","19:31","102","86","48","19:44","13","3","0","23","0","6"
"DL","01/02/2018","1324","N966DL","ATL","06:30","06:29","85","80","-1","07:05","36","0","0","0","0","0"
"DL","01/02/2018","1412","N971DL","ATL","11:00","10:58","72","54","-2","11:10","12","0","0","0","0","0"
"DL","01/02/2018","1421","N999DN","ATL","18:59","18:59","75","64","0","19:12","13","0","0","0","0","0"
"DL","01/02/2018","1531","N927DA","ATL","13:43","13:51","73","53","8","14:04","13","0","0","0","0","0"
"DL","01/02/2018","1865","N389DA","SLC","18:00","18:04","247","227","4","18:23","19","0","0","0","0","0"
"DL","01/02/2018","1922","N989DN","DTW","13:50","13:50","99","94","0","14:03","13","0","0","0","0","0"
