Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: Delta Airlines Inc. (DL)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","06/01/2018","0061","N581NW","ATL","14:40","15:29","282","269","49","15:46","17","0","0","36","0","0"
"DL","06/01/2018","0064","N594NW","ATL","08:00","08:22","282","0","22","08:56","34","0","0","0","0","0"
"DL","06/01/2018","0144","N389DA","SEA","14:11","14:12","137","132","1","14:39","27","0","0","0","0","0"
"DL","06/01/2018","0267","N711ZX","JFK","12:55","13:12","341","366","17","13:37","25","17","0","25","0","0"
"DL","06/01/2018","0407","N154DL","JFK","08:30","08:25","350","360","-5","08:55","30","0","0","0","0","0"
"DL","06/01/2018","0474","N706TW","JFK","11:20","11:17","360","369","-3","11:53","36","0","0","0","0","0"
"DL","06/01/2018","0522","N3768","SLC","13:10","13:05","118","104","-5","13:27","22","0","0","0","0","0"
"DL","06/01/2018","0745","N674DL","DTW","11:35","12:22","282","273","47","12:44","22","0","0","15","0","23"
"DL","06/01/2018","0756","N889DN","MSP","11:05","10:56","230","218","-9","11:26","30","0","0","0","0","0"
"DL","06/01/2018","0791","N321NB","SEA","12:55","13:25","136","119","30","13:38","13","0","0","0","0","0"
"DL","06/01/2018","0806","N6710E","MSP","00:05","00:09","214","207","4","00:32","23","0","0","0","0","0"
"DL","06/01/2018","0854","N329DN","DTW","07:00","07:00","280","271","0","07:17","17","0","0","0","0","0"
"DL","06/01/2018","0930","N557NW","DTW","13:20","13:43","290","269","23","14:04","21","0","0","0","0","0"
"DL","06/01/2018","1077","N840MH","JFK","14:25","15:13","355","318","48","15:23","10","0","0","0","0","0"
"DL","06/01/2018","1151","N582NW","MSP","15:19","15:25","211","191","6","15:36","11","0","0","0","0","0"
"DL","06/01/2018","1210","N550NW","ATL","06:20","06:12","278","278","-8","06:32","20","0","0","0","0","0"
"DL","06/01/2018","1241","N373DA","SLC","16:45","16:45","112","103","0","17:02","17","0","0","0","0","0"
"DL","06/01/2018","1373","N667DN","DTW","23:00","22:59","285","293","-1","23:33","34","0","0","0","0","0"
"DL","06/01/2018","1581","N595NW","MSP","07:45","07:42","220","196","-3","07:57","15","0","0","0","0","0"
"DL","06/01/2018","1680","N883DN","ATL","12:30","14:46","289","280","136","15:04","18","127","0","0","0","0"
"DL","06/01/2018","1775","N592NW","ATL","23:10","01:23","275","267","133","01:35","12","125","0","0","0","0"
"DL","06/01/2018","1810","N673DL","ATL","15:55","15:52","279","272","-3","16:13","21","0","0","0","0","0"
"DL","06/01/2018","1847","N869DN","MSP","06:15","06:13","219","202","-2","06:34","21","0","0","0","0","0"
"DL","06/01/2018","1859","N704X","JFK","06:15","06:10","336","324","-5","06:27","17","0","0","0","0","0"
"DL","06/01/2018","2040","N705TW","JFK","16:10","16:07","338","334","-3","16:32","25","0","0","0","0","0"
"DL","06/01/2018","2049","N585NW","ATL","11:30","11:44","282","280","14","12:15","31","0","0","0","0","0"
"DL","06/01/2018","2294","N972AT","LAX","12:40","14:14","95","74","94","14:30","16","73","0","0","0","0"
"DL","06/01/2018","2444","N3745B","LAX","11:00","10:55","103","76","-5","11:06","11","0","0","0","0","0"
"DL","06/01/2018","2520","N879DN","SLC","06:00","05:52","119","100","-8","06:07","15","0","0","0","0","0"
"DL","06/01/2018","2521","N713TW","JFK","22:30","22:28","337","325","-2","22:43","15","0","0","0","0","0"
"DL","06/01/2018","2610","N727TW","BOS","11:25","11:20","355","350","-5","11:40","20","0","0","0","0","0"
"DL","06/01/2018","2670","N933AT","LAX","19:10","19:03","105","96","-7","19:33","30","0","0","0","0","0"
"DL","06/01/2018","2678","N933AT","LAX","09:15","09:08","100","89","-7","09:29","21","0","0","0","0","0"
"DL","06/01/2018","2691","N933AT","LAX","14:15","14:12","93","89","-3","14:36","24","0","0","0","0","0"
"DL","06/01/2018","2719","N3732J","LAX","17:45","17:39","97","91","-6","18:09","30","0","0","0","0","0"
"DL","06/01/2018","2818","N718TW","BOS","21:35","21:29","356","350","-6","21:49","20","0","0","0","0","0"
"DL","06/01/2018","2848","N3764D","LAX","16:00","16:18","90","87","18","16:40","22","4","0","1","0","10"
"DL","06/01/2018","2905","N873DN","CVG","22:25","22:13","268","254","-12","22:27","14","0","0","0","0","0"
"DL","06/01/2018","2933","N364NB","SLC","18:30","18:24","115","92","-6","18:34","10","0","0","0","0","0"
"DL","06/01/2018","2977","N3745B","LAX","06:15","06:10","90","86","-5","06:32","22","0","0","0","0","0"
"DL","06/01/2018","2998","N374DA","LAX","07:45","07:42","92","90","-3","08:02","20","0","0","0","0","0"
"DL","06/02/2018","0061","N6716C","ATL","13:50","14:01","288","267","11","14:14","13","0","0","0","0","0"
"DL","06/02/2018","0064","N594NW","ATL","08:00","08:06","278","275","6","08:20","14","0","0","0","0","0"
"DL","06/02/2018","0144","N371NB","SEA","14:14","14:29","132","114","15","14:48","19","0","0","0","0","0"
"DL","06/02/2018","0267","N705TW","JFK","12:55","12:54","341","329","-1","13:08","14","0","0","0","0","0"
"DL","06/02/2018","0407","N174DZ","JFK","08:30","08:25","346","358","-5","08:47","22","0","0","0","0","0"
"DL","06/02/2018","0522","N988DN","SLC","13:10","12:57","117","121","-13","13:28","31","0","0","0","0","0"
"DL","06/02/2018","0745","N555NW","DTW","11:35","11:32","278","277","-3","11:55","23","0","0","0","0","0"
"DL","06/02/2018","0806","N812DN","MSP","00:05","23:54","218","206","-11","00:07","13","0","0","0","0","0"
"DL","06/02/2018","0854","N329DN","DTW","07:00","06:59","279","264","-1","07:14","15","0","0","0","0","0"
"DL","06/02/2018","1151","N589NW","MSP","15:19","15:18","211","198","-1","15:30","12","0","0","0","0","0"
"DL","06/02/2018","1210","N692DL","ATL","06:20","06:18","274","274","-2","06:38","20","0","0","0","0","0"
"DL","06/02/2018","1241","N3752","SLC","16:45","16:40","110","100","-5","16:54","14","0","0","0","0","0"
"DL","06/02/2018","1276","N933AT","LAX","10:20","10:15","90","82","-5","10:35","20","0","0","0","0","0"
"DL","06/02/2018","1373","N329DN","DTW","23:00","23:22","280","271","22","23:40","18","0","0","0","0","0"
"DL","06/02/2018","1581","N678DL","MSP","07:45","07:44","219","200","-1","07:58","14","0","0","0","0","0"
"DL","06/02/2018","1680","N861DN","ATL","12:30","12:32","286","277","2","12:47","15","0","0","0","0","0"
"DL","06/02/2018","1775","N594NW","ATL","23:10","23:12","273","282","2","23:38","26","0","0","0","0","0"
"DL","06/02/2018","1847","N860DN","MSP","06:15","06:13","217","206","-2","06:36","23","0","0","0","0","0"
"DL","06/02/2018","1859","N710TW","JFK","06:15","06:11","333","331","-4","06:35","24","0","0","0","0","0"
"DL","06/02/2018","2049","N581NW","ATL","11:30","11:21","279","272","-9","11:40","19","0","0","0","0","0"
"DL","06/02/2018","2240","N702TW","JFK","21:15","21:11","345","327","-4","21:28","17","0","0","0","0","0"
"DL","06/02/2018","2294","N369NB","LAX","12:40","12:41","97","76","1","12:55","14","0","0","0","0","0"
"DL","06/02/2018","2520","N882DN","SLC","06:00","05:54","116","98","-6","06:06","12","0","0","0","0","0"
"DL","06/02/2018","2610","N721TW","BOS","11:25","11:29","355","339","4","11:47","18","0","0","0","0","0"
