Detailed Statistics Departures  
Origin Airport: Nashville, TN: Nashville International (BNA)
Airline: United Airlines Inc. (UA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","01/01/2018","0897","N461UA","EWR","06:00","05:59","136","125","-1","06:11","12","0","0","0","0","0"
"UA","01/01/2018","1835","N831UA","SFO","18:21","19:13","310","294","52","19:24","11","36","0","0","0","0"
"UA","01/01/2018","2119","N831UA","SFO","07:10","07:07","310","319","-3","07:24","17","0","0","0","0","0"
"UA","01/01/2018","2146","N76508","IAH","17:55","17:55","141","127","0","18:09","14","0","0","0","0","0"
"UA","01/02/2018","0337","N460UA","IAH","06:23","07:11","145","122","48","07:22","11","25","0","0","0","0"
"UA","01/02/2018","0418","N811UA","IAH","10:59","10:54","140","133","-5","11:09","15","0","0","0","0","0"
"UA","01/02/2018","0897","N477UA","EWR","06:00","05:59","136","154","-1","06:39","40","0","0","17","0","0"
"UA","01/02/2018","1835","N836UA","SFO","18:15","18:33","310","286","18","18:48","15","0","0","0","0","0"
"UA","01/02/2018","2119","N890UA","SFO","07:20","07:18","310","323","-2","07:30","12","0","0","0","0","0"
"UA","01/02/2018","2146","N16234","IAH","17:55","17:48","141","129","-7","18:05","17","0","0","0","0","0"
"UA","01/03/2018","0337","N470UA","IAH","06:23","06:22","145","127","-1","06:42","20","0","0","0","0","0"
"UA","01/03/2018","0418","N842UA","IAH","10:59","10:49","140","129","-10","11:11","22","0","0","0","0","0"
"UA","01/03/2018","0897","N78506","EWR","06:00","06:00","137","122","0","06:15","15","0","0","0","0","0"
"UA","01/03/2018","1835","N837UA","SFO","18:15","18:15","310","309","0","18:38","23","0","0","0","0","0"
"UA","01/03/2018","2119","N817UA","SFO","07:10","07:18","310","290","8","07:31","13","0","0","0","0","0"
"UA","01/03/2018","2146","N37263","IAH","17:55","18:07","141","116","12","18:21","14","0","0","0","0","0"
"UA","01/04/2018","0337","N443UA","IAH","06:23","06:21","145","127","-2","06:35","14","0","0","0","0","0"
"UA","01/04/2018","0418","N893UA","IAH","10:59","10:57","140","123","-2","11:11","14","0","0","0","0","0"
"UA","01/04/2018","0897","","EWR","06:00","00:00","137","0","0","00:00","0","0","0","0","0","0"
"UA","01/04/2018","1835","N830UA","SFO","18:15","18:51","310","301","36","19:08","17","27","0","0","0","0"
"UA","01/04/2018","2119","N830UA","SFO","07:10","07:07","310","317","-3","07:21","14","0","0","0","0","0"
"UA","01/04/2018","2146","N76288","IAH","17:55","17:53","141","124","-2","18:05","12","0","0","0","0","0"
"UA","01/05/2018","0337","N427UA","IAH","06:23","06:14","145","129","-9","06:34","20","0","0","0","0","0"
"UA","01/05/2018","0418","N806UA","IAH","10:59","10:46","140","119","-13","11:00","14","0","0","0","0","0"
"UA","01/05/2018","0897","","EWR","06:00","00:00","136","0","0","00:00","0","0","0","0","0","0"
"UA","01/05/2018","1835","N471UA","SFO","18:15","19:15","310","315","60","19:32","17","0","0","65","0","0"
"UA","01/05/2018","2119","N471UA","SFO","07:10","07:09","310","309","-1","07:22","13","0","0","0","0","0"
"UA","01/05/2018","2146","N87527","IAH","17:55","19:24","141","113","89","19:39","15","0","0","0","0","61"
"UA","01/06/2018","0337","N76502","IAH","06:17","06:42","146","117","25","06:55","13","0","0","0","0","0"
"UA","01/06/2018","0418","N817UA","IAH","10:59","10:56","140","116","-3","11:10","14","0","0","0","0","0"
"UA","01/06/2018","0897","N434UA","EWR","06:00","06:02","136","129","2","06:17","15","0","0","0","0","0"
"UA","01/06/2018","2119","N895UA","SFO","06:45","07:23","310","290","38","07:34","11","18","0","0","0","0"
"UA","01/06/2018","2146","N23721","IAH","18:00","17:51","141","128","-9","18:06","15","0","0","0","0","0"
"UA","01/07/2018","0337","N463UA","IAH","06:17","06:15","145","133","-2","06:28","13","0","0","0","0","0"
"UA","01/07/2018","0418","N832UA","IAH","10:59","10:53","140","135","-6","11:04","11","0","0","0","0","0"
"UA","01/07/2018","0897","N17233","EWR","06:00","05:46","137","155","-14","06:14","28","0","0","0","0","0"
"UA","01/07/2018","1835","N828UA","SFO","18:15","18:30","310","289","15","18:43","13","0","0","0","0","0"
"UA","01/07/2018","2119","N889UA","SFO","07:15","07:13","310","293","-2","07:25","12","0","0","0","0","0"
"UA","01/07/2018","2146","N14237","IAH","17:55","17:49","141","144","-6","18:11","22","0","0","0","0","0"
"UA","01/08/2018","0337","N853UA","IAH","06:31","06:23","142","121","-8","06:36","13","0","0","0","0","0"
"UA","01/08/2018","0458","N476UA","EWR","17:40","18:42","133","128","62","19:00","18","0","0","54","0","3"
"UA","01/08/2018","1835","N889UA","SFO","18:20","19:26","310","290","66","19:44","18","0","0","0","0","46"
"UA","01/09/2018","0337","N495UA","IAH","06:19","06:11","142","125","-8","06:26","15","0","0","0","0","0"
"UA","01/09/2018","0758","N832UA","ORD","16:40","16:35","109","94","-5","16:54","19","0","0","0","0","0"
"UA","01/09/2018","0897","N852UA","EWR","06:09","05:57","131","131","-12","06:09","12","0","0","0","0","0"
"UA","01/09/2018","1835","N811UA","SFO","18:35","18:30","310","315","-5","18:48","18","0","0","0","0","0"
"UA","01/10/2018","0337","N453UA","IAH","06:19","06:37","142","123","18","06:53","16","0","0","0","0","0"
"UA","01/10/2018","0758","N448UA","ORD","16:40","16:33","109","116","-7","17:13","40","0","0","0","0","0"
"UA","01/10/2018","0897","N894UA","EWR","06:09","06:10","131","121","1","06:25","15","0","0","0","0","0"
"UA","01/10/2018","1835","N846UA","SFO","18:20","18:59","310","302","39","19:30","31","0","0","31","0","0"
"UA","01/11/2018","0337","N405UA","IAH","06:19","06:12","142","144","-7","06:29","17","0","0","0","0","0"
"UA","01/11/2018","0758","N809UA","ORD","16:40","16:33","109","97","-7","16:55","22","0","0","0","0","0"
"UA","01/11/2018","0897","N852UA","EWR","06:09","06:05","131","128","-4","06:18","13","0","0","0","0","0"
"UA","01/11/2018","1835","N854UA","SFO","18:35","18:33","310","302","-2","18:44","11","0","0","0","0","0"
"UA","01/12/2018","0337","N459UA","IAH","06:19","06:26","142","125","7","06:43","17","0","0","0","0","0"
"UA","01/12/2018","0758","N834UA","ORD","16:40","17:09","109","194","29","18:53","104","0","2","85","0","27"
"UA","01/12/2018","0897","N891UA","EWR","06:09","06:06","131","134","-3","06:25","19","0","0","0","0","0"
"UA","01/12/2018","1835","N854UA","SFO","18:35","19:00","310","413","25","21:27","147","0","21","103","0","4"
"UA","01/13/2018","0337","N489UA","IAH","06:19","06:19","142","127","0","06:38","19","0","0","0","0","0"
"UA","01/13/2018","0897","N852UA","EWR","06:09","07:15","131","170","66","08:06","51","66","0","39","0","0"
"UA","01/13/2018","1835","N819UA","SFO","18:35","18:24","310","294","-11","18:35","11","0","0","0","0","0"
"UA","01/14/2018","0758","N891UA","ORD","16:40","16:52","109","124","12","17:11","19","3","0","15","0","9"
"UA","01/14/2018","1835","N823UA","SFO","18:35","18:28","310","296","-7","18:43","15","0","0","0","0","0"
"UA","01/15/2018","0337","N496UA","IAH","06:19","06:29","142","128","10","06:44","15","0","0","0","0","0"
"UA","01/15/2018","0897","N894UA","EWR","06:09","06:21","131","117","12","06:34","13","0","0","0","0","0"
"UA","01/15/2018","1835","N808UA","SFO","18:35","19:43","310","288","68","19:56","13","5","0","0","0","41"
"UA","01/16/2018","0337","","IAH","06:19","00:00","142","0","0","00:00","0","0","0","0","0","0"
"UA","01/16/2018","0758","N849UA","ORD","16:40","16:39","109","95","-1","16:53","14","0","0","0","0","0"
"UA","01/16/2018","0897","N855UA","EWR","06:09","06:45","131","173","36","08:07","82","36","0","42","0","0"
"UA","01/16/2018","1835","N830UA","SFO","18:35","18:30","310","288","-5","18:50","20","0","0","0","0","0"
"UA","01/17/2018","0337","N418UA","IAH","06:19","09:21","142","190","182","10:10","49","182","0","48","0","0"
"UA","01/17/2018","0758","N840UA","ORD","16:40","16:36","109","99","-4","16:54","18","0","0","0","0","0"
"UA","01/17/2018","0897","","EWR","06:09","00:00","131","0","0","00:00","0","0","0","0","0","0"
"UA","01/17/2018","1835","N809UA","SFO","18:20","18:13","310","276","-7","18:31","18","0","0","0","0","0"
"UA","01/18/2018","0337","N425UA","IAH","06:19","06:17","142","141","-2","06:56","39","0","0","0","0","0"
"UA","01/18/2018","0758","N811UA","ORD","16:40","16:33","109","106","-7","17:02","29","0","0","0","0","0"
"UA","01/18/2018","0897","N853UA","EWR","06:09","06:02","131","141","-7","06:27","25","0","0","0","0","0"
"UA","01/18/2018","1835","N823UA","SFO","18:35","19:01","310","280","26","19:21","20","0","0","0","0","0"
"UA","01/19/2018","0337","N438UA","IAH","06:19","06:14","142","120","-5","06:30","16","0","0","0","0","0"
"UA","01/19/2018","0758","N839UA","ORD","16:40","16:32","109","111","-8","17:01","29","0","0","0","0","0"
"UA","01/19/2018","0897","N455UA","EWR","06:09","06:00","131","131","-9","06:17","17","0","0","0","0","0"
"UA","01/19/2018","1835","N847UA","SFO","18:35","18:51","310","307","16","19:10","19","0","0","0","0","0"
"UA","01/20/2018","0337","N815UA","IAH","06:19","06:19","142","142","0","06:48","29","0","0","0","0","0"
"UA","01/20/2018","0897","N850UA","EWR","06:09","06:01","131","123","-8","06:11","10","0","0","0","0","0"
"UA","01/20/2018","1835","N442UA","SFO","18:35","18:31","310","281","-4","18:43","12","0","0","0","0","0"
"UA","01/21/2018","0758","N815UA","ORD","16:40","16:35","109","98","-5","16:56","21","0","0","0","0","0"
"UA","01/21/2018","1835","N837UA","SFO","18:35","20:42","310","282","127","20:57","15","0","0","0","0","99"
"UA","01/22/2018","0337","N465UA","IAH","06:19","06:15","142","167","-4","07:02","47","0","0","21","0","0"
