Detailed Statistics Departures  
Origin Airport: Nashville, TN: Nashville International (BNA)
Airline: American Airlines Inc. (AA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","01/01/2018","0469","N752US","PHL","09:24","09:35","124","109","11","09:46","11","0","0","0","0","0"
"AA","01/01/2018","0602","N751UW","DFW","20:51","21:13","139","132","22","21:29","16","0","0","0","0","15"
"AA","01/01/2018","0820","N958UW","PHL","07:00","06:59","134","124","-1","07:23","24","0","0","0","0","0"
"AA","01/01/2018","1065","N965TW","DFW","09:28","09:49","136","127","21","10:04","15","0","0","0","0","0"
"AA","01/01/2018","1439","N927NN","DFW","15:20","15:21","134","119","1","15:32","11","0","0","0","0","0"
"AA","01/01/2018","1694","N109UW","CLT","19:02","19:16","97","67","14","19:26","10","0","0","0","0","0"
"AA","01/01/2018","1736","N722US","CLT","16:58","17:15","97","70","17","17:25","10","0","0","0","0","0"
"AA","01/01/2018","2019","N768US","CLT","12:49","12:44","95","72","-5","12:59","15","0","0","0","0","0"
"AA","01/01/2018","2027","N104UW","CLT","07:45","07:43","101","94","-2","08:09","26","0","0","0","0","0"
"AA","01/01/2018","2218","N826NN","LAX","20:59","20:59","302","354","0","21:19","20","0","0","52","0","0"
"AA","01/01/2018","2247","N306NY","LAX","05:55","05:53","306","302","-2","06:22","29","0","0","0","0","0"
"AA","01/01/2018","2259","N9615W","DFW","19:10","19:53","136","128","43","20:10","17","3","0","0","0","32"
"AA","01/01/2018","2341","N827NN","DFW","07:00","10:13","138","128","193","10:36","23","183","0","0","0","0"
"AA","01/01/2018","2551","N934NN","DFW","06:01","07:46","138","166","105","08:11","25","105","0","28","0","0"
"AA","01/01/2018","2591","N991AN","MIA","06:00","06:01","150","134","1","06:19","18","0","0","0","0","0"
