Detailed Statistics Departures  
Origin Airport: Nashville, TN: Nashville International (BNA)
Airline: Delta Airlines Inc. (DL)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","04/01/2018","0134","N958AT","DTW","13:55","13:48","92","82","-7","13:56","8","0","0","0","0","0"
"DL","04/01/2018","0661","N940DN","DTW","16:45","16:40","99","87","-5","16:49","9","0","0","0","0","0"
"DL","04/01/2018","0742","N338NB","LAX","07:05","06:59","280","271","-6","07:09","10","0","0","0","0","0"
"DL","04/01/2018","1066","N948DL","ATL","10:45","10:39","62","58","-6","10:54","15","0","0","0","0","0"
"DL","04/01/2018","1324","N917DL","ATL","06:40","06:34","84","71","-6","07:00","26","0","0","0","0","0"
"DL","04/01/2018","1552","N907DA","DTW","08:45","08:45","99","94","0","09:01","16","0","0","0","0","0"
"DL","04/01/2018","1676","N924DL","ATL","14:35","14:26","71","64","-9","14:43","17","0","0","0","0","0"
"DL","04/01/2018","2066","N969DL","ATL","12:04","12:00","75","59","-4","12:15","15","0","0","0","0","0"
"DL","04/01/2018","2176","N989DL","ATL","18:08","18:04","66","64","-4","18:20","16","0","0","0","0","0"
"DL","04/01/2018","2182","N6714Q","DTW","18:46","18:41","89","99","-5","19:05","24","0","0","0","0","0"
"DL","04/01/2018","2434","N338NB","LAX","17:10","17:03","264","263","-7","17:18","15","0","0","0","0","0"
"DL","04/01/2018","2599","N914DL","ATL","16:02","15:58","70","65","-4","16:16","18","0","0","0","0","0"
