Detailed Statistics Departures  
Origin Airport: Nashville, TN: Nashville International (BNA)
Airline: United Airlines Inc. (UA)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","04/01/2018","0217","N805UA","SFO","06:40","06:39","310","296","-1","06:52","13","0","0","0","0","0"
"UA","04/01/2018","0256","N808UA","SFO","17:58","17:54","309","281","-4","18:05","11","0","0","0","0","0"
"UA","04/01/2018","0337","N832UA","IAH","06:20","06:17","144","137","-3","06:47","30","0","0","0","0","0"
"UA","04/01/2018","0897","N407UA","EWR","06:00","06:50","131","121","50","07:04","14","40","0","0","0","0"
"UA","04/02/2018","0217","N829UA","SFO","06:40","06:32","310","299","-8","06:51","19","0","0","0","0","0"
"UA","04/02/2018","0256","N808UA","SFO","17:58","17:56","309","298","-2","18:12","16","0","0","0","0","0"
"UA","04/02/2018","0337","N817UA","IAH","06:20","06:16","144","137","-4","06:37","21","0","0","0","0","0"
"UA","04/02/2018","0897","N493UA","EWR","06:00","05:58","131","156","-2","06:13","15","0","0","23","0","0"
"UA","04/03/2018","0217","N823UA","SFO","06:40","06:28","310","300","-12","06:37","9","0","0","0","0","0"
"UA","04/03/2018","0256","N828UA","SFO","17:58","17:51","309","298","-7","18:04","13","0","0","0","0","0"
"UA","04/03/2018","0337","N889UA","IAH","06:20","06:18","144","128","-2","06:28","10","0","0","0","0","0"
"UA","04/03/2018","0897","N432UA","EWR","06:00","06:47","131","119","47","07:03","16","35","0","0","0","0"
"UA","04/04/2018","0217","N855UA","SFO","06:40","06:37","310","310","-3","06:51","14","0","0","0","0","0"
"UA","04/04/2018","0256","N892UA","SFO","17:58","18:25","309","307","27","18:39","14","11","0","0","0","14"
"UA","04/04/2018","0337","N822UA","IAH","06:20","06:29","144","166","9","07:14","45","9","0","22","0","0"
"UA","04/04/2018","0897","N483UA","EWR","06:00","05:58","131","132","-2","06:15","17","0","0","0","0","0"
"UA","04/05/2018","0217","N892UA","SFO","06:40","06:43","310","310","3","06:58","15","0","0","0","0","0"
"UA","04/05/2018","0256","N818UA","SFO","17:58","18:02","309","301","4","18:18","16","0","0","0","0","0"
"UA","04/05/2018","0337","N829UA","IAH","06:20","06:15","144","142","-5","06:30","15","0","0","0","0","0"
"UA","04/05/2018","0897","N465UA","EWR","06:00","05:55","131","123","-5","06:07","12","0","0","0","0","0"
"UA","04/06/2018","0217","N896UA","SFO","06:40","06:37","310","310","-3","06:46","9","0","0","0","0","0"
"UA","04/06/2018","0256","N848UA","SFO","17:58","20:22","309","390","144","21:45","83","0","142","81","0","2"
"UA","04/06/2018","0337","N832UA","IAH","06:20","06:12","144","128","-8","06:33","21","0","0","0","0","0"
"UA","04/06/2018","0897","N441UA","EWR","06:00","05:55","131","127","-5","06:09","14","0","0","0","0","0"
"UA","04/07/2018","0217","N831UA","SFO","06:40","07:41","310","320","61","07:56","15","21","0","10","0","40"
"UA","04/07/2018","0256","N463UA","SFO","18:07","18:38","310","312","31","19:03","25","0","0","33","0","0"
"UA","04/07/2018","0337","N839UA","IAH","06:20","06:36","144","145","16","07:07","31","16","0","1","0","0"
"UA","04/07/2018","0897","N408UA","EWR","06:04","06:02","131","115","-2","06:16","14","0","0","0","0","0"
"UA","04/08/2018","0217","N816UA","SFO","06:40","06:49","310","322","9","07:02","13","9","0","12","0","0"
"UA","04/08/2018","0256","N807UA","SFO","17:58","17:54","309","326","-4","18:10","16","0","0","0","0","0"
"UA","04/08/2018","0337","N817UA","IAH","06:20","07:11","144","125","51","07:29","18","32","0","0","0","0"
"UA","04/08/2018","0897","N466UA","EWR","06:04","06:18","131","121","14","06:31","13","0","0","0","0","0"
"UA","04/09/2018","0262","N839UA","ORD","16:55","16:48","103","142","-7","17:32","44","0","0","32","0","0"
"UA","04/09/2018","0322","N818UA","SFO","06:40","06:38","301","313","-2","06:51","13","0","0","0","0","0"
"UA","04/09/2018","0441","N810UA","IAH","06:20","06:17","132","128","-3","06:33","16","0","0","0","0","0"
