Detailed Statistics Departures  
Origin Airport: Nashville, TN: Nashville International (BNA)
Airline: American Airlines Inc. (AA)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","04/01/2018","0469","N956UW","PHL","09:20","09:54","120","103","34","10:06","12","0","0","0","0","17"
"AA","04/01/2018","0799","N758US","CLT","16:15","16:08","93","81","-7","16:19","11","0","0","0","0","0"
"AA","04/01/2018","0887","N732US","CLT","05:36","05:27","103","66","-9","05:39","12","0","0","0","0","0"
"AA","04/01/2018","1439","N342PM","DFW","15:22","15:18","131","130","-4","15:38","20","0","0","0","0","0"
"AA","04/01/2018","1555","N982TW","DFW","16:50","16:58","135","126","8","17:11","13","0","0","0","0","0"
"AA","04/01/2018","1622","N818NN","CLT","19:05","18:55","93","83","-10","19:19","24","0","0","0","0","0"
"AA","04/01/2018","1693","N819AW","CLT","12:47","12:46","95","90","-1","13:10","24","0","0","0","0","0"
"AA","04/01/2018","1853","N767UW","LAX","16:19","18:18","291","266","119","18:32","14","5","0","0","0","89"
"AA","04/01/2018","1899","N958UW","PHL","16:55","16:43","125","113","-12","16:55","12","0","0","0","0","0"
"AA","04/01/2018","2299","N9617R","DFW","11:40","11:36","128","130","-4","11:51","15","0","0","0","0","0"
"AA","04/01/2018","2542","N885NN","DFW","07:10","07:03","140","134","-7","07:24","21","0","0","0","0","0"
"AA","04/01/2018","2551","N992NN","DFW","05:56","05:50","134","129","-6","06:10","20","0","0","0","0","0"
"AA","04/01/2018","2591","N5007E","MIA","06:00","05:57","144","130","-3","06:16","19","0","0","0","0","0"
"AA","04/01/2018","2683","N5007E","MIA","17:05","17:12","143","130","7","17:25","13","0","0","0","0","0"
"AA","04/01/2018","2767","N818NN","CLT","07:35","07:27","106","88","-8","07:50","23","0","0","0","0","0"
"AA","04/02/2018","0469","N958UW","PHL","09:20","09:16","120","122","-4","09:32","16","0","0","0","0","0"
"AA","04/02/2018","0799","N109UW","CLT","16:15","16:09","93","83","-6","16:23","14","0","0","0","0","0"
"AA","04/02/2018","0820","N948UW","PHL","06:00","05:59","130","130","-1","06:20","21","0","0","0","0","0"
"AA","04/02/2018","0887","N714US","CLT","05:36","05:29","103","68","-7","05:42","13","0","0","0","0","0"
"AA","04/02/2018","1439","N991AN","DFW","15:22","15:16","131","151","-6","15:52","36","0","0","0","0","0"
"AA","04/02/2018","1555","N964TW","DFW","16:50","16:48","135","126","-2","17:00","12","0","0","0","0","0"
"AA","04/02/2018","1622","N818NN","CLT","19:05","19:02","93","91","-3","19:27","25","0","0","0","0","0"
"AA","04/02/2018","1853","N767UW","LAX","16:15","16:19","291","273","4","16:31","12","0","0","0","0","0"
"AA","04/02/2018","1899","N952UW","PHL","16:55","16:51","125","126","-4","17:06","15","0","0","0","0","0"
"AA","04/02/2018","2019","N725UW","CLT","12:42","12:38","95","84","-4","12:54","16","0","0","0","0","0"
"AA","04/02/2018","2247","N301PA","LAX","05:45","05:41","304","273","-4","05:53","12","0","0","0","0","0"
"AA","04/02/2018","2299","N7541A","DFW","11:40","11:35","128","125","-5","11:47","12","0","0","0","0","0"
"AA","04/02/2018","2542","N934NN","DFW","07:10","07:03","140","133","-7","07:19","16","0","0","0","0","0"
"AA","04/02/2018","2551","N802NN","DFW","05:56","05:52","134","127","-4","06:06","14","0","0","0","0","0"
"AA","04/02/2018","2591","N9012","MIA","06:00","05:57","144","132","-3","06:08","11","0","0","0","0","0"
"AA","04/02/2018","2673","N960NN","DFW","13:37","13:31","128","133","-6","13:46","15","0","0","0","0","0"
"AA","04/02/2018","2683","N9012","MIA","17:05","18:09","143","121","64","18:27","18","16","0","0","0","26"
"AA","04/02/2018","2767","N818NN","CLT","07:35","07:26","106","80","-9","07:40","14","0","0","0","0","0"
"AA","04/03/2018","0524","N949UW","CLT","10:00","10:36","89","74","36","10:55","19","5","0","0","0","16"
"AA","04/03/2018","0832","N949UW","PHL","14:23","15:20","131","126","57","15:52","32","0","0","7","0","45"
"AA","04/03/2018","0851","N806AW","CLT","12:31","12:23","98","75","-8","12:39","16","0","0","0","0","0"
"AA","04/03/2018","1065","N969TW","DFW","09:37","09:32","130","127","-5","09:44","12","0","0","0","0","0"
"AA","04/03/2018","1439","N9628W","DFW","15:40","16:02","134","135","22","16:23","21","0","0","1","0","22"
"AA","04/03/2018","1622","N818NN","CLT","07:35","07:50","105","105","15","08:21","31","15","0","0","0","0"
"AA","04/03/2018","1630","N724UW","CLT","06:00","05:57","100","79","-3","06:09","12","0","0","0","0","0"
"AA","04/03/2018","1654","N967UW","PHL","06:57","06:46","128","113","-11","06:57","11","0","0","0","0","0"
"AA","04/03/2018","1736","N712US","CLT","15:50","16:25","93","74","35","16:40","15","0","0","0","0","16"
"AA","04/03/2018","2247","N812NN","LAX","05:40","05:29","303","329","-11","05:58","29","0","0","15","0","0"
"AA","04/03/2018","2259","N824NN","DFW","19:18","19:30","130","135","12","19:40","10","0","0","5","0","12"
"AA","04/03/2018","2318","N9018E","MIA","06:05","06:01","141","118","-4","06:10","9","0","0","0","0","0"
"AA","04/03/2018","2320","N990AN","DFW","07:20","07:12","135","142","-8","07:25","13","0","0","0","0","0"
"AA","04/03/2018","2398","N555AN","DFW","11:33","11:57","129","145","24","12:14","17","24","0","16","0","0"
"AA","04/03/2018","2410","N846NN","LAX","16:10","16:11","284","286","1","16:24","13","0","0","0","0","0"
"AA","04/03/2018","2551","N966AN","DFW","05:49","05:40","133","136","-9","05:54","14","0","0","0","0","0"
"AA","04/03/2018","2673","N9622A","DFW","13:30","13:25","131","195","-5","13:46","21","0","0","59","0","0"
"AA","04/04/2018","0524","N955UW","CLT","10:00","10:13","89","71","13","10:28","15","0","0","0","0","0"
"AA","04/04/2018","0832","N955UW","PHL","14:23","14:18","131","137","-5","14:31","13","0","0","0","0","0"
