Detailed Statistics Departures  
Origin Airport: Nashville, TN: Nashville International (BNA)
Airline: Delta Airlines Inc. (DL)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","06/01/2018","0134","N949DL","DTW","13:55","13:49","96","101","-6","14:03","14","0","0","0","0","0"
"DL","06/01/2018","0342","N316NB","SEA","07:00","07:00","304","280","0","07:12","12","0","0","0","0","0"
"DL","06/01/2018","0742","N369NB","LAX","07:09","07:07","271","262","-2","07:18","11","0","0","0","0","0"
"DL","06/01/2018","0816","N959AT","MSP","17:14","17:10","134","120","-4","17:18","8","0","0","0","0","0"
"DL","06/01/2018","0931","N922DL","ATL","05:30","05:28","62","53","-2","05:38","10","0","0","0","0","0"
"DL","06/01/2018","0935","N985AT","DTW","11:10","10:57","102","95","-13","11:13","16","0","0","0","0","0"
"DL","06/01/2018","1066","N905DE","ATL","10:35","10:33","63","58","-2","10:45","12","0","0","0","0","0"
"DL","06/01/2018","1324","N927DA","ATL","06:45","06:40","77","64","-5","07:00","20","0","0","0","0","0"
"DL","06/01/2018","1676","N905DE","ATL","14:25","17:35","62","55","190","17:47","12","0","0","174","0","9"
"DL","06/01/2018","1799","N939DL","ATL","09:25","09:28","64","65","3","09:46","18","0","0","0","0","0"
"DL","06/01/2018","1801","N950DN","DTW","16:48","17:43","97","83","55","17:52","9","41","0","0","0","0"
"DL","06/01/2018","1865","N933DL","ATL","12:06","11:58","71","95","-8","12:29","31","0","0","16","0","0"
"DL","06/01/2018","2176","N990DL","ATL","17:50","23:08","66","55","318","23:20","12","105","0","0","0","202"
"DL","06/01/2018","2182","N949DL","DTW","18:45","18:44","98","96","-1","18:59","15","0","0","0","0","0"
"DL","06/01/2018","2434","N369NB","LAX","17:06","17:16","264","253","10","17:28","12","0","0","0","0","0"
"DL","06/01/2018","2591","N949DL","DTW","08:50","08:40","97","83","-10","08:51","11","0","0","0","0","0"
"DL","06/01/2018","2599","N908DE","ATL","16:05","18:39","66","63","154","18:50","11","0","0","53","0","98"
"DL","06/01/2018","2640","N935DL","ATL","08:00","07:51","67","72","-9","08:12","21","0","0","0","0","0"
"DL","06/01/2018","2826","N910DL","ATL","18:59","22:49","62","63","230","23:03","14","0","0","1","0","230"
"DL","06/01/2018","2941","N382DA","SLC","18:48","18:45","217","206","-3","18:55","10","0","0","0","0","0"
"DL","06/02/2018","0342","N371NB","SEA","07:00","06:58","304","301","-2","07:12","14","0","0","0","0","0"
"DL","06/02/2018","0742","N321NB","LAX","07:30","07:38","265","250","8","07:52","14","0","0","0","0","0"
"DL","06/02/2018","1066","N928AT","ATL","10:35","10:30","63","63","-5","10:47","17","0","0","0","0","0"
"DL","06/02/2018","1142","N956DL","ATL","12:00","11:50","71","70","-10","12:11","21","0","0","0","0","0"
"DL","06/02/2018","1324","N946DL","ATL","06:00","05:53","60","65","-7","06:10","17","0","0","0","0","0"
"DL","06/02/2018","1676","N961DL","ATL","14:25","14:53","62","58","28","15:08","15","24","0","0","0","0"
"DL","06/02/2018","1801","N995AT","DTW","16:15","16:13","98","104","-2","16:31","18","0","0","0","0","0"
"DL","06/02/2018","2176","N935DL","ATL","17:50","18:39","66","54","49","18:51","12","2","0","0","0","35"
"DL","06/02/2018","2599","N978DL","ATL","16:10","17:16","66","62","66","17:35","19","14","0","0","0","48"
"DL","06/02/2018","2640","N948DL","ATL","08:00","09:14","65","58","74","09:30","16","67","0","0","0","0"
"DL","06/02/2018","2941","N3773D","SLC","16:37","16:35","214","208","-2","16:50","15","0","0","0","0","0"
"DL","06/03/2018","0134","N958DL","DTW","13:55","13:46","96","89","-9","13:59","13","0","0","0","0","0"
"DL","06/03/2018","0342","N336NB","SEA","07:00","06:56","304","286","-4","07:11","15","0","0","0","0","0"
"DL","06/03/2018","0742","N314NB","LAX","07:09","07:05","271","268","-4","07:17","12","0","0","0","0","0"
"DL","06/03/2018","0816","N959AT","MSP","17:14","17:12","134","119","-2","17:22","10","0","0","0","0","0"
"DL","06/03/2018","0931","N989DL","ATL","05:30","05:22","62","59","-8","05:37","15","0","0","0","0","0"
"DL","06/03/2018","0935","N915AT","DTW","11:10","11:07","102","89","-3","11:19","12","0","0","0","0","0"
"DL","06/03/2018","1066","N987DN","ATL","10:35","10:28","61","62","-7","10:44","16","0","0","0","0","0"
"DL","06/03/2018","1324","N991DL","ATL","06:45","06:43","77","69","-2","07:08","25","0","0","0","0","0"
"DL","06/03/2018","1676","N943DL","ATL","14:25","14:36","62","78","11","15:09","33","3","0","16","0","8"
"DL","06/03/2018","1799","N939DL","ATL","09:25","09:18","64","62","-7","09:36","18","0","0","0","0","0"
"DL","06/03/2018","1801","N911DA","DTW","16:48","16:58","97","91","10","17:20","22","0","0","0","0","0"
"DL","06/03/2018","1865","N982AT","ATL","12:06","12:46","74","57","40","12:58","12","0","0","0","0","23"
"DL","06/03/2018","2176","N921DL","ATL","17:50","18:14","66","90","24","18:52","38","7","0","24","0","17"
"DL","06/03/2018","2182","N958DL","DTW","18:45","18:55","98","84","10","19:06","11","0","0","0","0","0"
"DL","06/03/2018","2434","N369NB","LAX","17:06","16:59","264","275","-7","17:17","18","0","0","0","0","0"
"DL","06/03/2018","2591","N979DL","DTW","08:50","08:54","97","88","4","09:06","12","0","0","0","0","0"
"DL","06/03/2018","2599","N910DE","ATL","16:05","17:00","66","141","55","18:31","91","0","0","75","0","55"
"DL","06/03/2018","2640","N608AT","ATL","08:00","07:57","67","67","-3","08:15","18","0","0","0","0","0"
"DL","06/03/2018","2826","N964DL","ATL","18:59","18:59","62","91","0","19:19","20","0","0","29","0","0"
"DL","06/03/2018","2941","N3749D","SLC","18:48","18:41","217","205","-7","18:52","11","0","0","0","0","0"
"DL","06/04/2018","0134","N991DL","DTW","13:55","13:51","96","94","-4","14:07","16","0","0","0","0","0"
"DL","06/04/2018","0342","N316NB","SEA","07:00","06:55","304","286","-5","07:11","16","0","0","0","0","0"
"DL","06/04/2018","0742","N358NB","LAX","07:09","07:08","271","279","-1","07:20","12","0","0","0","0","0"
"DL","06/04/2018","0816","N950AT","MSP","17:14","17:25","134","115","11","17:36","11","0","0","0","0","0"
"DL","06/04/2018","0931","N934DL","ATL","05:30","05:25","62","59","-5","05:40","15","0","0","0","0","0"
"DL","06/04/2018","0935","N995AT","DTW","11:10","11:10","102","89","0","11:22","12","0","0","0","0","0"
"DL","06/04/2018","1066","N966DL","ATL","10:35","10:32","63","56","-3","10:44","12","0","0","0","0","0"
"DL","06/04/2018","1324","N952DL","ATL","06:45","07:08","77","57","23","07:22","14","0","0","0","0","0"
"DL","06/04/2018","1676","N994DL","ATL","14:25","14:35","62","55","10","14:46","11","0","0","0","0","0"
"DL","06/04/2018","1799","N913DE","ATL","09:25","09:17","64","55","-8","09:29","12","0","0","0","0","0"
"DL","06/04/2018","1801","N962DN","DTW","16:48","16:55","97","100","7","17:19","24","0","0","0","0","0"
"DL","06/04/2018","2176","N957DL","ATL","17:50","18:03","66","72","13","18:31","28","0","0","6","0","13"
"DL","06/04/2018","2182","N991DL","DTW","18:45","18:41","98","98","-4","19:02","21","0","0","0","0","0"
"DL","06/04/2018","2434","N358NB","LAX","17:06","17:04","264","256","-2","17:18","14","0","0","0","0","0"
"DL","06/04/2018","2591","N979DL","DTW","08:50","08:45","97","87","-5","08:56","11","0","0","0","0","0"
"DL","06/04/2018","2599","N920DE","ATL","16:05","16:00","66","61","-5","16:17","17","0","0","0","0","0"
"DL","06/04/2018","2640","N907DL","ATL","08:00","07:57","67","60","-3","08:15","18","0","0","0","0","0"
"DL","06/04/2018","2728","N963DL","ATL","12:35","12:36","71","60","1","12:52","16","0","0","0","0","0"
"DL","06/04/2018","2826","N916DE","ATL","18:59","19:13","62","61","14","19:25","12","0","0","0","0","0"
"DL","06/04/2018","2941","N371DA","SLC","18:48","18:46","217","205","-2","18:59","13","0","0","0","0","0"
"DL","06/05/2018","0134","N980DL","DTW","13:55","13:50","96","90","-5","14:03","13","0","0","0","0","0"
"DL","06/05/2018","0342","N365NB","SEA","07:00","06:59","304","289","-1","07:10","11","0","0","0","0","0"
"DL","06/05/2018","0742","N363NB","LAX","07:09","07:07","271","282","-2","07:20","13","0","0","0","0","0"
"DL","06/05/2018","0816","N995AT","MSP","17:14","17:11","134","128","-3","17:30","19","0","0","0","0","0"
"DL","06/05/2018","0931","N918DE","ATL","05:30","05:25","62","63","-5","05:39","14","0","0","0","0","0"
"DL","06/05/2018","0935","N607AT","DTW","11:10","11:05","102","86","-5","11:17","12","0","0","0","0","0"
"DL","06/05/2018","1066","N937DL","ATL","10:35","10:39","63","57","4","10:49","10","0","0","0","0","0"
"DL","06/05/2018","1324","N994DL","ATL","06:45","06:42","77","75","-3","07:11","29","0","0","0","0","0"
"DL","06/05/2018","1676","N993DL","ATL","14:25","14:20","62","59","-5","14:36","16","0","0","0","0","0"
"DL","06/05/2018","1799","N992DL","ATL","09:25","09:22","64","57","-3","09:36","14","0","0","0","0","0"
"DL","06/05/2018","1801","N927DN","DTW","16:48","16:44","97","91","-4","16:55","11","0","0","0","0","0"
"DL","06/05/2018","1865","N972DL","ATL","12:06","12:10","71","65","4","12:27","17","0","0","0","0","0"
"DL","06/05/2018","2176","N963DL","ATL","17:50","17:43","66","74","-7","18:11","28","0","0","0","0","0"
"DL","06/05/2018","2182","N980DL","DTW","18:45","18:39","98","90","-6","18:49","10","0","0","0","0","0"
"DL","06/05/2018","2434","N363NB","LAX","17:06","17:13","264","250","7","17:29","16","0","0","0","0","0"
"DL","06/05/2018","2591","N912DL","DTW","08:50","08:47","97","86","-3","08:59","12","0","0","0","0","0"
"DL","06/05/2018","2599","N920DE","ATL","16:05","16:01","66","60","-4","16:15","14","0","0","0","0","0"
"DL","06/05/2018","2640","N910DE","ATL","08:00","07:58","67","60","-2","08:11","13","0","0","0","0","0"
"DL","06/05/2018","2826","N918DL","ATL","18:59","18:42","62","70","-17","19:09","27","0","0","0","0","0"
"DL","06/05/2018","2941","N3758Y","SLC","18:48","18:47","217","200","-1","19:01","14","0","0","0","0","0"
"DL","06/06/2018","0134","N921DL","DTW","13:55","14:18","96","86","23","14:28","10","0","0","0","0","0"
"DL","06/06/2018","0342","N352NB","SEA","07:00","06:57","304","271","-3","07:08","11","0","0","0","0","0"
"DL","06/06/2018","0742","N348NB","LAX","07:09","07:04","271","265","-5","07:17","13","0","0","0","0","0"
"DL","06/06/2018","0816","N997AT","MSP","17:14","17:09","134","123","-5","17:20","11","0","0","0","0","0"
