Detailed Statistics Departures  
Origin Airport: Nashville, TN: Nashville International (BNA)
Airline: United Airlines Inc. (UA)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","06/01/2018","0262","N836UA","ORD","16:58","16:56","103","110","-2","17:06","10","0","0","0","0","0"
"UA","06/01/2018","0322","N841UA","SFO","06:40","07:38","301","323","58","07:49","11","45","0","22","0","13"
"UA","06/01/2018","0441","N13720","IAH","06:20","06:17","133","114","-3","06:31","14","0","0","0","0","0"
"UA","06/01/2018","0897","N76529","EWR","06:10","06:12","130","122","2","06:23","11","0","0","0","0","0"
"UA","06/01/2018","1835","N4888U","SFO","17:54","17:53","301","282","-1","18:02","9","0","0","0","0","0"
"UA","06/01/2018","1936","N846UA","DEN","16:15","16:08","173","163","-7","16:23","15","0","0","0","0","0"
"UA","06/01/2018","2217","N73275","EWR","13:45","14:43","130","133","58","15:01","18","0","0","61","0","0"
"UA","06/02/2018","0262","N853UA","ORD","16:58","16:51","103","100","-7","17:05","14","0","0","0","0","0"
"UA","06/02/2018","0322","N892UA","SFO","06:40","06:39","301","275","-1","06:49","10","0","0","0","0","0"
"UA","06/02/2018","0441","N77520","IAH","06:20","06:18","133","116","-2","06:30","12","0","0","0","0","0"
"UA","06/02/2018","0897","N87513","EWR","06:10","06:08","130","117","-2","06:19","11","0","0","0","0","0"
"UA","06/02/2018","1835","N482UA","SFO","17:54","17:55","301","258","1","18:05","10","0","0","0","0","0"
