Detailed Statistics Departures  
Origin Airport: Nashville, TN: Nashville International (BNA)
Airline: American Airlines Inc. (AA)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","06/01/2018","0369","N972TW","DFW","17:10","17:23","127","137","13","17:36","13","0","0","10","0","13"
"AA","06/01/2018","0524","N952UW","CLT","09:55","09:48","87","89","-7","10:10","22","0","0","0","0","0"
"AA","06/01/2018","0832","N952UW","PHL","14:21","14:42","129","152","21","15:26","44","4","0","23","0","17"
"AA","06/01/2018","0851","N754UW","CLT","12:44","12:43","96","81","-1","12:57","14","0","0","0","0","0"
"AA","06/01/2018","1065","N984TW","DFW","09:36","09:31","128","133","-5","09:48","17","0","0","0","0","0"
"AA","06/01/2018","1067","N344PP","LAX","16:14","16:12","277","247","-2","16:21","9","0","0","0","0","0"
"AA","06/01/2018","1439","N913NN","DFW","15:48","15:45","132","133","-3","16:15","30","0","0","0","0","0"
"AA","06/01/2018","1654","N959UW","PHL","07:00","06:58","126","115","-2","07:11","13","0","0","0","0","0"
"AA","06/01/2018","1736","N752US","CLT","16:01","15:59","92","76","-2","16:09","10","0","0","0","0","0"
"AA","06/01/2018","1752","N833AW","CLT","06:15","06:10","94","95","-5","06:26","16","0","0","0","0","0"
"AA","06/01/2018","1868","N701UW","CLT","08:05","00:00","101","0","0","00:00","0","0","0","0","0","0"
"AA","06/01/2018","1957","N804AW","CLT","18:53","19:21","88","124","28","19:41","20","0","0","36","0","28"
"AA","06/01/2018","2247","N344PP","LAX","05:32","05:31","292","281","-1","05:43","12","0","0","0","0","0"
"AA","06/01/2018","2257","N810NN","MIA","06:05","06:04","138","127","-1","06:15","11","0","0","0","0","0"
"AA","06/01/2018","2259","N975AN","DFW","19:15","19:51","123","112","36","20:04","13","0","0","0","0","25"
"AA","06/01/2018","2348","N355PU","DFW","07:20","07:17","133","129","-3","07:27","10","0","0","0","0","0"
"AA","06/01/2018","2551","N970NN","DFW","05:53","05:51","131","136","-2","06:04","13","0","0","0","0","0"
"AA","06/01/2018","2673","N590AA","DFW","13:35","15:06","129","109","91","15:18","12","6","0","0","0","65"
"AA","06/02/2018","0369","N9625W","DFW","17:10","17:04","127","133","-6","17:23","19","0","0","0","0","0"
"AA","06/02/2018","0832","N961UW","PHL","14:21","14:16","129","155","-5","14:39","23","0","0","21","0","0"
"AA","06/02/2018","0851","N828AW","CLT","12:44","12:38","96","117","-6","12:57","19","0","0","15","0","0"
"AA","06/02/2018","1065","N962TW","DFW","09:36","09:31","128","103","-5","09:43","12","0","0","0","0","0"
"AA","06/02/2018","1067","N945NN","LAX","16:14","16:12","277","266","-2","16:26","14","0","0","0","0","0"
"AA","06/02/2018","1439","N920NN","DFW","15:48","15:43","132","137","-5","16:01","18","0","0","0","0","0"
"AA","06/02/2018","1654","N947UW","PHL","07:00","06:55","126","118","-5","07:05","10","0","0","0","0","0"
"AA","06/02/2018","1752","N708UW","CLT","06:15","06:10","94","98","-5","06:42","32","0","0","0","0","0"
"AA","06/02/2018","2247","N945NN","LAX","05:32","05:30","292","293","-2","05:42","12","0","0","0","0","0"
"AA","06/02/2018","2257","N854NN","MIA","06:05","06:04","138","121","-1","06:14","10","0","0","0","0","0"
"AA","06/02/2018","2348","N905NN","DFW","07:20","07:14","133","138","-6","07:49","35","0","0","0","0","0"
"AA","06/02/2018","2551","N972NN","DFW","05:53","05:48","131","130","-5","06:15","27","0","0","0","0","0"
"AA","06/02/2018","2673","N9616G","DFW","13:35","13:26","129","121","-9","13:49","23","0","0","0","0","0"
"AA","06/03/2018","0369","N7548A","DFW","17:10","17:28","127","117","18","17:40","12","0","0","0","0","0"
"AA","06/03/2018","0524","N959UW","CLT","09:55","09:56","87","79","1","10:11","15","0","0","0","0","0"
"AA","06/03/2018","0832","N947UW","PHL","14:21","14:47","129","149","26","15:18","31","0","0","46","0","0"
"AA","06/03/2018","1065","N9677W","DFW","09:36","10:29","128","108","53","10:40","11","4","0","0","0","29"
"AA","06/03/2018","1067","N879NN","LAX","16:14","16:06","277","261","-8","16:19","13","0","0","0","0","0"
"AA","06/03/2018","1439","N835NN","DFW","15:48","15:42","132","123","-6","16:01","19","0","0","0","0","0"
"AA","06/03/2018","1654","N949UW","PHL","07:00","07:43","126","112","43","07:56","13","29","0","0","0","0"
"AA","06/03/2018","1752","N704US","CLT","06:15","06:15","94","86","0","06:39","24","0","0","0","0","0"
"AA","06/03/2018","1868","N741UW","CLT","08:05","07:58","101","111","-7","08:37","39","0","0","0","0","0"
"AA","06/03/2018","2247","N879NN","LAX","05:32","05:23","292","292","-9","05:48","25","0","0","0","0","0"
"AA","06/03/2018","2257","N937NN","MIA","06:05","06:03","138","151","-2","06:13","10","0","0","0","0","0"
"AA","06/03/2018","2259","N906AN","DFW","19:15","19:12","123","120","-3","19:27","15","0","0","0","0","0"
"AA","06/03/2018","2348","N924NN","DFW","07:20","10:20","133","109","180","10:31","11","156","0","0","0","0"
"AA","06/03/2018","2551","N970AN","DFW","05:53","05:52","131","132","-1","06:14","22","0","0","0","0","0"
"AA","06/03/2018","2673","N972TW","DFW","13:35","13:29","129","122","-6","13:42","13","0","0","0","0","0"
"AA","06/04/2018","0369","N555AN","DFW","17:10","18:22","127","115","72","18:36","14","2","0","0","0","58"
"AA","06/04/2018","0524","N945UW","CLT","09:55","09:55","87","78","0","10:08","13","0","0","0","0","0"
"AA","06/04/2018","0832","N945UW","PHL","14:21","14:10","129","113","-11","14:22","12","0","0","0","0","0"
"AA","06/04/2018","0851","N839AW","CLT","12:44","12:38","96","87","-6","12:56","18","0","0","0","0","0"
"AA","06/04/2018","1065","N7550","DFW","09:36","00:00","128","0","0","00:00","0","0","0","0","0","0"
"AA","06/04/2018","1067","N962NN","LAX","16:14","16:14","277","261","0","16:27","13","0","0","0","0","0"
"AA","06/04/2018","1439","N903AN","DFW","15:48","16:01","132","140","13","16:19","18","4","0","8","0","9"
"AA","06/04/2018","1654","N959UW","PHL","07:00","07:01","126","121","1","07:18","17","0","0","0","0","0"
"AA","06/04/2018","1736","N820AW","CLT","16:01","16:00","92","102","-1","16:24","24","0","0","0","0","0"
"AA","06/04/2018","1752","N722US","CLT","06:15","06:11","94","101","-4","06:49","38","0","0","0","0","0"
"AA","06/04/2018","1868","N763US","CLT","08:05","07:58","101","102","-7","08:35","37","0","0","0","0","0"
"AA","06/04/2018","1957","N745VJ","CLT","18:53","18:48","88","72","-5","18:58","10","0","0","0","0","0"
"AA","06/04/2018","2247","N983NN","LAX","05:32","05:44","292","251","12","05:56","12","0","0","0","0","0"
"AA","06/04/2018","2257","N816NN","MIA","06:05","05:58","138","122","-7","06:12","14","0","0","0","0","0"
"AA","06/04/2018","2259","N807NN","DFW","19:15","19:58","123","114","43","20:14","16","0","0","0","0","34"
"AA","06/04/2018","2348","N941AN","DFW","07:20","10:52","133","141","212","11:15","23","0","0","220","0","0"
"AA","06/04/2018","2551","N819NN","DFW","05:53","05:51","131","221","-2","06:18","27","0","0","88","0","0"
"AA","06/04/2018","2673","N970TW","DFW","13:35","16:33","129","135","178","16:52","19","34","0","6","0","144"
"AA","06/05/2018","0369","N7547A","DFW","17:10","17:21","127","114","11","17:35","14","0","0","0","0","0"
"AA","06/05/2018","0524","N959UW","CLT","09:55","09:49","87","73","-6","10:03","14","0","0","0","0","0"
"AA","06/05/2018","0832","N959UW","PHL","14:21","14:21","129","134","0","14:35","14","0","0","0","0","0"
"AA","06/05/2018","0851","N824AW","CLT","12:44","12:42","96","84","-2","12:58","16","0","0","0","0","0"
"AA","06/05/2018","1065","N501AA","DFW","09:36","09:36","128","112","0","09:48","12","0","0","0","0","0"
"AA","06/05/2018","1067","N842NN","LAX","16:14","16:07","277","251","-7","16:16","9","0","0","0","0","0"
"AA","06/05/2018","1439","N987NN","DFW","15:48","15:43","132","161","-5","15:57","14","0","0","24","0","0"
"AA","06/05/2018","1654","N958UW","PHL","07:00","06:54","126","109","-6","07:06","12","0","0","0","0","0"
"AA","06/05/2018","1736","N816AW","CLT","16:01","15:54","92","88","-7","16:10","16","0","0","0","0","0"
"AA","06/05/2018","1752","N716UW","CLT","06:15","06:08","94","100","-7","06:42","34","0","0","0","0","0"
"AA","06/05/2018","1868","N705UW","CLT","08:05","08:00","101","104","-5","08:35","35","0","0","0","0","0"
"AA","06/05/2018","1957","N702UW","CLT","18:53","20:31","88","73","98","20:45","14","0","0","0","0","83"
"AA","06/05/2018","2247","N842NN","LAX","05:32","05:28","292","257","-4","05:40","12","0","0","0","0","0"
"AA","06/05/2018","2257","N836NN","MIA","06:05","06:01","138","123","-4","06:15","14","0","0","0","0","0"
"AA","06/05/2018","2259","N992NN","DFW","19:15","19:08","123","116","-7","19:20","12","0","0","0","0","0"
"AA","06/05/2018","2348","N822NN","DFW","07:20","07:10","133","212","-10","07:33","23","0","0","69","0","0"
"AA","06/05/2018","2551","N919NN","DFW","05:53","05:43","131","211","-10","06:14","31","0","0","70","0","0"
"AA","06/05/2018","2673","N971TW","DFW","13:35","13:45","129","114","10","13:59","14","0","0","0","0","0"
"AA","06/06/2018","0369","N9615W","DFW","17:10","17:27","127","127","17","17:39","12","5","0","0","0","12"
"AA","06/06/2018","0524","N956UW","CLT","09:55","10:15","87","78","20","10:28","13","0","0","0","0","0"
"AA","06/06/2018","0832","N956UW","PHL","14:21","14:18","129","114","-3","14:30","12","0","0","0","0","0"
"AA","06/06/2018","0851","N663AW","CLT","12:44","14:41","96","90","117","15:08","27","0","0","0","0","111"
"AA","06/06/2018","1065","N9616G","DFW","09:36","09:32","128","109","-4","09:43","11","0","0","0","0","0"
"AA","06/06/2018","1067","N921AN","LAX","16:14","16:12","277","249","-2","16:23","11","0","0","0","0","0"
"AA","06/06/2018","1439","N902NN","DFW","15:48","15:48","132","121","0","16:08","20","0","0","0","0","0"
"AA","06/06/2018","1654","N949UW","PHL","07:00","06:55","126","124","-5","07:11","16","0","0","0","0","0"
"AA","06/06/2018","1736","N807AW","CLT","16:01","15:57","92","73","-4","16:10","13","0","0","0","0","0"
"AA","06/06/2018","1752","N187US","CLT","06:15","06:07","94","102","-8","06:42","35","0","0","0","0","0"
"AA","06/06/2018","1868","N710UW","CLT","08:05","07:57","101","102","-8","08:35","38","0","0","0","0","0"
"AA","06/06/2018","1957","N755US","CLT","18:53","18:56","88","70","3","19:08","12","0","0","0","0","0"
"AA","06/06/2018","2247","N978NN","LAX","05:32","09:30","292","249","238","09:41","11","195","0","0","0","0"
"AA","06/06/2018","2257","N935AN","MIA","06:05","06:05","138","140","0","06:23","18","0","0","0","0","0"
