Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: Southwest Airlines Co. (WN)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","01/01/2018","0194","N8651A","MDW","05:15","05:15","245","236","0","05:28","13","0","0","0","0","0"
"WN","01/01/2018","0246","N912WN","PHX","10:45","11:51","120","102","66","12:01","10","4","0","0","0","44"
"WN","01/01/2018","0359","N8670A","DEN","18:30","18:33","145","145","3","18:50","17","0","0","0","0","0"
"WN","01/01/2018","0367","N480WN","BUR","14:15","14:58","70","77","43","15:24","26","3","0","7","0","40"
"WN","01/01/2018","0377","N8662F","MDW","15:10","15:29","245","250","19","15:45","16","19","0","5","0","0"
"WN","01/01/2018","0378","N487WN","LAS","20:05","20:30","90","79","25","20:45","15","0","0","0","0","0"
"WN","01/01/2018","0405","N232WN","SNA","09:30","11:08","90","83","98","11:23","15","0","0","0","0","91"
"WN","01/01/2018","0432","N211WN","BUR","09:50","09:48","70","60","-2","09:58","10","0","0","0","0","0"
"WN","01/01/2018","0534","N737JW","DEN","13:20","13:54","145","148","34","14:09","15","19","0","3","0","15"
"WN","01/01/2018","0563","N738CB","LAX","09:15","09:10","90","82","-5","09:28","18","0","0","0","0","0"
"WN","01/01/2018","0623","N738CB","SNA","11:55","13:32","90","90","97","13:45","13","97","0","0","0","0"
"WN","01/01/2018","0717","N8551Q","DAL","07:00","07:00","205","190","0","07:15","15","0","0","0","0","0"
"WN","01/01/2018","0833","N251WN","DEN","05:45","05:44","150","135","-1","05:55","11","0","0","0","0","0"
"WN","01/01/2018","0851","N431WN","LAS","12:40","12:36","85","82","-4","12:49","13","0","0","0","0","0"
"WN","01/01/2018","1130","N7859B","LAX","13:45","14:35","85","78","50","14:54","19","43","0","0","0","0"
"WN","01/01/2018","1136","N413WN","PDX","11:45","12:53","110","93","68","13:03","10","0","0","0","0","51"
"WN","01/01/2018","1147","N935WN","SAN","21:30","21:51","90","83","21","22:03","12","0","0","0","0","0"
"WN","01/01/2018","1153","N788SA","LAX","12:10","12:11","95","94","1","12:37","26","0","0","0","0","0"
"WN","01/01/2018","1155","N755SA","LAX","16:35","16:30","85","73","-5","16:44","14","0","0","0","0","0"
"WN","01/01/2018","1157","N772SW","LAX","06:25","06:20","85","83","-5","06:41","21","0","0","0","0","0"
"WN","01/01/2018","1159","N297WN","LAX","10:50","11:00","90","76","10","11:13","13","0","0","0","0","0"
"WN","01/01/2018","1161","N297WN","LAX","15:15","15:11","85","103","-4","15:42","31","0","0","0","0","0"
"WN","01/01/2018","1338","N748SW","SNA","14:20","14:38","85","82","18","14:52","14","0","0","0","0","15"
"WN","01/01/2018","1364","N726SW","LAS","14:55","15:05","90","89","10","15:28","23","0","0","0","0","0"
"WN","01/01/2018","1425","N224WN","SAN","09:20","11:10","95","95","110","11:25","15","0","0","0","0","110"
"WN","01/01/2018","1427","N224WN","SAN","13:50","15:29","90","80","99","15:38","9","1","0","0","0","88"
"WN","01/01/2018","1431","N560WN","BUR","15:55","16:10","65","61","15","16:18","8","0","0","0","0","0"
"WN","01/01/2018","1436","N299WN","SAN","06:45","00:00","90","0","0","00:00","0","0","0","0","0","0"
"WN","01/01/2018","1438","N299WN","SAN","11:10","11:28","95","120","18","11:59","31","18","0","25","0","0"
"WN","01/01/2018","1459","N748SW","SNA","06:10","00:00","85","0","0","00:00","0","0","0","0","0","0"
"WN","01/01/2018","1460","N7842A","PHX","09:00","09:10","120","112","10","09:31","21","0","0","0","0","0"
"WN","01/01/2018","1473","N7718B","BUR","08:00","07:58","70","61","-2","08:08","10","0","0","0","0","0"
"WN","01/01/2018","1531","N931WN","LAX","18:35","19:44","85","72","69","19:57","13","0","0","0","0","56"
"WN","01/01/2018","1654","N8611F","STL","14:15","17:28","225","228","193","17:44","16","3","0","3","0","190"
"WN","01/01/2018","1734","N441WN","PHX","06:30","06:24","110","99","-6","06:37","13","0","0","0","0","0"
"WN","01/01/2018","1747","N299WN","LAX","20:10","20:41","85","80","31","21:02","21","6","0","0","0","20"
"WN","01/01/2018","1766","N788SA","LAX","08:05","07:59","95","80","-6","08:19","20","0","0","0","0","0"
"WN","01/01/2018","1794","N570WN","PDX","07:25","07:22","110","99","-3","07:34","12","0","0","0","0","0"
"WN","01/01/2018","1835","N8600F","DEN","11:05","11:05","150","145","0","11:23","18","0","0","0","0","0"
"WN","01/01/2018","1877","N7823A","LAS","08:05","08:02","90","85","-3","08:23","21","0","0","0","0","0"
"WN","01/01/2018","1909","N299WN","SAN","15:45","16:22","90","85","37","16:37","15","0","0","0","0","32"
"WN","01/01/2018","1914","N928WN","DEN","21:25","21:29","145","133","4","21:41","12","0","0","0","0","0"
"WN","01/01/2018","4351","N757LV","DAL","14:55","15:23","205","175","28","15:33","10","0","0","0","0","0"
"WN","01/01/2018","5561","N755SA","BUR","20:35","20:29","75","67","-6","20:43","14","0","0","0","0","0"
"WN","01/01/2018","5587","N8635F","PHX","17:05","17:33","115","110","28","17:48","15","12","0","0","0","11"
"WN","01/01/2018","5718","N7873A","LAS","22:25","23:07","85","87","42","23:32","25","3","0","2","0","39"
"WN","01/01/2018","5897","N789SW","LAS","17:40","17:57","85","68","17","18:05","8","0","0","0","0","0"
"WN","01/01/2018","5928","N436WN","SNA","16:35","16:55","85","83","20","17:10","15","5","0","0","0","13"
"WN","01/01/2018","6155","N7844A","SAN","17:40","18:29","90","85","49","18:44","15","2","0","0","0","42"
"WN","01/01/2018","6160","N448WN","PHX","19:50","19:45","120","100","-5","19:55","10","0","0","0","0","0"
